set,aromatic_share_of,mean,pct_0.0–0.1,pct_0.1–0.2,pct_0.2–0.3,pct_0.3–0.4,pct_0.4–0.5,pct_0.5–0.6,pct_0.6–0.7,pct_0.7–0.8,pct_0.8–0.9,pct_0.9–1.0
Reference ligand (train+test),atoms,0.3868,20.24,2.775,10.93,12.516,15.189,15.868,12.527,6.105,2.707,1.144
"Reference ligand (train+test, pose-weighted)",atoms,0.3935,18.806,1.865,11.36,15.401,13.914,15.433,12.676,6.56,2.914,1.071
Reference ligand (test),atoms,0.2947,34.0,3.0,15.0,17.0,7.0,9.0,5.0,5.0,3.0,2.0
AR,atoms,0.1375,65.669,2.116,9.249,7.133,6.702,4.311,2.587,1.123,0.64,0.47
Pocket2Mol,atoms,0.4358,20.87,1.711,5.34,10.242,14.295,14.758,14.72,8.235,5.353,4.478
DiffSBDD,atoms,0.1418,60.907,5.466,11.839,8.161,5.181,3.705,2.668,0.868,0.674,0.531
DecompDiff,atoms,0.1918,51.206,5.275,11.032,11.732,7.391,7.609,2.956,1.4,0.887,0.513
FuncBind,atoms,0.0999,71.78,2.837,11.21,5.13,3.521,2.014,2.052,0.722,0.456,0.279
TargetDiff,atoms,0.1273,61.534,7.177,13.641,6.491,4.323,3.678,1.99,0.645,0.371,0.151
VoxBind,atoms,0.309,30.971,4.133,12.665,11.486,12.994,12.082,9.407,3.892,1.711,0.659
CoDE,atoms,0.3163,25.34,6.262,14.162,14.531,14.696,11.762,7.557,3.264,1.753,0.673
Reference ligand (train+test),rings,0.6377,14.55,0.389,2.577,4.291,2.224,14.647,15.34,7.439,3.695,34.849
"Reference ligand (train+test, pose-weighted)",rings,0.6495,12.524,0.361,2.309,3.965,2.0,15.516,19.157,6.82,3.163,34.183
Reference ligand (test),rings,0.5471,24.138,2.299,0.0,6.897,0.0,11.494,22.989,2.299,3.448,26.437
AR,rings,0.1808,62.324,3.498,8.422,6.522,1.123,7.904,3.153,0.389,0.173,6.493
Pocket2Mol,rings,0.565,17.381,1.861,5.421,7.767,4.261,17.273,8.59,3.506,1.861,32.079
DiffSBDD,rings,0.2441,56.21,1.312,6.778,8.192,0.933,11.706,3.032,0.641,0.058,11.137
DecompDiff,rings,0.3497,44.983,0.832,5.044,7.467,1.356,13.506,7.648,1.266,0.325,17.574
FuncBind,rings,0.1698,67.202,0.59,5.309,8.642,0.782,8.568,2.006,0.251,0.044,6.607
TargetDiff,rings,0.2078,57.498,2.186,9.305,9.077,1.457,9.897,2.307,0.455,0.015,7.802
VoxBind,rings,0.4694,23.318,0.507,7.458,9.583,3.814,17.577,12.905,5.39,1.675,17.774
CoDE,rings,0.4592,20.256,1.767,10.087,9.802,4.88,18.692,12.085,5.207,1.808,15.416
