set,n_mols,pct_C,pct_N,pct_O,pct_F,pct_P,pct_S,pct_Cl,pct_other_not_scored,atom_type_jsd,atom_type_jsd_pose_weighted,atom_type_jsd_test
Reference ligand (train+test),8829.0,69.034,11.126,15.776,1.316,0.774,1.24,0.734,0.0,,,
"Reference ligand (train+test, pose-weighted)",100100,67.147,11.702,16.961,1.307,1.114,1.124,0.644,0.0,,,
Reference ligand (test),100,63.692,10.901,21.934,0.176,1.802,1.011,0.484,0.0,,,
AR,7655,70.296,13.812,15.218,0.217,0.378,0.079,0.001,0.0,0.0944,0.0942,0.1062
Pocket2Mol,7772,73.426,11.343,14.144,0.675,0.165,0.196,0.051,0.0,0.0778,0.0845,0.1152
DiffSBDD,7720,67.914,9.615,18.409,1.362,0.49,1.887,0.322,0.0,0.0415,0.0454,0.0816
DecompDiff,6427,67.951,9.886,19.032,0.595,1.287,0.908,0.34,0.0,0.0499,0.0412,0.0433
FuncBind,7895,70.147,9.035,17.333,0.171,1.071,0.238,2.004,0.167,0.0822,0.0831,0.0826
TargetDiff,7287,72.057,9.401,16.588,0.779,0.364,0.487,0.324,0.0,0.0506,0.0576,0.0872
VoxBind,7888,75.331,9.996,12.703,0.415,0.242,0.836,0.478,0.0,0.063,0.0771,0.1114
CoDE,7873,74.409,11.985,11.298,0.586,0.331,0.875,0.516,0.0,0.0622,0.0757,0.1195
