set,source,n_mols,C-C,C=C,C-N,C=N,C-O,C=O,C:C,C:N,mean
AR,vs CrossDocked train+test (distinct molecules),7655,0.5754,0.4167,0.3836,0.4374,0.3992,0.5076,0.4594,0.4517,0.4539
Pocket2Mol,vs CrossDocked train+test (distinct molecules),7772,0.4333,0.3162,0.3119,0.3569,0.3106,0.4542,0.4261,0.3995,0.3761
DiffSBDD,vs CrossDocked train+test (distinct molecules),7720,0.3492,0.2853,0.306,0.3177,0.3314,0.3783,0.327,0.2661,0.3201
DecompDiff,vs CrossDocked train+test (distinct molecules),6427,0.2588,0.279,0.2038,0.2867,0.2186,0.3131,0.1883,0.1121,0.2326
FuncBind,vs CrossDocked train+test (distinct molecules),7895,0.4652,0.4273,0.3702,0.4098,0.4392,0.4915,0.5238,0.4716,0.4498
TargetDiff,vs CrossDocked train+test (distinct molecules),7287,0.3025,0.1857,0.2375,0.1555,0.2808,0.3983,0.1938,0.14,0.2368
VoxBind,vs CrossDocked train+test (distinct molecules),7888,0.237,0.3069,0.2098,0.1162,0.2046,0.2031,0.1541,0.131,0.1953
CoDE,vs CrossDocked train+test (distinct molecules),7873,0.3198,0.3002,0.2423,0.1264,0.2791,0.249,0.1563,0.1056,0.2223
AR,vs CrossDocked train+test (pose-weighted),7655,0.5755,0.4195,0.3859,0.4389,0.406,0.5068,0.4505,0.4552,0.4548
Pocket2Mol,vs CrossDocked train+test (pose-weighted),7772,0.4366,0.3265,0.3105,0.3613,0.3242,0.4552,0.4195,0.4033,0.3796
DiffSBDD,vs CrossDocked train+test (pose-weighted),7720,0.3537,0.2974,0.3077,0.3239,0.3454,0.3823,0.3179,0.2696,0.3247
DecompDiff,vs CrossDocked train+test (pose-weighted),6427,0.2601,0.2754,0.2007,0.2784,0.2272,0.3054,0.1818,0.111,0.23
FuncBind,vs CrossDocked train+test (pose-weighted),7895,0.4699,0.4369,0.3725,0.4133,0.4528,0.492,0.5182,0.4746,0.4538
TargetDiff,vs CrossDocked train+test (pose-weighted),7287,0.3032,0.1854,0.239,0.1647,0.2931,0.3903,0.191,0.1255,0.2365
VoxBind,vs CrossDocked train+test (pose-weighted),7888,0.236,0.2987,0.2057,0.1375,0.2174,0.2035,0.152,0.1295,0.1975
CoDE,vs CrossDocked train+test (pose-weighted),7873,0.319,0.288,0.2394,0.1374,0.2941,0.2462,0.1495,0.0981,0.2215
AR,vs CrossDocked test (100),7655,0.612,0.5993,0.4684,0.6213,0.4992,0.5614,0.4526,0.529,0.5429
Pocket2Mol,vs CrossDocked test (100),7772,0.4915,0.5634,0.4176,0.6383,0.4514,0.5094,0.4144,0.4772,0.4954
DiffSBDD,vs CrossDocked test (100),7720,0.4049,0.5661,0.405,0.6065,0.4601,0.4477,0.3242,0.373,0.4485
DecompDiff,vs CrossDocked test (100),6427,0.3326,0.5409,0.3354,0.5653,0.3459,0.3901,0.2419,0.2269,0.3724
FuncBind,vs CrossDocked test (100),7895,0.5108,0.6361,0.4524,0.6479,0.5418,0.5487,0.5039,0.5414,0.5479
TargetDiff,vs CrossDocked test (100),7287,0.3699,0.5014,0.3614,0.5447,0.4163,0.4658,0.2582,0.2376,0.3944
VoxBind,vs CrossDocked test (100),7888,0.3142,0.5189,0.3336,0.5276,0.37,0.3069,0.2183,0.1912,0.3476
CoDE,vs CrossDocked test (100),7873,0.39,0.5247,0.3577,0.5256,0.4302,0.3419,0.2154,0.1914,0.3721
Reference ligand (train+test): bonds,reference bond count (weighted where de-duplicated),8829.0,63530.0,3587,26037.0,2245.0,21699,9818.0,69229.0,16953,
"Reference ligand (train+test, pose-weighted): bonds",reference bond count (weighted where de-duplicated),100100,644487,35033,264992,23306,248814,101240,735575,220735,
Reference ligand (test): bonds,reference bond count (weighted where de-duplicated),100,716,40,245,16,336,101,500,213,
AR,"published, vs CrossDocked test (100 pockets)",,0.609,0.62,0.474,0.635,0.492,0.558,0.451,0.552,0.5489
Pocket2Mol,"published, vs CrossDocked test (100 pockets)",,0.496,0.561,0.416,0.629,0.454,0.516,0.416,0.487,0.4969
TargetDiff,"published, vs CrossDocked test (100 pockets)",,0.369,0.505,0.363,0.55,0.421,0.461,0.263,0.235,0.3959
DecompDiff,"published, vs CrossDocked test (100 pockets)",,0.359,0.537,0.344,0.584,0.376,0.374,0.251,0.269,0.3867
VoxBind σ=0.9,"published, vs CrossDocked test (100 pockets)",,0.372,0.528,0.351,0.528,0.4,0.326,0.215,0.186,0.3632
VoxBind σ=1.0,"published, vs CrossDocked test (100 pockets)",,0.357,0.533,0.354,0.418,0.354,0.335,0.21,0.191,0.344
