set,bond_type,len_lo,len_hi,n,pct
Reference ligand (train+test),C-C,-inf,1.1,100.1185,0.1576
Reference ligand (train+test),C-C,1.1,1.105,3,0.0047
Reference ligand (train+test),C-C,1.105,1.11,0,0.0
Reference ligand (train+test),C-C,1.11,1.115,3.0,0.0047
Reference ligand (train+test),C-C,1.115,1.12,0,0.0
Reference ligand (train+test),C-C,1.12,1.125,0,0.0
Reference ligand (train+test),C-C,1.125,1.13,1,0.0016
Reference ligand (train+test),C-C,1.13,1.135,1,0.0016
Reference ligand (train+test),C-C,1.135,1.14,2,0.0031
Reference ligand (train+test),C-C,1.14,1.145,2,0.0031
Reference ligand (train+test),C-C,1.145,1.15,1,0.0016
Reference ligand (train+test),C-C,1.15,1.155,2.7692,0.0044
Reference ligand (train+test),C-C,1.155,1.16,2.1197,0.0033
Reference ligand (train+test),C-C,1.16,1.165,2.1111,0.0033
Reference ligand (train+test),C-C,1.165,1.17,3.0,0.0047
Reference ligand (train+test),C-C,1.17,1.175,1,0.0016
Reference ligand (train+test),C-C,1.175,1.18,1.6061,0.0025
Reference ligand (train+test),C-C,1.18,1.185,5.3939,0.0085
Reference ligand (train+test),C-C,1.185,1.19,3.75,0.0059
Reference ligand (train+test),C-C,1.19,1.195,11.1005,0.0175
Reference ligand (train+test),C-C,1.195,1.2,1.1495,0.0018
Reference ligand (train+test),C-C,1.2,1.205,0,0.0
Reference ligand (train+test),C-C,1.205,1.21,2,0.0031
Reference ligand (train+test),C-C,1.21,1.215,1,0.0016
Reference ligand (train+test),C-C,1.215,1.22,1.6307,0.0026
Reference ligand (train+test),C-C,1.22,1.225,1.6028,0.0025
Reference ligand (train+test),C-C,1.225,1.23,2.6364,0.0041
Reference ligand (train+test),C-C,1.23,1.235,2.4833,0.0039
Reference ligand (train+test),C-C,1.235,1.24,1.5757,0.0025
Reference ligand (train+test),C-C,1.24,1.245,3.7114,0.0058
Reference ligand (train+test),C-C,1.245,1.25,2.5739,0.0041
Reference ligand (train+test),C-C,1.25,1.255,6.8429,0.0108
Reference ligand (train+test),C-C,1.255,1.26,5.9757,0.0094
Reference ligand (train+test),C-C,1.26,1.265,5.2065,0.0082
Reference ligand (train+test),C-C,1.265,1.27,2.7979,0.0044
Reference ligand (train+test),C-C,1.27,1.275,4.8623,0.0077
Reference ligand (train+test),C-C,1.275,1.28,8.7627,0.0138
Reference ligand (train+test),C-C,1.28,1.285,11.9134,0.0188
Reference ligand (train+test),C-C,1.285,1.29,18.434,0.029
Reference ligand (train+test),C-C,1.29,1.295,15.7541,0.0248
Reference ligand (train+test),C-C,1.295,1.3,11.4157,0.018
Reference ligand (train+test),C-C,1.3,1.305,17.3185,0.0273
Reference ligand (train+test),C-C,1.305,1.31,28.7272,0.0452
Reference ligand (train+test),C-C,1.31,1.315,24.512,0.0386
Reference ligand (train+test),C-C,1.315,1.32,27.7989,0.0438
Reference ligand (train+test),C-C,1.32,1.325,35.2844,0.0555
Reference ligand (train+test),C-C,1.325,1.33,66.1641,0.1041
Reference ligand (train+test),C-C,1.33,1.335,92.0682,0.1449
Reference ligand (train+test),C-C,1.335,1.34,107.1252,0.1686
Reference ligand (train+test),C-C,1.34,1.345,91.4472,0.1439
Reference ligand (train+test),C-C,1.345,1.35,87.4558,0.1377
Reference ligand (train+test),C-C,1.35,1.355,116.2622,0.183
Reference ligand (train+test),C-C,1.355,1.36,124.3482,0.1957
Reference ligand (train+test),C-C,1.36,1.365,118.5917,0.1867
Reference ligand (train+test),C-C,1.365,1.37,149.2699,0.235
Reference ligand (train+test),C-C,1.37,1.375,143.5239,0.2259
Reference ligand (train+test),C-C,1.375,1.38,202.537,0.3188
Reference ligand (train+test),C-C,1.38,1.385,285.6686,0.4497
Reference ligand (train+test),C-C,1.385,1.39,478.252,0.7528
Reference ligand (train+test),C-C,1.39,1.395,705.7514,1.1109
Reference ligand (train+test),C-C,1.395,1.4,612.4899,0.9641
Reference ligand (train+test),C-C,1.4,1.405,516.9139,0.8137
Reference ligand (train+test),C-C,1.405,1.41,465.1222,0.7321
Reference ligand (train+test),C-C,1.41,1.415,391.9042,0.6169
Reference ligand (train+test),C-C,1.415,1.42,355.8133,0.5601
Reference ligand (train+test),C-C,1.42,1.425,334.5885,0.5267
Reference ligand (train+test),C-C,1.425,1.43,311.242,0.4899
Reference ligand (train+test),C-C,1.43,1.435,303.0015,0.4769
Reference ligand (train+test),C-C,1.435,1.44,283.1766,0.4457
Reference ligand (train+test),C-C,1.44,1.445,281.5846,0.4432
Reference ligand (train+test),C-C,1.445,1.45,303.8349,0.4783
Reference ligand (train+test),C-C,1.45,1.455,351.4704,0.5532
Reference ligand (train+test),C-C,1.455,1.46,395.3953,0.6224
Reference ligand (train+test),C-C,1.46,1.465,520.8403,0.8198
Reference ligand (train+test),C-C,1.465,1.47,626.6461,0.9864
Reference ligand (train+test),C-C,1.47,1.475,759.8346,1.196
Reference ligand (train+test),C-C,1.475,1.48,894.9339,1.4087
Reference ligand (train+test),C-C,1.48,1.485,1104.4285,1.7384
Reference ligand (train+test),C-C,1.485,1.49,1283.1989,2.0198
Reference ligand (train+test),C-C,1.49,1.495,1675.9809,2.6381
Reference ligand (train+test),C-C,1.495,1.5,1991.4388,3.1346
Reference ligand (train+test),C-C,1.5,1.505,2401.1715,3.7796
Reference ligand (train+test),C-C,1.505,1.51,3062.6696,4.8208
Reference ligand (train+test),C-C,1.51,1.515,3720.5266,5.8563
Reference ligand (train+test),C-C,1.515,1.52,4096.8627,6.4487
Reference ligand (train+test),C-C,1.52,1.525,4850.9737,7.6357
Reference ligand (train+test),C-C,1.525,1.53,5610.5437,8.8313
Reference ligand (train+test),C-C,1.53,1.535,5473.1786,8.6151
Reference ligand (train+test),C-C,1.535,1.54,3849.4407,6.0592
Reference ligand (train+test),C-C,1.54,1.545,3111.3038,4.8974
Reference ligand (train+test),C-C,1.545,1.55,2422.5652,3.8133
Reference ligand (train+test),C-C,1.55,1.555,1780.1011,2.802
Reference ligand (train+test),C-C,1.555,1.56,1353.9707,2.1312
Reference ligand (train+test),C-C,1.56,1.565,1038.9408,1.6354
Reference ligand (train+test),C-C,1.565,1.57,723.0986,1.1382
Reference ligand (train+test),C-C,1.57,1.575,599.4971,0.9436
Reference ligand (train+test),C-C,1.575,1.58,437.6287,0.6889
Reference ligand (train+test),C-C,1.58,1.585,357.4511,0.5626
Reference ligand (train+test),C-C,1.585,1.59,269.0958,0.4236
Reference ligand (train+test),C-C,1.59,1.595,196.2387,0.3089
Reference ligand (train+test),C-C,1.595,1.6,163.7307,0.2577
Reference ligand (train+test),C-C,1.6,1.605,145.774,0.2295
Reference ligand (train+test),C-C,1.605,1.61,105.5163,0.1661
Reference ligand (train+test),C-C,1.61,1.615,105.2619,0.1657
Reference ligand (train+test),C-C,1.615,1.62,80.021,0.126
Reference ligand (train+test),C-C,1.62,1.625,72.0661,0.1134
Reference ligand (train+test),C-C,1.625,1.63,60.1366,0.0947
