set,mean_rings_per_molecule,pct_0,pct_1,pct_2,pct_3,pct_4,pct_5,pct_6,pct_7,pct_≥8
Reference ligand (train+test),2.831,6.818,13.274,21.871,24.759,19.946,9.514,2.73,0.861,0.227
"Reference ligand (train+test, pose-weighted)",2.736,7.343,12.815,22.658,28.241,17.858,8.217,2.065,0.585,0.218
Reference ligand (test),2.47,13.0,13.0,24.0,30.0,13.0,2.0,3.0,0.0,2.0
AR,2.801,9.262,19.909,21.502,17.662,13.076,8.583,5.251,2.573,2.182
Pocket2Mol,2.942,4.581,23.585,25.553,14.192,10.666,7.733,5.841,4.516,3.332
DiffSBDD,2.322,11.14,22.409,25.453,20.052,11.749,5.687,2.15,0.816,0.544
DecompDiff,2.239,13.941,19.963,24.319,23.588,10.814,4.372,2.007,0.7,0.296
FuncBind,2.038,14.11,25.877,24.37,20.722,9.348,4.091,1.279,0.165,0.038
TargetDiff,2.598,9.592,20.461,21.504,20.351,14.89,7.246,3.595,1.537,0.823
VoxBind,2.783,9.914,13.172,19.346,23.225,20.068,10.231,3.182,0.685,0.177
CoDE,3.24,6.567,9.983,18.722,21.174,21.313,12.41,5.728,2.477,1.626
