set,pairs,dist_lo,dist_hi,n,pct
Reference ligand (train+test),All_12A,0.0,0.1212,0,0.0
Reference ligand (train+test),All_12A,0.1212,0.2424,0,0.0
Reference ligand (train+test),All_12A,0.2424,0.3636,0,0.0
Reference ligand (train+test),All_12A,0.3636,0.4848,13,0.0005
Reference ligand (train+test),All_12A,0.4848,0.6061,8.0,0.0003
Reference ligand (train+test),All_12A,0.6061,0.7273,21.0,0.0007
Reference ligand (train+test),All_12A,0.7273,0.8485,36.4,0.0013
Reference ligand (train+test),All_12A,0.8485,0.9697,47.8667,0.0017
Reference ligand (train+test),All_12A,0.9697,1.0909,71.8693,0.0025
Reference ligand (train+test),All_12A,1.0909,1.2121,1856.746,0.065
Reference ligand (train+test),All_12A,1.2121,1.3333,21084.2537,0.7384
Reference ligand (train+test),All_12A,1.3333,1.4545,124511.4619,4.3604
Reference ligand (train+test),All_12A,1.4545,1.5758,76298.7054,2.672
Reference ligand (train+test),All_12A,1.5758,1.697,6327.5668,0.2216
Reference ligand (train+test),All_12A,1.697,1.8182,4769.0563,0.167
Reference ligand (train+test),All_12A,1.8182,1.9394,829.0655,0.029
Reference ligand (train+test),All_12A,1.9394,2.0606,460.1565,0.0161
Reference ligand (train+test),All_12A,2.0606,2.1818,6969.1617,0.2441
Reference ligand (train+test),All_12A,2.1818,2.303,28120.5174,0.9848
Reference ligand (train+test),All_12A,2.303,2.4242,113498.4773,3.9747
Reference ligand (train+test),All_12A,2.4242,2.5455,128966.9685,4.5165
Reference ligand (train+test),All_12A,2.5455,2.6667,47246.9003,1.6546
Reference ligand (train+test),All_12A,2.6667,2.7879,43794.5606,1.5337
Reference ligand (train+test),All_12A,2.7879,2.9091,44548.7805,1.5601
Reference ligand (train+test),All_12A,2.9091,3.0303,27775.2069,0.9727
Reference ligand (train+test),All_12A,3.0303,3.1515,23590.6281,0.8261
Reference ligand (train+test),All_12A,3.1515,3.2727,22039.0006,0.7718
Reference ligand (train+test),All_12A,3.2727,3.3939,22864.9508,0.8007
Reference ligand (train+test),All_12A,3.3939,3.5152,30496.0858,1.068
Reference ligand (train+test),All_12A,3.5152,3.6364,54405.1277,1.9053
Reference ligand (train+test),All_12A,3.6364,3.7576,72616.251,2.543
