set,source,3,4,5,6,7,8,9,10+ of all rings
Reference ligand (train+test),reference,1.5,0.3,27.3,70.0,0.8,0.1,0.0,0.6
"Reference ligand (train+test, pose-weighted)",reference,1.3,0.2,29.2,68.3,0.9,0.0,0.0,0.4
Reference ligand (test),reference,1.7,0.0,30.2,67.4,0.8,0.0,0.0,2.0
AR,this eval (79 pockets),29.8,0.2,13.8,52.3,2.4,1.3,0.2,0.8
Pocket2Mol,this eval (79 pockets),0.1,0.0,16.8,78.0,4.3,0.7,0.1,0.6
DiffSBDD,this eval (79 pockets),17.3,2.9,27.7,41.7,8.2,1.7,0.5,1.3
DecompDiff,this eval (79 pockets),2.7,3.9,35.6,43.8,11.2,2.2,0.6,1.5
FuncBind,this eval (79 pockets),0.0,0.4,16.1,82.9,0.4,0.1,0.1,0.2
TargetDiff,this eval (79 pockets),0.0,2.5,30.7,51.6,11.9,2.4,0.9,2.8
VoxBind,this eval (79 pockets),0.0,0.2,20.0,78.8,0.8,0.1,0.0,2.3
CoDE,this eval (79 pockets),0.0,0.2,19.3,79.7,0.8,0.1,0.0,1.1
Reference ligand,published TargetDiff Table 2 (reference = test),1.7,0.0,30.2,67.4,0.7,0.0,0.0,
liGAN,published TargetDiff Table 2 (reference = test),28.1,15.7,29.8,22.7,2.6,0.8,0.3,
AR,published TargetDiff Table 2 (reference = test),29.9,0.0,16.0,51.2,1.7,0.7,0.5,
Pocket2Mol,published TargetDiff Table 2 (reference = test),0.1,0.0,16.4,80.4,2.6,0.3,0.1,
TargetDiff,published TargetDiff Table 2 (reference = test),0.0,2.8,30.8,50.7,12.1,2.7,0.9,
