set,histogram,bin,pct
Reference ligand (train+test),ring_size,3,1.476
Reference ligand (train+test),ring_size,4,0.3
Reference ligand (train+test),ring_size,5,27.127
Reference ligand (train+test),ring_size,6,69.549
Reference ligand (train+test),ring_size,7,0.812
Reference ligand (train+test),ring_size,8,0.092
Reference ligand (train+test),ring_size,9,0.004
Reference ligand (train+test),ring_size,≥10,0.64
Reference ligand (train+test),rings_per_molecule,0,6.818
Reference ligand (train+test),rings_per_molecule,1,13.274
Reference ligand (train+test),rings_per_molecule,2,21.871
Reference ligand (train+test),rings_per_molecule,3,24.759
Reference ligand (train+test),rings_per_molecule,4,19.946
Reference ligand (train+test),rings_per_molecule,5,9.514
Reference ligand (train+test),rings_per_molecule,6,2.73
Reference ligand (train+test),rings_per_molecule,7,0.861
Reference ligand (train+test),rings_per_molecule,≥8,0.227
Reference ligand (train+test),aromatic_fraction,0.0-0.1,20.24
Reference ligand (train+test),aromatic_fraction,0.1-0.2,2.775
Reference ligand (train+test),aromatic_fraction,0.2-0.3,10.93
Reference ligand (train+test),aromatic_fraction,0.3-0.4,12.516
Reference ligand (train+test),aromatic_fraction,0.4-0.5,15.189
Reference ligand (train+test),aromatic_fraction,0.5-0.6,15.868
Reference ligand (train+test),aromatic_fraction,0.6-0.7,12.527
Reference ligand (train+test),aromatic_fraction,0.7-0.8,6.105
Reference ligand (train+test),aromatic_fraction,0.8-0.9,2.707
Reference ligand (train+test),aromatic_fraction,0.9-1.0,1.144
"Reference ligand (train+test, pose-weighted)",ring_size,3,1.311
"Reference ligand (train+test, pose-weighted)",ring_size,4,0.203
"Reference ligand (train+test, pose-weighted)",ring_size,5,29.117
"Reference ligand (train+test, pose-weighted)",ring_size,6,67.995
"Reference ligand (train+test, pose-weighted)",ring_size,7,0.904
"Reference ligand (train+test, pose-weighted)",ring_size,8,0.043
"Reference ligand (train+test, pose-weighted)",ring_size,9,0.001
"Reference ligand (train+test, pose-weighted)",ring_size,≥10,0.427
"Reference ligand (train+test, pose-weighted)",rings_per_molecule,0,7.343
"Reference ligand (train+test, pose-weighted)",rings_per_molecule,1,12.815
"Reference ligand (train+test, pose-weighted)",rings_per_molecule,2,22.658
"Reference ligand (train+test, pose-weighted)",rings_per_molecule,3,28.241
"Reference ligand (train+test, pose-weighted)",rings_per_molecule,4,17.858
"Reference ligand (train+test, pose-weighted)",rings_per_molecule,5,8.217
"Reference ligand (train+test, pose-weighted)",rings_per_molecule,6,2.065
"Reference ligand (train+test, pose-weighted)",rings_per_molecule,7,0.585
"Reference ligand (train+test, pose-weighted)",rings_per_molecule,≥8,0.218
"Reference ligand (train+test, pose-weighted)",aromatic_fraction,0.0-0.1,18.806
"Reference ligand (train+test, pose-weighted)",aromatic_fraction,0.1-0.2,1.865
"Reference ligand (train+test, pose-weighted)",aromatic_fraction,0.2-0.3,11.36
"Reference ligand (train+test, pose-weighted)",aromatic_fraction,0.3-0.4,15.401
"Reference ligand (train+test, pose-weighted)",aromatic_fraction,0.4-0.5,13.914
"Reference ligand (train+test, pose-weighted)",aromatic_fraction,0.5-0.6,15.433
"Reference ligand (train+test, pose-weighted)",aromatic_fraction,0.6-0.7,12.676
"Reference ligand (train+test, pose-weighted)",aromatic_fraction,0.7-0.8,6.56
"Reference ligand (train+test, pose-weighted)",aromatic_fraction,0.8-0.9,2.914
"Reference ligand (train+test, pose-weighted)",aromatic_fraction,0.9-1.0,1.071
Reference ligand (test),ring_size,3,1.619
Reference ligand (test),ring_size,4,0.0
Reference ligand (test),ring_size,5,29.555
Reference ligand (test),ring_size,6,65.992
Reference ligand (test),ring_size,7,0.81
Reference ligand (test),ring_size,8,0.0
Reference ligand (test),ring_size,9,0.0
Reference ligand (test),ring_size,≥10,2.024
Reference ligand (test),rings_per_molecule,0,13.0
Reference ligand (test),rings_per_molecule,1,13.0
Reference ligand (test),rings_per_molecule,2,24.0
Reference ligand (test),rings_per_molecule,3,30.0
Reference ligand (test),rings_per_molecule,4,13.0
Reference ligand (test),rings_per_molecule,5,2.0
Reference ligand (test),rings_per_molecule,6,3.0
Reference ligand (test),rings_per_molecule,7,0.0
Reference ligand (test),rings_per_molecule,≥8,2.0
Reference ligand (test),aromatic_fraction,0.0-0.1,34.0
Reference ligand (test),aromatic_fraction,0.1-0.2,3.0
Reference ligand (test),aromatic_fraction,0.2-0.3,15.0
Reference ligand (test),aromatic_fraction,0.3-0.4,17.0
Reference ligand (test),aromatic_fraction,0.4-0.5,7.0
Reference ligand (test),aromatic_fraction,0.5-0.6,9.0
Reference ligand (test),aromatic_fraction,0.6-0.7,5.0
Reference ligand (test),aromatic_fraction,0.7-0.8,5.0
Reference ligand (test),aromatic_fraction,0.8-0.9,3.0
Reference ligand (test),aromatic_fraction,0.9-1.0,2.0
AR,ring_size,3,29.529
AR,ring_size,4,0.159
AR,ring_size,5,13.72
AR,ring_size,6,51.868
AR,ring_size,7,2.35
AR,ring_size,8,1.334
AR,ring_size,9,0.196
