arm,mw_bin_lo,mw_bin_hi,n,pct
AR,0,20,0,0.0
AR,20,40,2,0.026
AR,40,60,16,0.209
AR,60,80,74,0.967
AR,80,100,166,2.169
AR,100,120,318,4.154
AR,120,140,505,6.597
AR,140,160,699,9.131
AR,160,180,734,9.589
AR,180,200,590,7.707
AR,200,220,602,7.864
AR,220,240,608,7.943
AR,240,260,408,5.33
AR,260,280,428,5.591
AR,280,300,419,5.474
AR,300,320,399,5.212
AR,320,340,394,5.147
AR,340,360,280,3.658
AR,360,380,243,3.174
AR,380,400,227,2.965
AR,400,420,183,2.391
AR,420,440,113,1.476
AR,440,460,65,0.849
AR,460,480,48,0.627
AR,480,500,36,0.47
AR,500,520,27,0.353
AR,520,540,15,0.196
AR,540,560,12,0.157
AR,560,580,13,0.17
AR,580,600,16,0.209
AR,600,620,10,0.131
AR,620,640,2,0.026
AR,640,660,1,0.013
AR,660,680,1,0.013
AR,680,700,1,0.013
AR,700,720,0,0.0
AR,720,740,0,0.0
AR,740,760,0,0.0
AR,760,780,0,0.0
AR,780,800,0,0.0
Pocket2Mol,0,20,0,0.0
Pocket2Mol,20,40,1,0.013
Pocket2Mol,40,60,7,0.09
Pocket2Mol,60,80,100,1.287
Pocket2Mol,80,100,242,3.114
Pocket2Mol,100,120,384,4.941
Pocket2Mol,120,140,815,10.486
Pocket2Mol,140,160,732,9.418
Pocket2Mol,160,180,767,9.869
Pocket2Mol,180,200,612,7.874
Pocket2Mol,200,220,410,5.275
Pocket2Mol,220,240,331,4.259
Pocket2Mol,240,260,422,5.43
Pocket2Mol,260,280,328,4.22
Pocket2Mol,280,300,239,3.075
Pocket2Mol,300,320,198,2.548
Pocket2Mol,320,340,221,2.844
Pocket2Mol,340,360,260,3.345
Pocket2Mol,360,380,275,3.538
Pocket2Mol,380,400,194,2.496
Pocket2Mol,400,420,151,1.943
Pocket2Mol,420,440,165,2.123
Pocket2Mol,440,460,180,2.316
Pocket2Mol,460,480,119,1.531
Pocket2Mol,480,500,88,1.132
Pocket2Mol,500,520,109,1.402
Pocket2Mol,520,540,130,1.673
Pocket2Mol,540,560,130,1.673
Pocket2Mol,560,580,82,1.055
Pocket2Mol,580,600,42,0.54
Pocket2Mol,600,620,12,0.154
Pocket2Mol,620,640,7,0.09
Pocket2Mol,640,660,7,0.09
Pocket2Mol,660,680,12,0.154
Pocket2Mol,680,700,0,0.0
