method,n_molecules,group,check,n_failed,pct_pass
Reference ligand,79,Bond geometry,bond_lengths,0,100.0
Reference ligand,79,Bond geometry,bond_angles,0,100.0
Reference ligand,79,Aromatic ring flatness,aromatic_ring_flatness,0,100.0
Reference ligand,79,Valence & connectivity,sanitization,0,100.0
Reference ligand,79,Valence & connectivity,all_atoms_connected,0,100.0
Reference ligand,79,Valence & connectivity,inchi_convertible,0,100.0
Reference ligand,79,Valence & connectivity,no_radicals,0,100.0
Reference ligand,79,Protein clash & overlap,minimum_distance_to_protein,2,97.468
Reference ligand,79,Protein clash & overlap,volume_overlap_with_protein,0,100.0
Reference ligand,79,Protein clash & overlap,protein-ligand_maximum_distance,0,100.0
Reference ligand,79,Protein clash & overlap,minimum_distance_to_organic_cofactors,0,100.0
Reference ligand,79,Protein clash & overlap,minimum_distance_to_inorganic_cofactors,0,100.0
Reference ligand,79,Protein clash & overlap,minimum_distance_to_waters,0,100.0
Reference ligand,79,Protein clash & overlap,volume_overlap_with_organic_cofactors,0,100.0
Reference ligand,79,Protein clash & overlap,volume_overlap_with_inorganic_cofactors,0,100.0
Reference ligand,79,Protein clash & overlap,volume_overlap_with_waters,0,100.0
Reference ligand,79,Ring pucker & internal strain,non-aromatic_ring_non-flatness,1,98.734
Reference ligand,79,Ring pucker & internal strain,internal_steric_clash,0,100.0
Reference ligand,79,Ring pucker & internal strain,internal_energy,0,100.0
Reference ligand,79,Ring pucker & internal strain,double_bond_flatness,0,100.0
AR,7615,Bond geometry,bond_lengths,152,98.004
AR,7615,Bond geometry,bond_angles,1022,86.579
AR,7615,Aromatic ring flatness,aromatic_ring_flatness,645,91.53
AR,7615,Valence & connectivity,sanitization,0,100.0
AR,7615,Valence & connectivity,all_atoms_connected,0,100.0
AR,7615,Valence & connectivity,inchi_convertible,0,100.0
AR,7615,Valence & connectivity,no_radicals,0,100.0
AR,7615,Protein clash & overlap,minimum_distance_to_protein,296,96.113
AR,7615,Protein clash & overlap,volume_overlap_with_protein,30,99.606
AR,7615,Protein clash & overlap,protein-ligand_maximum_distance,0,100.0
AR,7615,Protein clash & overlap,minimum_distance_to_organic_cofactors,0,100.0
AR,7615,Protein clash & overlap,minimum_distance_to_inorganic_cofactors,0,100.0
AR,7615,Protein clash & overlap,minimum_distance_to_waters,0,100.0
AR,7615,Protein clash & overlap,volume_overlap_with_organic_cofactors,0,100.0
AR,7615,Protein clash & overlap,volume_overlap_with_inorganic_cofactors,0,100.0
AR,7615,Protein clash & overlap,volume_overlap_with_waters,0,100.0
AR,7615,Ring pucker & internal strain,non-aromatic_ring_non-flatness,4,99.947
AR,7615,Ring pucker & internal strain,internal_steric_clash,768,89.915
AR,7615,Ring pucker & internal strain,internal_energy,68,99.107
AR,7615,Ring pucker & internal strain,double_bond_flatness,238,96.875
Pocket2Mol,7772,Bond geometry,bond_lengths,805,89.642
Pocket2Mol,7772,Bond geometry,bond_angles,158,97.967
Pocket2Mol,7772,Aromatic ring flatness,aromatic_ring_flatness,36,99.537
Pocket2Mol,7772,Valence & connectivity,sanitization,0,100.0
