arm,heavy_atoms,n,clash_median,clash_mean
AR,5,60,1.0,2.53
AR,6,105,1.0,2.48
AR,7,175,2.0,2.64
AR,8,236,2.0,2.95
AR,9,369,2.0,3.19
AR,10,440,3.0,3.42
AR,11,524,3.0,3.87
AR,12,468,3.0,4.14
AR,13,432,3.0,4.49
AR,14,404,3.0,4.68
AR,15,425,3.0,5.08
AR,16,423,3.0,5.35
AR,17,321,3.0,5.33
AR,18,288,3.0,5.12
AR,19,293,4.0,4.91
AR,20,282,4.0,4.88
AR,21,307,4.0,5.27
AR,22,298,4.0,5.67
AR,23,244,5.0,6.27
AR,24,237,6.0,7.1
AR,25,201,6.0,7.51
AR,26,169,6.0,8.32
AR,27,145,6.0,7.84
AR,28,153,6.0,8.03
AR,29,152,6.0,7.51
AR,30,118,6.0,7.51
AR,31,99,6.0,7.47
AR,32,49,6.0,7.51
AR,33,41,5.0,7.56
AR,34,22,5.0,6.35
AR,35,22,4.5,5.35
AR,36,16,5.0,5.42
AR,37,12,5.0,5.04
AR,38,17,4.0,4.97
AR,39,11,5.0,5.18
AR,40,10,6.0,6.55
AR,41,8,8.0,7.71
AR,42,10,8.0,8.43
AR,43,12,9.0,8.61
AR,44,11,,
Pocket2Mol,5,74,3.0,3.33
Pocket2Mol,6,140,3.0,3.77
Pocket2Mol,7,214,3.0,3.67
Pocket2Mol,8,255,3.0,3.7
Pocket2Mol,9,454,3.0,3.92
Pocket2Mol,10,589,3.0,4.1
Pocket2Mol,11,482,3.0,4.23
Pocket2Mol,12,495,4.0,4.53
Pocket2Mol,13,491,4.0,4.97
Pocket2Mol,14,399,4.0,5.56
Pocket2Mol,15,317,5.0,6.0
Pocket2Mol,16,214,5.0,6.7
Pocket2Mol,17,221,6.0,7.68
Pocket2Mol,18,283,6.0,7.48
Pocket2Mol,19,277,6.0,6.95
Pocket2Mol,20,199,6.0,6.29
Pocket2Mol,21,152,6.0,6.43
Pocket2Mol,22,152,6.0,6.66
Pocket2Mol,23,128,5.0,6.92
Pocket2Mol,24,127,6.0,7.55
Pocket2Mol,25,172,7.0,8.9
Pocket2Mol,26,224,7.0,9.43
Pocket2Mol,27,197,8.0,9.71
Pocket2Mol,28,196,8.0,10.29
Pocket2Mol,29,111,9.0,11.59
Pocket2Mol,30,99,11.0,12.74
Pocket2Mol,31,113,12.0,12.84
Pocket2Mol,32,104,12.0,12.87
Pocket2Mol,33,88,14.0,14.55
Pocket2Mol,34,112,12.0,13.74
Pocket2Mol,35,74,11.0,13.27
Pocket2Mol,36,46,10.0,11.97
Pocket2Mol,37,53,13.0,14.69
Pocket2Mol,38,67,15.0,18.12
Pocket2Mol,39,97,15.0,17.48
Pocket2Mol,40,80,15.0,17.7
Pocket2Mol,41,81,13.0,14.94
Pocket2Mol,42,53,15.0,17.73
Pocket2Mol,43,42,13.0,17.29
Pocket2Mol,44,30,19.5,19.82
DiffSBDD,5,66,1.0,2.41
DiffSBDD,6,89,2.0,2.85
DiffSBDD,7,112,2.0,3.65
DiffSBDD,8,199,2.0,4.38
DiffSBDD,9,287,3.0,4.54
DiffSBDD,10,340,3.0,4.87
DiffSBDD,11,352,3.0,5.43
DiffSBDD,12,341,4.0,6.17
DiffSBDD,13,320,4.0,7.11
DiffSBDD,14,274,4.5,7.71
DiffSBDD,15,246,5.0,8.64
DiffSBDD,16,270,5.0,9.54
DiffSBDD,17,248,6.0,11.0
DiffSBDD,18,288,6.0,11.98
DiffSBDD,19,294,7.0,12.1
DiffSBDD,20,348,7.0,13.58
DiffSBDD,21,333,7.0,14.68
DiffSBDD,22,288,8.0,16.12
DiffSBDD,23,296,8.0,16.51
DiffSBDD,24,284,9.0,16.86
DiffSBDD,25,261,9.0,16.68
DiffSBDD,26,266,10.0,16.21
DiffSBDD,27,244,11.0,16.87
DiffSBDD,28,236,12.0,18.51
DiffSBDD,29,177,13.0,20.54
DiffSBDD,30,182,14.0,21.22
DiffSBDD,31,167,14.0,21.0
DiffSBDD,32,158,14.0,21.13
DiffSBDD,33,138,15.0,21.82
DiffSBDD,34,113,17.5,24.49
DiffSBDD,35,75,19.0,25.58
DiffSBDD,36,74,21.0,29.5
DiffSBDD,37,59,21.5,30.22
DiffSBDD,38,37,22.0,33.63
DiffSBDD,39,35,21.5,30.66
DiffSBDD,40,30,24.0,35.44
DiffSBDD,41,24,25.0,37.73
DiffSBDD,42,19,42.0,50.21
