arm,heavy_atoms,n,clash_mean,clash_median
VoxBind,5,32,7.812,7.0
VoxBind,6,43,4.628,3.0
VoxBind,7,81,4.358,3.0
VoxBind,8,100,4.61,4.0
VoxBind,9,166,3.554,3.0
VoxBind,10,257,3.374,3.0
VoxBind,11,275,3.8,3.0
VoxBind,12,237,4.532,4.0
VoxBind,13,206,4.301,3.0
VoxBind,14,171,3.731,3.0
VoxBind,15,160,4.119,3.5
VoxBind,16,189,4.138,3.0
VoxBind,17,197,4.548,3.0
VoxBind,18,192,4.641,4.0
VoxBind,19,214,4.22,4.0
VoxBind,20,253,4.976,4.0
VoxBind,21,239,5.1,4.0
VoxBind,22,287,5.244,4.0
VoxBind,23,284,5.461,5.0
VoxBind,24,291,6.158,5.0
VoxBind,25,328,5.979,5.0
VoxBind,26,300,6.283,5.0
VoxBind,27,303,6.752,6.0
VoxBind,28,292,6.702,5.5
VoxBind,29,288,7.351,6.0
VoxBind,30,288,7.507,6.0
VoxBind,31,283,7.555,6.0
VoxBind,32,232,7.56,6.0
VoxBind,33,192,7.885,6.0
VoxBind,34,154,8.864,7.0
VoxBind,35,117,8.701,7.0
VoxBind,36,124,7.823,7.0
VoxBind,37,97,8.598,7.0
VoxBind,38,70,7.957,6.5
VoxBind,39,71,9.972,8.0
VoxBind,40,53,10.226,8.0
VoxBind,41,45,13.267,9.0
VoxBind,42,44,9.591,7.0
VoxBind,43,37,11.324,7.0
VoxBind,45,25,9.24,9.0
CoDE,5,39,5.359,3.0
CoDE,6,68,3.794,3.0
CoDE,7,98,4.061,3.0
CoDE,8,122,3.992,3.0
CoDE,9,163,5.368,4.0
CoDE,10,194,4.892,4.0
CoDE,11,227,5.004,4.0
CoDE,12,212,4.557,4.0
CoDE,13,191,4.66,4.0
CoDE,14,170,5.235,4.0
CoDE,15,146,5.11,4.0
CoDE,16,156,5.013,4.0
CoDE,17,164,5.268,4.0
CoDE,18,164,5.207,4.0
CoDE,19,133,4.955,4.0
CoDE,20,217,5.387,4.0
CoDE,21,172,6.291,5.0
CoDE,22,227,6.326,5.0
CoDE,23,278,8.004,6.0
CoDE,24,265,7.042,6.0
CoDE,25,307,7.547,6.0
CoDE,26,307,8.28,7.0
CoDE,27,284,8.739,7.0
CoDE,28,311,7.572,6.0
CoDE,29,316,8.139,7.0
CoDE,30,306,8.17,7.0
CoDE,31,276,8.587,8.0
CoDE,32,241,8.971,7.0
CoDE,33,256,9.938,8.5
CoDE,34,196,8.464,7.0
CoDE,35,178,9.135,7.0
CoDE,36,154,9.175,7.0
CoDE,37,123,9.683,8.0
CoDE,38,110,8.755,8.0
CoDE,39,98,11.51,9.0
CoDE,40,80,11.425,9.0
CoDE,41,74,9.351,8.5
CoDE,42,72,11.597,9.0
CoDE,43,41,12.22,10.0
CoDE,45,41,14.902,8.0
Reference ligand,5,,,
Reference ligand,6,,,
Reference ligand,7,,3.154,3.0
Reference ligand,8,,3.467,3.0
Reference ligand,9,,4.579,3.0
Reference ligand,10,,5.65,3.5
Reference ligand,11,,5.45,3.0
Reference ligand,12,,5.75,3.0
Reference ligand,13,,5.833,3.5
Reference ligand,14,,5.917,4.0
Reference ligand,15,,5.958,4.5
Reference ligand,16,,6.652,5.0
Reference ligand,17,,6.44,5.0
Reference ligand,18,,5.864,4.0
Reference ligand,19,,4.75,4.0
Reference ligand,20,,5.15,4.0
Reference ligand,21,,5.167,4.0
Reference ligand,22,,4.895,4.0
Reference ligand,23,,6.304,4.0
Reference ligand,24,,6.913,4.0
Reference ligand,25,,7.609,6.0
Reference ligand,26,,8.211,7.0
Reference ligand,27,,8.667,7.0
Reference ligand,28,,9.571,7.0
Reference ligand,29,,8.875,7.0
Reference ligand,30,,8.818,6.5
Reference ligand,31,,10.143,8.0
Reference ligand,32,,10.133,7.0
Reference ligand,33,,10.706,8.0
Reference ligand,34,,10.467,7.0
Reference ligand,35,,10.467,7.0
Reference ligand,36,,10.667,7.5
Reference ligand,37,,,
Reference ligand,38,,,
Reference ligand,39,,,
Reference ligand,40,,,
Reference ligand,41,,,
Reference ligand,42,,,
Reference ligand,43,,,
Reference ligand,45,,,
