arm,type,n_molecules,gen_mean,docked_mean,delta_mean,gen_median,docked_median,share_nonzero_gen_pct,share_nonzero_docked_pct
Reference,VdWContact,78,8.462,8.372,-0.09,8.0,8.0,100.0,100.0
Reference,Hydrophobic,78,1.564,1.756,0.192,0.0,1.0,48.72,57.69
Reference,HBAcceptor,78,1.974,1.821,-0.154,1.0,1.0,74.36,73.08
Reference,HBDonor,78,0.923,0.949,0.026,1.0,1.0,55.13,60.26
Reference,All interactions,78,12.923,12.897,-0.026,12.0,12.0,100.0,100.0
AR,VdWContact,1005,6.854,7.375,0.521,6.0,7.0,99.6,100.0
AR,Hydrophobic,1005,1.02,1.175,0.155,0.0,1.0,47.76,51.24
AR,HBAcceptor,1005,1.221,1.271,0.05,1.0,1.0,65.47,65.17
AR,HBDonor,1005,0.607,0.721,0.114,0.0,1.0,45.07,51.94
AR,All interactions,1005,9.701,10.542,0.841,9.0,10.0,99.6,100.0
Pocket2Mol,VdWContact,1014,6.901,6.94,0.038,6.0,6.0,99.9,99.9
Pocket2Mol,Hydrophobic,1014,1.643,1.756,0.113,1.0,1.0,66.96,70.61
Pocket2Mol,HBAcceptor,1014,1.01,0.991,-0.019,1.0,1.0,58.97,57.79
Pocket2Mol,HBDonor,1014,0.385,0.503,0.118,0.0,0.0,32.05,41.22
Pocket2Mol,All interactions,1014,9.939,10.19,0.251,9.0,9.0,100.0,99.9
DiffSBDD,VdWContact,1014,8.853,8.551,-0.302,9.0,8.0,100.0,100.0
DiffSBDD,Hydrophobic,1014,1.616,1.598,-0.019,1.0,1.0,70.32,71.5
DiffSBDD,HBAcceptor,1014,1.294,1.331,0.037,1.0,1.0,66.27,69.43
DiffSBDD,HBDonor,1014,0.54,0.693,0.153,0.0,1.0,40.83,50.59
DiffSBDD,All interactions,1014,12.304,12.174,-0.13,12.0,11.0,100.0,100.0
TargetDiff,VdWContact,1014,9.434,9.265,-0.169,9.0,9.0,99.9,100.0
TargetDiff,Hydrophobic,1014,1.624,1.66,0.036,1.0,1.0,68.74,72.78
TargetDiff,HBAcceptor,1014,1.522,1.484,-0.037,1.0,1.0,73.57,71.3
TargetDiff,HBDonor,1014,0.681,0.785,0.104,0.0,1.0,48.42,54.54
TargetDiff,All interactions,1014,13.261,13.194,-0.067,13.0,12.5,99.9,100.0
DecompDiff,VdWContact,1014,8.968,9.118,0.15,8.0,9.0,100.0,100.0
DecompDiff,Hydrophobic,1014,1.639,1.807,0.168,1.0,1.0,65.48,68.74
DecompDiff,HBAcceptor,1014,1.583,1.577,-0.006,1.0,1.0,72.09,70.41
DecompDiff,HBDonor,1014,0.655,0.786,0.131,0.0,1.0,46.06,54.73
DecompDiff,All interactions,1014,12.845,13.288,0.443,12.0,12.0,100.0,100.0
FuncBind,VdWContact,1014,7.626,8.153,0.527,7.0,8.0,100.0,100.0
FuncBind,Hydrophobic,1014,1.153,1.343,0.19,1.0,1.0,54.34,61.14
FuncBind,HBAcceptor,1014,1.401,1.41,0.009,1.0,1.0,67.16,64.89
FuncBind,HBDonor,1014,0.755,0.772,0.017,1.0,1.0,50.3,50.2
FuncBind,All interactions,1014,10.936,11.679,0.743,10.0,11.0,100.0,100.0
VoxBind,VdWContact,1013,8.45,8.978,0.528,8.0,9.0,100.0,100.0
VoxBind,Hydrophobic,1013,2.096,2.308,0.212,2.0,2.0,79.27,82.43
VoxBind,HBAcceptor,1013,0.952,1.121,0.17,1.0,1.0,53.11,60.41
VoxBind,HBDonor,1013,0.491,0.666,0.176,0.0,0.0,37.81,48.08
VoxBind,All interactions,1013,11.988,13.074,1.086,12.0,13.0,100.0,100.0
CoDE,VdWContact,1014,8.943,9.282,0.339,9.0,9.0,100.0,100.0
CoDE,Hydrophobic,1014,2.27,2.374,0.104,2.0,2.0,78.5,79.59
CoDE,HBAcceptor,1014,1.059,1.203,0.144,1.0,1.0,55.42,62.62
CoDE,HBDonor,1014,0.548,0.686,0.138,0.0,0.0,41.52,46.94
CoDE,All interactions,1014,12.821,13.545,0.725,13.0,13.0,100.0,100.0
