arm,heavy_atoms,n,n_window,strain_median,strain_mean
AR,5,60,165,19.238,37721.261
AR,6,105,340,32.15,20698.386
AR,7,175,516,51.124,2647.119
AR,8,236,780,75.926,21311.953
AR,9,369,1045,100.192,17505.858
AR,10,440,1333,125.227,14560.088
AR,11,524,1432,153.355,3835.497
AR,12,468,1424,179.547,-392213004.739
AR,13,432,1304,211.432,-428299660.824
AR,14,404,1261,230.357,-442892956.592
AR,15,425,1252,267.271,46091.296
AR,16,423,1169,289.381,73801.552
AR,17,321,1032,369.994,99480.834
AR,18,288,902,413.18,100591.245
AR,19,293,863,455.404,98341.884
AR,20,282,882,494.368,98540.526
AR,21,307,887,570.791,86931.881
AR,22,298,849,634.554,130360.906
AR,23,244,779,727.461,105593.929
AR,24,237,682,774.769,157471.063
AR,25,201,607,874.319,170710.479
AR,26,169,515,891.508,254688.538
AR,27,145,467,1013.267,322459.354
AR,28,153,450,980.433,270109.254
AR,29,152,423,1056.377,4571314647.224
AR,30,118,369,1142.299,8463242909.562
AR,31,99,265,1283.925,12140038580.43
AR,32,48,188,1463.187,7180252022.222
AR,33,41,111,1651.117,1446510489.64
AR,34,22,85,1644.924,780652228.548
AR,35,22,60,1859.859,2277.117
AR,36,16,50,2215.932,2432.27
AR,37,12,45,2301.59,2591.761
AR,38,17,40,2457.151,2553.047
AR,39,11,38,2322.929,2319.23
AR,40,10,29,2194.661,2168.676
AR,41,8,28,1507.371,2136.671
AR,42,10,30,2486.738,2849.549
AR,43,12,33,2708.838,2920.934
AR,44,11,23,,
Pocket2Mol,5,74,214,8.36,19.029
Pocket2Mol,6,140,428,9.56,19.05
Pocket2Mol,7,214,609,10.494,19.928
Pocket2Mol,8,255,923,12.672,22.839
Pocket2Mol,9,454,1298,14.325,31.218
Pocket2Mol,10,589,1525,15.277,32.773
Pocket2Mol,11,482,1566,16.286,38.355
Pocket2Mol,12,495,1468,19.052,38.091
Pocket2Mol,13,491,1385,23.599,45.614
Pocket2Mol,14,399,1207,27.277,50.086
Pocket2Mol,15,317,930,32.338,61.369
Pocket2Mol,16,214,752,40.053,71.344
Pocket2Mol,17,221,718,53.329,84.881
Pocket2Mol,18,283,781,62.067,101.073
Pocket2Mol,19,277,759,68.38,113.828
Pocket2Mol,20,199,628,80.119,149.017
Pocket2Mol,21,152,503,85.137,158.935
Pocket2Mol,22,152,432,85.933,167.132
Pocket2Mol,23,128,407,83.836,139.083
Pocket2Mol,24,127,427,97.657,149.876
Pocket2Mol,25,172,523,102.599,167.081
Pocket2Mol,26,224,593,125.957,199.026
Pocket2Mol,27,197,617,132.538,219.286
Pocket2Mol,28,196,504,151.198,251.671
Pocket2Mol,29,111,406,162.81,281.847
Pocket2Mol,30,99,323,195.147,366.469
Pocket2Mol,31,113,316,205.261,6099.275
Pocket2Mol,32,104,305,209.436,6288.982
Pocket2Mol,33,88,304,204.428,6277.504
Pocket2Mol,34,112,274,185.438,308.41
Pocket2Mol,35,74,232,183.327,306.567
Pocket2Mol,36,46,173,183.309,270.706
Pocket2Mol,37,53,166,224.304,332.021
Pocket2Mol,38,67,217,339.807,526.388
Pocket2Mol,39,97,244,379.916,529.982
