arm,rotatable_bonds,n,n_window,strain_median,strain_mean
AR,0,1120,1120,130.307,48366.886
AR,1,1479,1479,198.558,17433.264
AR,2,1300,1300,289.291,1487426564.061
AR,3,1195,1195,382.936,614968855.615
AR,4,882,882,515.189,64103810.884
AR,5,561,561,627.515,182134.138
AR,6,351,351,630.02,129234.668
AR,7,253,253,705.096,299222.019
AR,8,171,171,1019.194,232028.983
AR,9,121,121,1265.497,129062.661
AR,10,102,102,853.654,284981.891
AR,11,54,54,1473.42,394520.317
AR,12,32,32,2026.896,176216.194
Pocket2Mol,0,2583,2583,24.853,310.339
Pocket2Mol,1,2198,2198,34.199,95.866
Pocket2Mol,2,1275,1275,56.32,145.802
Pocket2Mol,3,757,757,99.961,229.601
Pocket2Mol,4,407,407,134.125,249.907
Pocket2Mol,5,239,239,122.711,181.865
Pocket2Mol,6,134,134,149.501,4726.937
Pocket2Mol,7,79,79,179.671,7923.079
Pocket2Mol,8,36,36,160.735,269.134
Pocket2Mol,9,40,40,138.264,173.363
Pocket2Mol,10,17,17,,
Pocket2Mol,11,5,5,,
Pocket2Mol,12,0,0,,
DiffSBDD,0,643,643,57.783,341.59
DiffSBDD,1,970,970,105.01,437.082
DiffSBDD,2,941,941,168.905,612.172
DiffSBDD,3,902,902,218.676,620.795
DiffSBDD,4,870,870,281.998,5378.336
DiffSBDD,5,765,765,378.088,996.833
DiffSBDD,6,594,594,409.093,1114.915
DiffSBDD,7,562,562,567.609,1268.895
DiffSBDD,8,462,462,682.565,1232.814
DiffSBDD,9,311,311,724.986,2157.013
DiffSBDD,10,221,221,919.411,1592.025
DiffSBDD,11,158,158,937.597,1915.81
DiffSBDD,12,101,101,1193.882,9199.641
TargetDiff,0,776,776,77.002,603.848
TargetDiff,1,959,959,137.504,5619.89
TargetDiff,2,1007,1007,204.828,23614.056
TargetDiff,3,955,955,264.578,17532.441
TargetDiff,4,792,792,384.459,74543.998
TargetDiff,5,700,700,520.434,436051739.715
TargetDiff,6,526,526,569.137,118501.357
TargetDiff,7,415,415,733.7,145678.021
TargetDiff,8,329,329,800.878,105437.215
TargetDiff,9,253,253,1138.608,246350.889
TargetDiff,10,199,199,1426.127,195187.41
TargetDiff,11,125,125,1282.485,232073849.929
TargetDiff,12,75,75,1983.519,191848.651
DecompDiff,0,463,463,34.931,224.752
DecompDiff,1,764,764,62.563,3460.21
DecompDiff,2,927,927,42.276,6082.177
DecompDiff,3,826,826,62.871,282.186
DecompDiff,4,602,602,138.503,715.809
DecompDiff,5,511,511,215.663,6602.742
DecompDiff,6,561,561,245.373,1740.204
DecompDiff,7,407,407,284.183,14212.379
DecompDiff,8,388,388,340.674,8834.501
DecompDiff,9,265,265,347.412,6112.69
DecompDiff,10,161,161,522.833,11594.876
DecompDiff,11,135,135,421.91,13801.341
DecompDiff,12,96,96,564.797,1363.388
FuncBind,0,914,914,41.287,2064.624
FuncBind,1,1344,1344,70.07,3700.987
FuncBind,2,1250,1250,105.266,26327.267
FuncBind,3,945,945,154.25,28711.251
FuncBind,4,704,704,303.106,209337.639
FuncBind,5,537,537,480.586,2294441781.576
FuncBind,6,758,758,5638.393,557977550051.816
FuncBind,7,336,336,981.591,100354496970.063
FuncBind,8,326,326,2411.32,30643742402.254
FuncBind,9,217,217,3181.102,661383928566.839
FuncBind,10,157,157,1210.326,85372783161.163
FuncBind,11,129,129,1839.713,49821388114.542
FuncBind,12,100,100,654.595,10010284.488
VoxBind,0,500,500,11.636,7024.896
VoxBind,1,915,915,18.853,2757.674
VoxBind,2,947,947,32.409,3845.71
VoxBind,3,1058,1058,41.147,12492.503
VoxBind,4,996,996,56.958,558999543.086
VoxBind,5,894,894,76.568,84450.273
VoxBind,6,663,663,105.147,1259628800.796
VoxBind,7,516,516,108.959,78540.71
VoxBind,8,382,382,154.299,63436.561
VoxBind,9,230,230,232.737,39071.689
VoxBind,10,151,151,329.234,897585734.982
VoxBind,11,123,123,287.423,265790.639
VoxBind,12,93,93,301.454,2644561843.001
CoDE,0,499,499,12.861,93.062
CoDE,1,851,851,25.865,3522.837
CoDE,2,905,905,41.897,13490.753
CoDE,3,985,985,61.841,15191.416
CoDE,4,1112,1112,81.052,43638.292
CoDE,5,1005,1005,98.253,2721453277.079
CoDE,6,749,749,128.76,11713097501.272
CoDE,7,619,619,177.94,341802.476
CoDE,8,412,412,270.766,6269558.361
CoDE,9,238,238,192.824,36792052.885
CoDE,10,165,165,264.314,14782862015.985
CoDE,11,106,106,313.575,19612325671.852
CoDE,12,56,56,304.507,306443018696.524
Reference ligand,0,6,18,12.864,38.026
Reference ligand,1,12,26,12.617,34.295
Reference ligand,2,8,25,10.722,32.079
Reference ligand,3,5,25,25.434,39.628
Reference ligand,4,12,23,24.15,63.088
Reference ligand,5,6,29,26.884,61.179
Reference ligand,6,11,23,48.125,112.767
Reference ligand,7,6,21,53.633,111.803
Reference ligand,8,4,16,56.19,146.886
Reference ligand,9,6,12,64.367,85.273
Reference ligand,10,2,8,,
Reference ligand,11,0,2,,
Reference ligand,12,0,0,,
