method,rotatable_bonds,n,strain_median,strain_q25,strain_q75,n_above_ylim
Reference ligand,0,6,12.864,12.531,13.186,0
Reference ligand,1,12,11.3,6.461,47.075,0
Reference ligand,2,8,10.199,4.454,27.645,0
Reference ligand,3,5,33.433,9.284,50.708,0
Reference ligand,4,12,35.814,14.987,64.683,0
Reference ligand,5,6,11.221,7.723,20.577,0
Reference ligand,6,11,42.21,22.387,65.822,0
Reference ligand,7,6,56.19,53.764,240.16,0
AR,0,1120,130.307,54.855,304.569,43
AR,1,1479,198.558,89.372,505.291,45
AR,2,1300,289.291,128.568,728.454,79
AR,3,1195,382.936,163.306,977.847,75
AR,4,882,515.189,214.337,1417.043,60
AR,5,561,627.515,276.752,1595.551,41
AR,6,351,630.02,271.219,1378.514,18
AR,7,253,705.096,353.671,1471.088,21
Pocket2Mol,0,2583,24.853,7.556,68.32,1
Pocket2Mol,1,2198,34.199,13.391,94.21,0
Pocket2Mol,2,1275,56.32,21.916,148.218,0
Pocket2Mol,3,757,99.961,36.812,234.086,0
Pocket2Mol,4,407,134.125,66.82,250.079,0
Pocket2Mol,5,239,122.711,66.823,219.094,0
Pocket2Mol,6,134,149.501,101.896,222.388,1
Pocket2Mol,7,79,179.671,113.673,291.438,1
DiffSBDD,0,643,57.783,15.607,228.624,0
DiffSBDD,1,970,105.01,33.885,329.066,0
DiffSBDD,2,941,168.905,51.222,411.588,0
DiffSBDD,3,902,218.676,81.496,563.625,0
DiffSBDD,4,870,281.998,127.767,710.749,1
DiffSBDD,5,765,378.088,169.939,946.724,0
DiffSBDD,6,594,409.093,201.792,1009.128,0
DiffSBDD,7,562,567.609,288.236,1412.298,0
TargetDiff,0,776,77.002,15.485,348.969,0
TargetDiff,1,959,137.504,38.876,464.795,6
TargetDiff,2,1007,204.828,58.544,673.664,16
TargetDiff,3,955,264.578,99.164,898.941,25
TargetDiff,4,792,384.459,150.062,1310.789,41
TargetDiff,5,700,520.434,216.519,1678.668,48
TargetDiff,6,526,569.137,249.272,2044.856,46
TargetDiff,7,415,733.7,318.803,2635.369,38
DecompDiff,0,463,34.931,6.699,216.324,0
DecompDiff,1,764,62.563,14.601,240.889,3
DecompDiff,2,927,42.276,12.797,217.458,1
DecompDiff,3,826,62.871,16.692,250.528,0
DecompDiff,4,602,138.503,48.417,363.396,2
DecompDiff,5,511,215.663,77.388,464.385,2
DecompDiff,6,561,245.373,98.08,508.996,3
DecompDiff,7,407,284.183,123.155,580.748,7
FuncBind,0,914,41.287,10.955,108.443,2
FuncBind,1,1344,70.07,25.992,179.157,13
FuncBind,2,1250,105.266,28.694,327.015,50
FuncBind,3,945,154.25,51.138,429.869,42
FuncBind,4,704,303.106,126.607,1784.692,65
FuncBind,5,537,480.586,151.203,2433.553,49
FuncBind,6,758,5638.393,440.3,315213.131,335
FuncBind,7,336,981.591,216.55,6261.236,60
VoxBind,0,500,11.636,1.283,33.381,4
VoxBind,1,915,18.853,5.33,50.558,3
VoxBind,2,947,32.409,11.884,76.017,9
VoxBind,3,1058,41.147,16.4,95.37,14
VoxBind,4,996,56.958,27.78,125.284,43
VoxBind,5,894,76.568,37.562,217.757,40
VoxBind,6,663,105.147,48.63,552.888,43
VoxBind,7,516,108.959,58.089,429.203,21
CoDE,0,499,12.861,2.077,40.255,0
CoDE,1,851,25.865,7.258,57.645,5
CoDE,2,905,41.897,15.558,99.474,21
CoDE,3,985,61.841,23.825,153.254,36
CoDE,4,1112,81.052,35.631,224.399,76
CoDE,5,1005,98.253,51.71,430.895,78
CoDE,6,749,128.76,67.028,585.458,46
CoDE,7,619,177.94,78.204,1216.686,47
