heavy_atoms,plotted_in,n_ar,ar_mean,ar_median,ar_pct,n_pocket2mol,pocket2mol_mean,pocket2mol_median,pocket2mol_pct,n_diffsbdd,diffsbdd_mean,diffsbdd_median,diffsbdd_pct,n_decompdiff,decompdiff_mean,decompdiff_median,decompdiff_pct,n_funcbind,funcbind_mean,funcbind_median,funcbind_pct,n_targetdiff,targetdiff_mean,targetdiff_median,targetdiff_pct,n_voxbind,voxbind_mean,voxbind_median,voxbind_pct,n_code,code_mean,code_median,code_pct,reference_source,n_reference_total,n_reference_exact,n_reference_window,reference_firm,reference_mean,reference_median,reference_pct_exact,reference_pct_rolled_core,reference_pct_rolled_all
5,core,60,-3.125,-3.259,0.784,74,-3.137,-3.096,0.952,66,-2.930,-2.924,0.855,0,,,0.000,67,-3.205,-3.225,0.849,28,-3.169,-3.138,0.384,32,-2.788,-3.266,0.406,39,-3.092,-3.101,0.495,crossdocked,100090,111,4427,yes,-4.180,-4.306,0.111,0.875,
6,core+all,105,-3.469,-3.490,1.372,140,-3.398,-3.421,1.801,89,-1.824,-3.457,1.153,392,-2.569,-3.253,6.099,78,-3.106,-3.442,0.988,120,-3.383,-3.368,1.647,44,-2.491,-3.620,0.558,68,-3.491,-3.438,0.864,crossdocked,100090,709,7308,yes,-4.582,-4.763,0.708,1.209,1.429
7,core+all,175,-3.783,-3.815,2.286,214,-2.489,-3.753,2.753,112,-3.524,-3.858,1.451,0,,,0.000,294,-3.604,-3.903,3.724,108,-3.684,-3.772,1.482,81,-3.915,-3.922,1.027,98,-3.795,-3.806,1.245,crossdocked,100090,655,10412,yes,-4.771,-5.043,0.654,1.479,1.707
8,core+all,236,-4.233,-4.234,3.083,255,-4.054,-4.273,3.281,199,-4.106,-4.062,2.578,195,-4.011,-4.223,3.034,328,-4.169,-4.412,4.155,206,-4.162,-4.170,2.827,100,-4.286,-4.232,1.268,122,-3.939,-4.189,1.550,crossdocked,100090,1043,13318,yes,-5.019,-5.252,1.042,1.658,1.879
9,core+all,369,-4.587,-4.662,4.820,454,-4.641,-4.678,5.841,287,-4.426,-4.451,3.718,196,-4.310,-4.392,3.050,261,-4.680,-4.810,3.306,177,-4.369,-4.555,2.429,168,-4.635,-4.651,2.130,164,-4.661,-4.706,2.083,crossdocked,100090,1861,15445,yes,-5.162,-5.369,1.859,1.715,1.915
10,core+all,440,-4.863,-5.017,5.748,589,-4.729,-5.090,7.578,340,-4.753,-4.796,4.404,98,-3.915,-5.506,1.525,324,-5.034,-5.084,4.104,212,-4.904,-4.963,2.909,266,-5.005,-4.944,3.373,194,-5.121,-5.166,2.464,crossdocked,100090,2881,17784,yes,-5.358,-5.514,2.878,1.974,1.974
11,core+all,524,-5.192,-5.229,6.845,482,-5.071,-5.440,6.202,352,-4.995,-5.169,4.560,390,-5.151,-5.193,6.068,379,-5.448,-5.598,4.801,340,-4.957,-5.276,4.666,280,-5.297,-5.332,3.550,232,-5.667,-5.726,2.947,crossdocked,100090,3104,19376,yes,-5.605,-5.687,3.101,2.151,2.151
12,core+all,468,-5.285,-5.634,6.114,495,-5.573,-5.797,6.369,341,-4.940,-5.234,4.417,192,-6.164,-6.136,2.987,396,-5.449,-5.985,5.016,365,-5.477,-5.523,5.009,248,-5.541,-5.595,3.144,217,-5.911,-6.085,2.756,crossdocked,100090,2910,21843,yes,-5.845,-5.877,2.907,2.425,2.425
13,core+all,432,-5.895,-5.942,5.643,491,-6.057,-6.188,6.318,320,-5.377,-5.592,4.145,380,-6.141,-6.136,5.913,368,-5.900,-5.905,4.661,199,-5.788,-5.945,2.731,213,-5.811,-5.951,2.701,203,-6.147,-6.287,2.578,crossdocked,100090,2171,23184,yes,-6.065,-6.065,2.169,2.574,2.574
14,core+all,404,-6.183,-6.203,5.278,399,-6.210,-6.295,5.134,274,-5.669,-5.904,3.549,94,-5.780,-5.732,1.463,336,-6.015,-6.100,4.256,179,-5.587,-6.112,2.456,172,-6.093,-6.188,2.181,177,-6.330,-6.431,2.248,crossdocked,100090,2450,23938,yes,-6.275,-6.326,2.448,2.657,2.657
15,core+all,425,-6.289,-6.401,5.552,317,-6.558,-6.652,4.079,246,-5.954,-6.059,3.187,383,-6.226,-6.128,5.959,318,-6.107,-6.486,4.028,151,-5.910,-6.350,2.072,163,-5.835,-6.525,2.067,161,-6.461,-6.588,2.045,crossdocked,100090,2301,24182,yes,-6.573,-6.686,2.299,2.684,2.684
16,core+all,423,-6.189,-6.541,5.526,214,-6.838,-6.695,2.753,270,-6.289,-6.393,3.497,372,-6.376,-6.019,5.788,380,-6.633,-6.704,4.813,136,-6.750,-6.744,1.866,199,-6.744,-6.899,2.523,176,-6.790,-6.836,2.235,crossdocked,100090,3122,25973,yes,-7.017,-7.111,3.119,2.883,2.883
17,core+all,321,-6.652,-6.763,4.193,221,-7.121,-7.007,2.844,248,-6.326,-6.654,3.212,179,-6.083,-6.269,2.785,295,-7.062,-7.202,3.737,177,-6.838,-6.924,2.429,218,-6.737,-7.325,2.764,181,-6.995,-7.203,2.299,crossdocked,100090,2384,27557,yes,-7.310,-7.432,2.382,3.059,3.059
18,core+all,288,-7.085,-6.973,3.762,283,-7.501,-7.557,3.641,288,-6.441,-6.668,3.731,147,-5.429,-5.181,2.287,249,-7.741,-7.809,3.154,194,-7.040,-6.986,2.662,202,-7.358,-7.506,2.561,194,-7.350,-7.401,2.464,crossdocked,100090,2615,28737,yes,-7.560,-7.685,2.613,3.190,3.190
19,core+all,293,-7.705,-7.757,3.828,277,-8.219,-8.225,3.564,294,-6.858,-6.818,3.808,95,-8.356,-8.318,1.478,204,-7.895,-8.101,2.584,229,-7.212,-7.227,3.143,229,-7.691,-7.850,2.904,152,-7.353,-7.527,1.931,crossdocked,100090,3125,30742,yes,-7.786,-7.887,3.122,3.413,3.413
20,core+all,282,-7.707,-7.695,3.684,199,-8.722,-8.695,2.560,348,-6.806,-7.003,4.508,264,-6.568,-6.622,4.108,258,-8.520,-8.605,3.268,269,-7.272,-7.354,3.692,273,-7.677,-7.808,3.461,239,-7.923,-8.017,3.036,crossdocked,100090,4895,32269,yes,-7.939,-8.033,4.891,3.582,3.582
21,core+all,307,-7.982,-8.039,4.010,152,-8.642,-8.750,1.956,333,-7.065,-7.222,4.313,350,-8.443,-8.468,5.446,280,-8.264,-8.446,3.547,338,-7.673,-7.591,4.638,259,-7.450,-7.899,3.284,184,-7.723,-8.055,2.337,crossdocked,100090,4494,33740,yes,-8.131,-8.204,4.490,3.746,3.746
22,core+all,298,-8.247,-8.363,3.893,152,-9.181,-9.159,1.956,288,-7.361,-7.505,3.731,75,-7.143,-7.232,1.167,307,-8.446,-8.372,3.889,219,-7.751,-7.801,3.005,306,-8.051,-8.201,3.880,242,-8.158,-8.248,3.074,crossdocked,100090,3351,36126,yes,-8.288,-8.341,3.348,4.010,4.010
23,core+all,244,-8.300,-8.300,3.187,128,-9.120,-8.964,1.647,296,-7.624,-7.628,3.834,248,-8.085,-7.925,3.859,348,-8.587,-8.445,4.408,366,-8.036,-8.018,5.023,296,-8.225,-8.353,3.753,295,-8.279,-8.540,3.747,crossdocked,100090,4455,39006,yes,-8.500,-8.529,4.451,4.330,4.330
24,core+all,237,-8.609,-8.554,3.096,127,-9.444,-9.034,1.634,284,-7.782,-7.764,3.679,0,,,0.000,299,-9.025,-8.974,3.787,236,-8.077,-8.111,3.239,323,-8.425,-8.563,4.095,287,-8.649,-8.745,3.645,crossdocked,100090,3828,40653,yes,-8.668,-8.668,3.825,4.513,4.513
25,core+all,201,-8.986,-8.850,2.626,172,-9.736,-9.581,2.213,261,-7.953,-7.935,3.381,161,-7.355,-7.288,2.505,319,-8.886,-8.854,4.041,296,-8.000,-8.256,4.062,347,-8.805,-8.894,4.400,322,-8.923,-9.029,4.090,crossdocked,100090,4593,38906,yes,-8.793,-8.783,4.589,4.319,4.319
26,core+all,169,-8.765,-8.568,2.208,224,-9.968,-9.858,2.882,266,-8.226,-8.335,3.446,252,-7.548,-7.118,3.921,262,-9.499,-9.427,3.319,135,-8.824,-8.676,1.853,326,-8.887,-9.128,4.133,327,-9.049,-9.077,4.153,crossdocked,100090,4770,37994,yes,-8.961,-8.909,4.766,4.218,4.218
27,core+all,145,-8.900,-8.442,1.894,197,-9.976,-9.840,2.535,244,-7.784,-8.284,3.161,474,-7.956,-8.149,7.375,350,-8.078,-8.581,4.433,418,-8.634,-8.751,5.736,328,-9.216,-9.120,4.159,297,-9.195,-9.285,3.772,crossdocked,100090,5495,38026,yes,-9.055,-8.988,5.490,4.221,4.221
28,core+all,153,-9.242,-9.008,1.999,196,-9.890,-9.769,2.522,236,-8.195,-8.245,3.057,87,-8.312,-8.380,1.354,265,-9.193,-8.733,3.357,375,-8.893,-8.831,5.146,320,-9.394,-9.331,4.057,329,-9.404,-9.387,4.179,crossdocked,100090,4772,36885,yes,-9.209,-9.108,4.768,4.095,4.095
29,core+all,152,-9.319,-9.302,1.986,111,-9.863,-9.683,1.428,177,-8.707,-8.766,2.293,195,-8.989,-9.014,3.034,148,-10.145,-9.765,1.875,182,-9.047,-8.982,2.498,311,-9.035,-9.459,3.943,326,-9.698,-9.764,4.141,crossdocked,100090,3148,35729,yes,-9.324,-9.222,3.145,3.966,3.966
30,core+all,118,-9.859,-9.895,1.541,99,-9.528,-9.587,1.274,182,-8.546,-8.745,2.358,0,,,0.000,101,-10.421,-9.549,1.279,226,-9.167,-9.341,3.101,301,-9.546,-9.665,3.816,322,-9.983,-10.003,4.090,crossdocked,100090,3582,33282,yes,-9.445,-9.355,3.579,3.695,3.889
31,core+all,99,-9.398,-9.225,1.293,113,-10.097,-10.030,1.454,167,-8.925,-8.892,2.163,208,-9.550,-9.294,3.236,80,-10.110,-9.540,1.013,304,-9.373,-9.418,4.172,290,-9.530,-9.655,3.677,289,-10.061,-10.089,3.671,crossdocked,100090,3383,30364,yes,-9.560,-9.439,3.380,3.371,3.763
32,core+all,49,-10.669,-10.304,0.640,104,-10.276,-9.605,1.338,158,-9.080,-9.034,2.047,170,-9.015,-8.763,2.645,73,-10.750,-10.308,0.925,181,-9.171,-9.173,2.484,236,-9.827,-9.650,2.992,254,-10.124,-9.946,3.226,crossdocked,100090,3314,26226,yes,-9.635,-9.463,3.311,2.911,3.475
33,core+all,41,-10.717,-10.567,0.536,88,-11.021,-10.479,1.132,138,-9.102,-9.148,1.788,198,-8.643,-8.922,3.081,66,-10.675,-9.963,0.836,166,-9.471,-9.409,2.278,206,-10.217,-9.969,2.612,267,-10.469,-10.354,3.391,crossdocked,100090,2672,22381,yes,-9.719,-9.537,2.670,2.485,3.217
34,core,22,,,0.287,112,-11.198,-10.974,1.441,113,-9.377,-9.055,1.464,0,,,0.000,58,-10.020,-9.441,0.735,134,-9.810,-9.751,1.839,161,-9.835,-9.690,2.041,208,-10.575,-10.465,2.642,crossdocked,100090,2146,20152,yes,-9.785,-9.604,2.144,2.237,
35,core,22,,,0.287,74,-12.156,-11.942,0.952,75,-9.370,-9.521,0.972,129,-8.064,-7.728,2.007,62,-10.326,-10.175,0.785,89,-9.419,-9.462,1.221,128,-10.243,-10.008,1.623,187,-10.526,-10.558,2.375,crossdocked,100090,1852,17309,yes,-9.828,-9.676,1.850,1.921,
36,core,16,,,0.209,46,-12.253,-11.619,0.592,74,-9.379,-9.572,0.959,0,,,0.000,58,-10.755,-10.506,0.735,108,-10.255,-10.227,1.482,126,-9.736,-9.827,1.598,161,-10.554,-10.316,2.045,crossdocked,100090,1357,14600,yes,-9.867,-9.700,1.356,1.621,
37,core,12,,,0.157,53,-12.299,-11.968,0.682,59,-9.578,-9.558,0.764,186,-8.912,-8.971,2.894,65,-11.110,-10.870,0.823,71,-10.475,-10.366,0.974,101,-9.582,-9.754,1.281,130,-10.715,-10.742,1.651,crossdocked,100090,927,11893,yes,-9.837,-9.671,0.926,1.320,
38,core,17,,,0.222,67,-12.993,-12.494,0.862,37,-9.471,-8.826,0.479,70,-8.951,-8.698,1.089,43,-10.981,-11.151,0.545,15,,,0.206,74,-9.828,-9.793,0.938,114,-10.822,-10.873,1.448,crossdocked,100090,919,9708,yes,-9.906,-9.730,0.918,1.078,
39,core,11,,,0.144,97,-11.469,-11.217,1.248,35,-8.929,-9.207,0.453,0,,,0.000,30,-10.917,-10.163,0.380,44,-10.510,-10.851,0.604,77,-10.093,-10.090,0.976,105,-10.892,-10.775,1.334,crossdocked,100090,739,7922,yes,-9.967,-9.774,0.738,0.879,
40,core,10,,,0.131,80,-12.733,-12.700,1.029,30,-9.549,-9.337,0.389,0,,,0.000,31,-11.045,-11.056,0.393,34,-9.852,-10.151,0.467,54,-9.043,-8.745,0.685,82,-10.933,-10.880,1.042,crossdocked,100090,674,6743,yes,-10.127,-9.940,0.673,0.749,
41,core,8,,,0.105,81,-12.383,-12.236,1.042,24,,,0.311,0,,,0.000,21,,,0.266,23,,,0.316,47,-9.736,-9.821,0.596,75,-10.634,-10.575,0.953,crossdocked,100090,607,5570,yes,-10.268,-10.063,0.606,0.618,
42,core,10,,,0.131,53,-10.638,-10.435,0.682,19,,,0.246,121,-13.315,-13.339,1.883,21,,,0.266,59,-10.759,-10.234,0.810,46,-9.847,-9.995,0.583,73,-10.959,-11.204,0.927,crossdocked,100090,487,4855,yes,-10.313,-10.152,0.487,0.580,
43,core,12,,,0.157,42,-9.738,-9.427,0.540,19,,,0.246,0,,,0.000,18,,,0.228,32,-10.536,-11.061,0.439,38,-9.372,-9.179,0.482,41,-11.307,-11.128,0.521,crossdocked,100090,360,4041,yes,-10.483,-10.358,0.360,0.532,
44,core,11,,,0.144,30,-9.725,-9.602,0.386,21,,,0.272,0,,,0.000,10,,,0.127,76,-10.551,-10.366,1.043,26,-10.344,-9.736,0.330,42,-11.168,-11.130,0.533,crossdocked,100090,673,3488,yes,-10.524,-10.548,0.672,0.497,
45,core,2,,,0.026,13,,,0.167,13,,,0.168,36,-9.242,-9.061,0.560,14,,,0.177,0,,,0.000,25,-9.179,-9.591,0.317,41,-11.055,-11.287,0.521,crossdocked,100090,184,2887,yes,-10.678,-10.794,0.184,0.462,
