rank,target,reference,n_ar,ar_mean,n_pocket2mol,pocket2mol_mean,n_diffsbdd,diffsbdd_mean,n_decompdiff,decompdiff_mean,n_funcbind,funcbind_mean,n_voxbind,voxbind_mean,n_code,code_mean
1,target_04,-8.784,100,-8.214,100,-12.355,96,-9.970,95,-8.356,100,-10.179,100,-12.760,99,-12.914
2,target_72,-15.972,100,-8.906,100,-14.991,95,-10.752,63,-14.170,100,-13.557,100,-12.218,100,-12.467
3,target_70,-12.137,94,-12.242,100,-13.107,94,-10.615,82,-11.902,98,-9.998,100,-11.182,100,-12.452
4,target_56,-3.403,100,-5.127,100,-4.265,99,-5.315,98,-3.180,100,-4.065,100,-10.365,99,-12.005
5,target_80,-14.651,100,-10.027,36,-14.553,97,-9.669,58,-12.387,100,-12.865,100,-11.244,98,-11.780
6,target_73,-12.315,47,-10.275,100,-10.544,98,-8.590,47,-11.006,100,-12.085,99,-10.939,100,-11.524
7,target_92,-9.046,87,-7.496,100,-11.555,100,-8.004,39,-9.366,100,-11.112,100,-10.211,100,-11.508
8,target_33,-5.702,100,-5.344,100,-4.711,98,-5.417,91,-5.319,100,-3.800,100,-10.495,99,-11.479
9,target_79,-9.354,100,-7.254,100,-8.099,99,-7.455,98,-8.802,100,-9.385,100,-9.526,100,-11.442
10,target_39,-6.722,100,-10.896,100,-10.240,97,-9.788,98,-7.933,99,-9.725,97,-11.581,99,-11.367
11,target_31,-6.067,100,-5.895,100,-9.779,97,-8.608,52,-6.644,100,-6.861,100,-8.647,100,-11.319
12,target_85,-7.983,100,-7.521,100,-9.293,95,-9.209,91,-9.276,100,-8.411,100,-8.678,99,-11.099
13,target_55,-3.126,100,-4.848,100,-2.629,99,-4.762,98,-1.720,100,-3.017,100,-9.490,99,-10.770
14,target_44,-9.317,100,-9.389,100,-8.344,93,-8.974,77,-9.053,100,-9.182,100,-8.558,100,-10.754
15,target_49,-11.956,100,-9.440,100,-9.901,98,-8.585,52,-9.967,100,-11.458,100,-10.206,100,-10.702
16,target_22,-9.861,98,-9.472,100,-9.229,96,-8.112,57,-9.280,100,-9.646,100,-8.023,99,-10.478
17,target_93,-7.837,96,-6.688,100,-7.451,99,-7.016,47,-8.421,100,-8.072,100,-8.787,100,-10.412
18,target_57,-6.959,91,-8.894,100,-6.013,98,-5.970,87,-7.088,100,-7.462,100,-7.977,99,-10.392
19,target_08,-5.493,92,-5.116,100,-5.183,100,-5.300,98,-3.915,100,-4.997,100,-8.923,99,-10.390
20,target_12,-9.499,100,-8.279,100,-8.557,99,-7.981,84,-8.657,100,-8.252,100,-8.818,100,-10.308
21,target_17,-7.861,100,-6.206,100,-8.006,98,-6.787,66,-7.419,100,-7.837,100,-8.544,100,-10.269
22,target_98,-9.195,100,-10.736,100,-11.960,96,-8.946,85,-9.633,100,-10.601,100,-9.818,100,-10.268
23,target_68,-8.132,100,-7.548,100,-8.723,99,-7.562,79,-8.509,100,-9.552,100,-9.369,100,-10.238
24,target_24,-9.898,77,-9.223,100,-9.523,99,-7.570,73,-8.970,100,-7.442,100,-8.934,100,-9.984
25,target_45,-6.874,100,-5.598,100,-6.503,98,-7.043,89,-6.997,100,-5.643,99,-9.356,100,-9.958
26,target_74,-9.199,100,-7.161,100,-7.003,99,-6.606,92,-8.655,100,-7.090,100,-9.473,99,-9.906
27,target_65,-4.093,100,-4.380,100,-3.871,100,-5.852,95,-3.617,100,-3.748,100,-7.317,100,-9.864
28,target_07,-9.452,86,-8.752,100,-9.436,96,-6.022,66,-8.334,100,-9.804,100,-9.095,100,-9.493
29,target_11,-9.387,100,-9.330,100,-10.560,99,-8.355,64,-9.062,99,-9.832,100,-9.793,98,-9.464
30,target_81,-9.463,100,-6.989,36,-9.785,98,-8.252,36,-9.242,100,-11.105,100,-9.466,100,-9.443
31,target_36,-9.004,100,-6.941,100,-10.117,99,-8.736,63,-9.185,100,-8.939,100,-9.672,100,-9.379
32,target_19,-9.574,100,-8.624,100,-8.912,96,-8.269,53,-9.078,100,-9.227,100,-8.922,100,-9.147
33,target_02,-6.896,100,-8.125,100,-9.541,97,-7.073,85,-7.102,100,-8.766,100,-8.658,99,-9.146
34,target_87,-7.596,98,-6.666,100,-5.838,94,-6.151,96,-8.125,100,-5.861,100,-8.436,100,-9.090
35,target_51,-8.383,100,-7.396,100,-8.206,100,-7.235,71,-8.710,100,-8.507,100,-9.344,99,-9.042
36,target_37,-7.011,100,-6.445,100,-7.493,95,-7.322,62,-6.944,100,-6.935,100,-8.192,99,-9.021
37,target_10,-8.522,100,-6.824,100,-10.937,97,-8.306,57,-9.114,100,-8.718,100,-9.283,100,-8.992
38,target_27,-4.424,100,-5.443,100,-9.262,98,-8.151,94,-5.618,100,-6.840,100,-9.120,100,-8.938
39,target_60,-10.016,100,-7.625,100,-8.626,99,-8.251,69,-8.940,100,-9.185,100,-8.303,100,-8.848
40,target_41,-8.109,100,-7.323,100,-8.039,98,-7.203,90,-7.992,100,-8.145,99,-8.467,99,-8.780
41,target_88,-8.465,100,-8.416,100,-8.474,97,-6.906,91,-8.542,100,-8.288,100,-8.160,100,-8.738
42,target_82,-9.568,100,-8.247,100,-7.372,100,-7.224,84,-8.840,100,-8.881,99,-8.790,99,-8.735
43,target_76,-9.108,100,-8.964,100,-11.708,97,-7.996,77,-9.385,100,-9.362,100,-8.331,99,-8.525
44,target_83,-9.680,92,-9.207,100,-9.360,98,-7.207,70,-8.951,100,-8.769,99,-8.506,98,-8.191
45,target_03,-7.444,100,-6.547,100,-6.638,100,-5.111,75,-7.143,100,-6.098,100,-7.293,99,-8.132
46,target_16,-7.049,100,-6.074,100,-6.170,96,-6.537,55,-7.023,100,-6.357,99,-6.940,100,-8.074
47,target_48,-7.323,100,-7.447,100,-6.928,99,-6.234,51,-6.382,100,-8.420,100,-7.460,100,-8.032
48,target_46,-8.621,4,-4.715,100,-5.731,97,-5.641,87,-8.312,100,-8.405,100,-7.343,99,-7.731
49,target_25,-7.715,100,-6.566,100,-7.072,99,-6.441,88,-7.550,100,-6.830,100,-8.685,100,-7.723
50,target_34,-6.260,100,-4.600,100,-5.142,100,-6.247,98,-6.359,100,-4.891,100,-6.938,100,-7.498
51,target_09,-5.242,100,-5.996,100,-7.621,97,-6.083,82,-6.067,100,-6.685,99,-7.245,100,-7.393
52,target_23,-6.712,100,-6.290,100,-6.708,97,-5.878,95,-6.424,100,-7.133,100,-7.301,100,-7.239
53,target_05,-6.258,100,-5.519,100,-5.619,98,-4.803,74,-6.370,99,-5.713,100,-5.960,100,-7.125
54,target_95,-7.014,100,-5.849,100,-7.404,99,-7.353,100,-6.519,100,-6.827,100,-7.165,100,-7.013
55,target_47,-7.194,100,-8.199,100,-7.877,99,-6.263,77,-7.637,100,-6.954,100,-7.126,99,-6.945
56,target_29,-5.916,100,-5.785,100,-5.614,100,-5.972,96,-5.718,100,-5.165,100,-6.645,100,-6.915
57,target_77,-4.342,100,-4.665,100,-4.444,100,-5.980,97,-4.490,100,-4.160,99,-8.065,100,-6.841
58,target_28,-5.005,93,-5.631,100,-5.505,98,-4.662,89,-5.532,100,-5.310,100,-6.184,100,-6.841
59,target_63,-6.754,100,-6.663,100,-2.222,100,-4.551,72,-7.233,100,-6.616,100,-5.152,100,-6.822
60,target_69,-5.436,100,-4.908,100,-5.385,99,-5.939,100,-5.559,100,-4.656,100,-6.852,100,-6.633
61,target_40,-5.871,100,-6.795,100,-5.928,99,-7.052,100,-6.054,100,-6.152,100,-7.232,100,-6.623
62,target_78,-5.160,100,-4.025,100,-4.737,97,-4.183,80,-5.835,100,-5.670,100,-5.276,100,-6.601
