rank,target,reference,n_voxbind,voxbind_mean,n_code,code_mean
1,target_04,-8.784,100,-12.760,99,-12.914
2,target_72,-15.972,100,-12.218,100,-12.467
3,target_70,-12.137,100,-11.182,100,-12.452
4,target_56,-3.403,100,-10.365,99,-12.005
5,target_80,-14.651,100,-11.244,98,-11.780
6,target_73,-12.315,99,-10.939,100,-11.524
7,target_92,-9.046,100,-10.211,100,-11.508
8,target_33,-5.702,100,-10.495,99,-11.479
9,target_79,-9.354,100,-9.526,100,-11.442
10,target_39,-6.722,97,-11.581,99,-11.367
11,target_31,-6.067,100,-8.647,100,-11.319
12,target_85,-7.983,100,-8.678,99,-11.099
13,target_55,-3.126,100,-9.490,99,-10.770
14,target_44,-9.317,100,-8.558,100,-10.754
15,target_49,-11.956,100,-10.206,100,-10.702
16,target_22,-9.861,100,-8.023,99,-10.478
17,target_93,-7.837,100,-8.787,100,-10.412
18,target_57,-6.959,100,-7.977,99,-10.392
19,target_08,-5.493,100,-8.923,99,-10.390
20,target_12,-9.499,100,-8.818,100,-10.308
21,target_17,-7.861,100,-8.544,100,-10.269
22,target_98,-9.195,100,-9.818,100,-10.268
23,target_68,-8.132,100,-9.369,100,-10.238
24,target_24,-9.898,100,-8.934,100,-9.984
25,target_45,-6.874,99,-9.356,100,-9.958
26,target_74,-9.199,100,-9.473,99,-9.906
27,target_65,-4.093,100,-7.317,100,-9.864
28,target_07,-9.452,100,-9.095,100,-9.493
29,target_11,-9.387,100,-9.793,98,-9.464
30,target_81,-9.463,100,-9.466,100,-9.443
31,target_36,-9.004,100,-9.672,100,-9.379
32,target_19,-9.574,100,-8.922,100,-9.147
33,target_02,-6.896,100,-8.658,99,-9.146
34,target_87,-7.596,100,-8.436,100,-9.090
35,target_51,-8.383,100,-9.344,99,-9.042
36,target_37,-7.011,100,-8.192,99,-9.021
37,target_10,-8.522,100,-9.283,100,-8.992
38,target_27,-4.424,100,-9.120,100,-8.938
39,target_60,-10.016,100,-8.303,100,-8.848
40,target_41,-8.109,99,-8.467,99,-8.780
41,target_88,-8.465,100,-8.160,100,-8.738
42,target_82,-9.568,99,-8.790,99,-8.735
43,target_76,-9.108,100,-8.331,99,-8.525
44,target_83,-9.680,99,-8.506,98,-8.191
45,target_03,-7.444,100,-7.293,99,-8.132
46,target_16,-7.049,99,-6.940,100,-8.074
47,target_48,-7.323,100,-7.460,100,-8.032
48,target_46,-8.621,100,-7.343,99,-7.731
49,target_25,-7.715,100,-8.685,100,-7.723
50,target_34,-6.260,100,-6.938,100,-7.498
51,target_09,-5.242,99,-7.245,100,-7.393
52,target_23,-6.712,100,-7.301,100,-7.239
53,target_05,-6.258,100,-5.960,100,-7.125
54,target_95,-7.014,100,-7.165,100,-7.013
55,target_47,-7.194,100,-7.126,99,-6.945
56,target_29,-5.916,100,-6.645,100,-6.915
57,target_77,-4.342,99,-8.065,100,-6.841
58,target_28,-5.005,100,-6.184,100,-6.841
59,target_63,-6.754,100,-5.152,100,-6.822
60,target_69,-5.436,100,-6.852,100,-6.633
61,target_40,-5.871,100,-7.232,100,-6.623
62,target_78,-5.160,100,-5.276,100,-6.601
63,target_62,-6.658,100,-6.769,100,-6.573
64,target_91,-5.737,99,-6.203,99,-6.513
65,target_30,-7.148,100,-6.391,100,-6.505
66,target_15,-4.676,100,-7.212,100,-6.348
67,target_18,-6.792,100,-6.809,100,-6.236
68,target_99,-5.972,100,-6.114,100,-5.777
69,target_58,-4.553,100,-5.654,100,-5.765
70,target_64,-6.735,100,-5.806,100,-5.761
71,target_71,-5.291,100,-4.656,99,-5.745
72,target_38,-4.834,100,-4.487,100,-5.245
73,target_66,-4.460,100,-4.794,100,-5.196
74,target_50,-5.143,100,-5.174,100,-5.118
75,target_43,-4.841,100,-5.744,100,-5.067
76,target_14,-3.993,100,-5.107,100,-4.623
77,target_89,-4.591,100,-4.927,100,-3.772
78,target_90,-2.751,100,-4.249,100,-3.724
79,target_96,-3.456,99,-2.989,100,-3.428
