rank,target,reference,n_ar,ar_median,n_pocket2mol,pocket2mol_median,n_diffsbdd,diffsbdd_median,n_decompdiff,decompdiff_median,n_funcbind,funcbind_median,n_voxbind,voxbind_median,n_code,code_median
1,target_04,-8.784,100,-8.567,100,-12.277,96,-9.799,95,-8.318,100,-10.075,100,-12.488,99,-13.072
2,target_70,-12.137,94,-12.819,100,-14.499,94,-10.715,82,-12.047,98,-9.527,100,-11.179,100,-12.397
3,target_72,-15.972,100,-9.299,100,-15.437,95,-11.037,63,-13.849,100,-13.598,100,-12.516,100,-12.363
4,target_56,-3.403,100,-5.373,100,-4.325,99,-4.953,98,-3.289,100,-4.042,100,-10.708,99,-12.132
5,target_80,-14.651,100,-9.802,36,-16.243,97,-9.932,58,-12.006,100,-12.855,100,-11.345,98,-11.655
6,target_79,-9.354,100,-7.880,100,-7.963,99,-8.019,98,-8.787,100,-9.319,100,-9.433,100,-11.572
7,target_39,-6.722,100,-10.841,100,-10.386,97,-9.972,98,-7.932,99,-9.505,97,-11.337,99,-11.465
8,target_92,-9.046,87,-8.315,100,-11.873,100,-7.979,39,-9.477,100,-11.110,100,-10.092,100,-11.446
9,target_73,-12.315,47,-10.319,100,-9.945,98,-8.927,47,-11.041,100,-11.889,99,-11.115,100,-11.421
10,target_55,-3.126,100,-5.253,100,-4.277,99,-4.972,98,-3.083,100,-4.194,100,-10.533,99,-11.154
11,target_31,-6.067,100,-6.304,100,-10.764,97,-8.909,52,-6.518,100,-6.441,100,-8.745,100,-11.119
12,target_33,-5.702,100,-6.497,100,-5.416,98,-5.711,91,-5.754,100,-5.847,100,-10.020,99,-10.914
13,target_44,-9.317,100,-9.344,100,-8.759,93,-9.023,77,-9.137,100,-9.141,100,-8.253,100,-10.674
14,target_49,-11.956,100,-9.753,100,-10.434,98,-8.765,52,-10.050,100,-11.315,100,-10.296,100,-10.648
15,target_85,-7.983,100,-7.931,100,-9.644,95,-9.120,91,-9.329,100,-8.386,100,-8.942,99,-10.625
16,target_22,-9.861,98,-9.675,100,-9.630,96,-8.238,57,-9.487,100,-9.691,100,-7.854,99,-10.431
17,target_17,-7.861,100,-6.627,100,-8.043,98,-6.838,66,-7.516,100,-7.886,100,-8.357,100,-10.419
18,target_12,-9.499,100,-8.441,100,-8.538,99,-8.145,84,-8.659,100,-8.278,100,-9.095,100,-10.353
19,target_57,-6.959,91,-8.787,100,-6.821,98,-6.320,87,-7.040,100,-7.612,100,-7.771,99,-10.339
20,target_98,-9.195,100,-10.593,100,-11.909,96,-8.995,85,-9.623,100,-10.460,100,-9.905,100,-10.233
21,target_93,-7.837,96,-6.784,100,-7.747,99,-6.969,47,-8.403,100,-8.078,100,-8.523,100,-10.073
22,target_74,-9.199,100,-7.356,100,-6.946,99,-6.722,92,-8.595,100,-7.381,100,-9.650,99,-10.022
23,target_68,-8.132,100,-8.064,100,-9.099,99,-7.741,79,-8.495,100,-9.561,100,-9.251,100,-10.011
24,target_08,-5.493,92,-5.258,100,-5.670,100,-6.692,98,-5.506,100,-5.226,100,-9.056,99,-9.924
25,target_24,-9.898,77,-8.819,100,-9.476,99,-7.435,73,-8.968,100,-7.387,100,-9.415,100,-9.918
26,target_45,-6.874,100,-5.684,100,-6.791,98,-7.201,89,-7.010,100,-5.578,99,-9.472,100,-9.889
27,target_65,-4.093,100,-4.708,100,-4.646,100,-5.412,95,-3.918,100,-4.098,100,-7.911,100,-9.587
28,target_81,-9.463,100,-6.872,36,-7.652,98,-8.629,36,-9.061,100,-11.094,100,-9.664,100,-9.544
29,target_07,-9.452,86,-8.810,100,-9.491,96,-7.496,66,-8.323,100,-9.558,100,-9.109,100,-9.466
30,target_36,-9.004,100,-7.197,100,-10.367,99,-8.520,63,-9.188,100,-8.934,100,-9.556,100,-9.425
31,target_11,-9.387,100,-9.753,100,-10.809,99,-8.359,64,-9.178,99,-9.458,100,-9.765,98,-9.303
32,target_87,-7.596,98,-6.743,100,-6.179,94,-6.404,96,-8.179,100,-5.803,100,-8.550,100,-9.295
33,target_19,-9.574,100,-8.733,100,-8.887,96,-8.351,53,-9.167,100,-9.120,100,-9.201,100,-9.240
34,target_51,-8.383,100,-7.843,100,-8.327,100,-7.066,71,-8.644,100,-8.474,100,-9.431,99,-9.047
35,target_27,-4.424,100,-5.519,100,-9.858,98,-8.224,94,-5.601,100,-6.621,100,-9.526,100,-9.042
36,target_02,-6.896,100,-7.998,100,-9.692,97,-7.075,85,-7.109,100,-8.954,100,-8.594,99,-9.030
37,target_10,-8.522,100,-6.733,100,-11.611,97,-8.416,57,-8.810,100,-8.727,100,-9.335,100,-8.947
38,target_37,-7.011,100,-6.536,100,-8.003,95,-7.523,62,-6.908,100,-6.889,100,-8.304,99,-8.937
39,target_76,-9.108,100,-8.746,100,-12.102,97,-8.189,77,-9.285,100,-9.264,100,-8.814,99,-8.868
40,target_82,-9.568,100,-8.053,100,-7.397,100,-7.323,84,-8.823,100,-8.936,99,-8.665,99,-8.796
41,target_88,-8.465,100,-8.607,100,-8.544,97,-6.901,91,-8.511,100,-8.364,100,-8.406,100,-8.779
42,target_60,-10.016,100,-7.915,100,-8.572,99,-8.526,69,-8.841,100,-9.131,100,-8.165,100,-8.729
43,target_41,-8.109,100,-7.335,100,-8.308,98,-7.392,90,-7.926,100,-8.087,99,-8.656,99,-8.683
44,target_03,-7.444,100,-6.814,100,-6.655,100,-5.052,75,-7.232,100,-6.205,100,-7.575,99,-8.513
45,target_83,-9.680,92,-9.231,100,-9.460,98,-7.168,70,-8.698,100,-8.700,99,-8.301,98,-8.368
46,target_16,-7.049,100,-6.796,100,-6.203,96,-7.104,55,-7.199,100,-8.421,99,-7.782,100,-8.213
47,target_48,-7.323,100,-7.531,100,-7.008,99,-6.172,51,-7.046,100,-8.349,100,-7.506,100,-7.872
48,target_46,-8.621,4,-4.388,100,-5.723,97,-5.717,87,-8.380,100,-8.402,100,-7.509,99,-7.710
49,target_25,-7.715,100,-6.572,100,-7.058,99,-6.488,88,-7.595,100,-7.069,100,-8.599,100,-7.652
50,target_34,-6.260,100,-5.470,100,-5.222,100,-6.394,98,-6.353,100,-4.926,100,-6.989,100,-7.512
51,target_77,-4.342,100,-4.624,100,-4.560,100,-5.749,97,-4.511,100,-4.484,99,-8.609,100,-7.219
52,target_23,-6.712,100,-6.322,100,-6.649,97,-6.500,95,-6.476,100,-7.062,100,-7.653,100,-7.166
53,target_09,-5.242,100,-6.431,100,-7.701,97,-6.045,82,-6.060,100,-6.421,99,-6.875,100,-7.162
54,target_05,-6.258,100,-5.617,100,-5.751,98,-4.925,74,-6.437,99,-5.812,100,-6.221,100,-6.991
55,target_63,-6.754,100,-6.726,100,-4.828,100,-4.505,72,-7.220,100,-6.798,100,-6.973,100,-6.976
56,target_95,-7.014,100,-6.035,100,-7.442,99,-7.278,100,-6.517,100,-6.800,100,-7.444,100,-6.921
57,target_29,-5.916,100,-6.019,100,-5.772,100,-6.306,96,-6.219,100,-5.387,100,-6.639,100,-6.913
58,target_47,-7.194,100,-8.484,100,-7.896,99,-6.208,77,-7.593,100,-6.813,100,-7.168,99,-6.896
59,target_28,-5.005,93,-6.005,100,-5.549,98,-4.645,89,-5.645,100,-5.534,100,-5.832,100,-6.834
60,target_78,-5.160,100,-4.052,100,-4.759,97,-4.264,80,-5.819,100,-5.837,100,-5.319,100,-6.800
61,target_69,-5.436,100,-4.847,100,-5.412,99,-5.957,100,-5.639,100,-4.513,100,-6.608,100,-6.714
62,target_30,-7.148,100,-4.765,100,-5.625,100,-6.041,80,-6.524,100,-5.734,100,-6.190,100,-6.607
63,target_62,-6.658,100,-6.406,100,-6.617,96,-6.832,96,-6.543,100,-6.407,100,-6.545,100,-6.590
64,target_40,-5.871,100,-6.743,100,-5.874,99,-7.143,100,-6.046,100,-6.201,100,-7.023,100,-6.574
65,target_91,-5.737,100,-5.047,100,-6.338,96,-6.144,94,-5.732,100,-5.441,99,-5.934,99,-6.324
66,target_18,-6.792,100,-4.915,100,-6.692,95,-5.799,82,-6.232,100,-6.729,100,-6.650,100,-6.239
67,target_38,-4.834,100,-6.233,100,-3.539,98,-4.153,95,-4.822,100,-4.024,100,-6.398,100,-6.173
68,target_15,-4.676,100,-5.329,100,-5.699,97,-5.983,98,-5.302,100,-7.175,100,-7.780,100,-5.941
69,target_71,-5.291,100,-3.696,100,-4.469,98,-3.012,92,-5.339,100,-4.675,100,-4.554,99,-5.932
70,target_58,-4.553,100,-5.744,100,-5.296,96,-4.662,90,-5.183,100,-5.990,100,-5.876,100,-5.873
71,target_99,-5.972,100,-5.798,100,-5.841,94,-7.253,90,-6.436,100,-5.979,100,-5.954,100,-5.759
72,target_64,-6.735,100,-6.434,100,-6.078,99,-6.612,94,-5.956,100,-6.601,100,-5.749,100,-5.734
73,target_66,-4.460,100,-5.422,100,-5.114,100,-5.858,100,-4.386,100,-4.399,100,-4.725,100,-5.141
74,target_50,-5.143,100,-5.502,100,-4.968,98,-4.938,94,-5.092,100,-5.018,100,-4.820,100,-5.106
75,target_43,-4.841,100,-4.318,100,-4.856,95,-5.483,98,-5.150,100,-4.549,100,-5.346,100,-5.089
76,target_14,-3.993,100,-3.897,100,-4.424,97,-4.814,94,-4.461,100,-5.391,100,-4.934,100,-4.498
77,target_89,-4.591,100,-4.333,100,-4.644,96,-6.177,99,-4.258,100,-4.695,100,-4.663,100,-3.991
78,target_90,-2.751,100,-4.251,100,-3.371,99,-5.107,97,-3.055,100,-3.769,100,-4.264,100,-3.766
79,target_96,-3.456,100,-3.154,100,-3.210,98,-3.858,99,-3.453,100,-3.494,99,-3.650,100,-3.426
