rank,target,reference,n_voxbind,voxbind_median,n_code,code_median
1,target_04,-8.784,100,-12.488,99,-13.072
2,target_70,-12.137,100,-11.179,100,-12.397
3,target_72,-15.972,100,-12.516,100,-12.363
4,target_56,-3.403,100,-10.708,99,-12.132
5,target_80,-14.651,100,-11.345,98,-11.655
6,target_79,-9.354,100,-9.433,100,-11.572
7,target_39,-6.722,97,-11.337,99,-11.465
8,target_92,-9.046,100,-10.092,100,-11.446
9,target_73,-12.315,99,-11.115,100,-11.421
10,target_55,-3.126,100,-10.533,99,-11.154
11,target_31,-6.067,100,-8.745,100,-11.119
12,target_33,-5.702,100,-10.020,99,-10.914
13,target_44,-9.317,100,-8.253,100,-10.674
14,target_49,-11.956,100,-10.296,100,-10.648
15,target_85,-7.983,100,-8.942,99,-10.625
16,target_22,-9.861,100,-7.854,99,-10.431
17,target_17,-7.861,100,-8.357,100,-10.419
18,target_12,-9.499,100,-9.095,100,-10.353
19,target_57,-6.959,100,-7.771,99,-10.339
20,target_98,-9.195,100,-9.905,100,-10.233
21,target_93,-7.837,100,-8.523,100,-10.073
22,target_74,-9.199,100,-9.650,99,-10.022
23,target_68,-8.132,100,-9.251,100,-10.011
24,target_08,-5.493,100,-9.056,99,-9.924
25,target_24,-9.898,100,-9.415,100,-9.918
26,target_45,-6.874,99,-9.472,100,-9.889
27,target_65,-4.093,100,-7.911,100,-9.587
28,target_81,-9.463,100,-9.664,100,-9.544
29,target_07,-9.452,100,-9.109,100,-9.466
30,target_36,-9.004,100,-9.556,100,-9.425
31,target_11,-9.387,100,-9.765,98,-9.303
32,target_87,-7.596,100,-8.550,100,-9.295
33,target_19,-9.574,100,-9.201,100,-9.240
34,target_51,-8.383,100,-9.431,99,-9.047
35,target_27,-4.424,100,-9.526,100,-9.042
36,target_02,-6.896,100,-8.594,99,-9.030
37,target_10,-8.522,100,-9.335,100,-8.947
38,target_37,-7.011,100,-8.304,99,-8.937
39,target_76,-9.108,100,-8.814,99,-8.868
40,target_82,-9.568,99,-8.665,99,-8.796
41,target_88,-8.465,100,-8.406,100,-8.779
42,target_60,-10.016,100,-8.165,100,-8.729
43,target_41,-8.109,99,-8.656,99,-8.683
44,target_03,-7.444,100,-7.575,99,-8.513
45,target_83,-9.680,99,-8.301,98,-8.368
46,target_16,-7.049,99,-7.782,100,-8.213
47,target_48,-7.323,100,-7.506,100,-7.872
48,target_46,-8.621,100,-7.509,99,-7.710
49,target_25,-7.715,100,-8.599,100,-7.652
50,target_34,-6.260,100,-6.989,100,-7.512
51,target_77,-4.342,99,-8.609,100,-7.219
52,target_23,-6.712,100,-7.653,100,-7.166
53,target_09,-5.242,99,-6.875,100,-7.162
54,target_05,-6.258,100,-6.221,100,-6.991
55,target_63,-6.754,100,-6.973,100,-6.976
56,target_95,-7.014,100,-7.444,100,-6.921
57,target_29,-5.916,100,-6.639,100,-6.913
58,target_47,-7.194,100,-7.168,99,-6.896
59,target_28,-5.005,100,-5.832,100,-6.834
60,target_78,-5.160,100,-5.319,100,-6.800
61,target_69,-5.436,100,-6.608,100,-6.714
62,target_30,-7.148,100,-6.190,100,-6.607
63,target_62,-6.658,100,-6.545,100,-6.590
64,target_40,-5.871,100,-7.023,100,-6.574
65,target_91,-5.737,99,-5.934,99,-6.324
66,target_18,-6.792,100,-6.650,100,-6.239
67,target_38,-4.834,100,-6.398,100,-6.173
68,target_15,-4.676,100,-7.780,100,-5.941
69,target_71,-5.291,100,-4.554,99,-5.932
70,target_58,-4.553,100,-5.876,100,-5.873
71,target_99,-5.972,100,-5.954,100,-5.759
72,target_64,-6.735,100,-5.749,100,-5.734
73,target_66,-4.460,100,-4.725,100,-5.141
74,target_50,-5.143,100,-4.820,100,-5.106
75,target_43,-4.841,100,-5.346,100,-5.089
76,target_14,-3.993,100,-4.934,100,-4.498
77,target_89,-4.591,100,-4.663,100,-3.991
78,target_90,-2.751,100,-4.264,100,-3.766
79,target_96,-3.456,99,-3.650,100,-3.426
