rank,target,reference,n_ar,ar_mean,n_pocket2mol,pocket2mol_mean,n_diffsbdd,diffsbdd_mean,n_decompdiff,decompdiff_mean,n_funcbind,funcbind_mean,n_voxbind,voxbind_mean,n_code,code_mean
1,target_04,-8.650,100,-7.695,100,-11.845,96,-9.220,95,-7.589,100,-9.496,100,-12.048,99,-12.403
2,target_72,-15.570,100,-8.813,100,-14.572,95,-9.127,63,-13.330,100,-13.190,100,-11.865,100,-12.165
3,target_70,-10.857,94,-11.841,100,-12.091,94,-8.938,82,-10.881,98,-9.397,100,-10.564,100,-11.879
4,target_73,-12.195,47,-9.571,100,-8.811,98,-7.673,47,-9.959,100,-11.394,99,-10.520,100,-11.193
5,target_31,-6.071,100,-5.573,100,-8.905,97,-6.661,52,-5.776,100,-6.212,100,-8.351,100,-10.920
6,target_79,-7.698,100,-6.953,100,-7.470,99,-6.494,98,-7.661,100,-8.220,100,-8.761,100,-10.912
7,target_39,-5.746,100,-10.620,100,-9.473,97,-8.740,98,-7.069,99,-8.903,97,-11.107,99,-10.857
8,target_80,-14.210,100,-10.032,36,-14.105,97,-8.285,58,-11.444,100,-11.930,100,-10.410,98,-10.854
9,target_85,-8.366,100,-7.331,100,-8.343,95,-8.243,91,-8.409,100,-7.755,100,-8.112,99,-10.671
10,target_33,-3.897,100,-4.779,100,-3.875,98,-4.352,91,-3.954,100,-4.219,100,-8.836,99,-10.483
11,target_44,-8.810,100,-8.695,100,-7.538,93,-7.867,77,-8.082,100,-8.128,100,-8.045,100,-10.286
12,target_49,-12.191,100,-9.356,100,-9.612,98,-7.180,52,-9.330,100,-11.130,100,-9.726,100,-10.182
13,target_92,-8.013,87,-6.468,100,-10.611,100,-6.988,39,-8.229,100,-9.693,100,-9.066,100,-10.043
14,target_22,-9.716,98,-8.867,100,-8.658,96,-6.612,57,-8.194,100,-9.026,100,-7.504,99,-10.016
15,target_08,-4.388,92,-4.325,100,-4.467,100,-5.536,98,-4.307,100,-4.130,100,-8.269,99,-9.887
16,target_12,-9.478,100,-7.723,100,-7.845,99,-6.884,84,-7.601,100,-7.622,100,-8.206,100,-9.803
17,target_98,-9.122,100,-10.633,100,-11.543,96,-8.288,85,-8.952,100,-9.835,100,-9.320,100,-9.799
18,target_17,-7.030,100,-5.929,100,-7.032,98,-5.686,66,-6.288,100,-6.619,100,-7.903,100,-9.787
19,target_68,-6.673,100,-7.517,100,-7.855,99,-6.448,79,-7.414,100,-8.461,100,-8.872,100,-9.725
20,target_55,-2.667,100,-4.110,100,-3.316,99,-4.258,98,-2.483,100,-3.203,100,-8.972,99,-9.650
21,target_24,-9.879,77,-8.778,100,-8.661,99,-6.825,73,-8.031,100,-6.675,100,-8.359,100,-9.368
22,target_93,-6.782,96,-5.573,100,-6.253,99,-5.313,47,-6.860,100,-5.972,100,-7.415,100,-9.323
23,target_45,-5.346,100,-4.514,100,-5.654,98,-5.935,89,-5.615,100,-4.292,99,-8.815,100,-9.159
24,target_65,-2.740,100,-3.626,100,-3.568,100,-4.639,95,-2.988,100,-3.077,100,-6.141,100,-9.020
25,target_11,-8.791,100,-8.977,100,-9.509,99,-7.287,64,-7.417,99,-9.021,100,-9.464,98,-9.018
26,target_07,-9.120,86,-8.918,100,-9.229,96,-5.812,66,-7.466,100,-9.306,100,-8.478,100,-8.982
27,target_81,-9.377,100,-6.725,36,-9.193,98,-6.740,36,-8.054,100,-10.326,100,-8.492,100,-8.653
28,target_56,-3.216,100,-4.590,100,-3.657,99,-4.153,98,-2.753,100,-3.678,100,-8.475,99,-8.635
29,target_87,-5.939,98,-6.132,100,-5.371,94,-5.570,96,-7.075,100,-4.989,100,-7.920,100,-8.606
30,target_02,-6.421,100,-7.792,100,-8.386,97,-5.764,85,-6.115,100,-7.637,100,-8.071,99,-8.590
31,target_10,-9.057,100,-6.270,100,-10.261,97,-6.846,57,-7.647,100,-7.364,100,-8.511,100,-8.367
32,target_57,-5.101,91,-7.630,100,-4.896,98,-4.539,87,-5.106,100,-5.435,100,-6.309,99,-8.363
33,target_83,-8.893,92,-8.810,100,-8.496,98,-6.018,70,-8.229,100,-8.096,99,-7.807,98,-8.344
34,target_36,-8.776,100,-6.166,100,-9.510,99,-7.732,63,-7.698,100,-7.424,100,-8.586,100,-8.322
35,target_51,-7.516,100,-6.357,100,-7.040,100,-6.173,71,-7.242,100,-7.091,100,-8.608,99,-8.289
36,target_27,-3.864,100,-4.806,100,-8.609,98,-7.296,94,-4.848,100,-6.132,100,-8.642,100,-8.273
37,target_88,-7.819,100,-7.877,100,-7.637,97,-5.749,91,-7.641,100,-7.236,100,-7.663,100,-8.262
38,target_41,-7.951,100,-7.052,100,-7.633,98,-6.625,90,-7.135,100,-7.788,99,-7.817,99,-8.258
39,target_19,-9.505,100,-8.207,100,-8.348,96,-6.206,53,-8.117,100,-8.357,100,-8.099,100,-8.231
40,target_37,-5.647,100,-6.158,100,-6.735,95,-6.545,62,-5.888,100,-5.912,100,-7.043,99,-8.215
41,target_60,-9.787,100,-6.961,100,-8.254,99,-6.858,69,-7.841,100,-8.702,100,-7.825,100,-8.189
42,target_82,-9.291,100,-7.434,100,-6.491,100,-5.820,84,-8.090,100,-8.341,99,-8.152,99,-8.048
43,target_76,-8.856,100,-8.972,100,-11.357,97,-7.386,77,-8.857,100,-8.929,100,-8.280,99,-8.027
44,target_48,-7.170,100,-7.180,100,-6.312,99,-3.193,51,-6.194,100,-7.863,100,-6.354,100,-7.390
45,target_46,-8.431,4,-4.258,100,-5.137,97,-1.445,87,-7.842,100,-8.090,100,-6.681,99,-7.352
46,target_25,-7.694,100,-6.266,100,-6.365,99,-5.632,88,-6.932,100,-6.310,100,-7.899,100,-7.290
47,target_03,-5.965,100,-6.278,100,-5.814,100,-3.883,75,-5.898,100,-4.805,100,-6.091,99,-7.269
48,target_16,-5.062,100,-4.490,100,1.347,96,-3.059,55,-1.416,100,-1.249,99,-6.386,100,-6.961
49,target_34,-5.294,100,-4.803,100,-4.363,100,-4.949,98,-5.468,100,-3.818,100,-6.208,100,-6.925
50,target_23,-5.851,100,-5.884,100,-5.633,97,-1.479,95,-5.776,100,-6.461,100,-6.879,100,-6.805
51,target_09,-4.950,100,-5.558,100,-7.106,97,-4.674,82,-4.786,100,-5.479,99,-6.318,100,-6.734
52,target_95,-6.487,100,-5.238,100,-6.931,99,-6.420,100,-5.829,100,-6.464,100,-6.767,100,-6.591
53,target_47,-7.371,100,-7.988,100,-7.432,99,-5.245,77,-6.613,100,-6.310,100,-6.530,99,-6.227
54,target_62,-6.634,100,-6.014,100,-5.889,96,-3.544,96,-5.988,100,-6.229,100,-6.388,100,-6.187
55,target_77,-3.740,100,-4.146,100,-3.778,100,-5.176,97,-3.754,100,-3.801,99,-7.294,100,-6.182
56,target_40,-4.754,100,-6.817,100,-5.056,99,-4.912,100,-5.397,100,-5.543,100,-6.682,100,-6.171
57,target_69,-4.144,100,-4.285,100,-4.642,99,-4.906,100,-4.218,100,-4.133,100,-6.228,100,-6.090
58,target_29,-5.377,100,-5.089,100,-4.676,100,-5.114,96,-5.082,100,-4.069,100,-5.697,100,-6.088
59,target_28,-4.284,93,-4.760,100,-4.659,98,-3.881,89,-4.137,100,-4.390,100,-5.435,100,-5.921
60,target_15,-4.023,100,-4.922,100,-4.973,97,-3.690,98,-4.495,100,-5.838,100,-6.775,100,-5.908
61,target_91,-5.636,100,-4.587,100,-5.758,96,-3.545,94,-5.176,100,-5.134,99,-5.846,99,-5.784
62,target_78,-4.514,100,-3.246,100,-4.004,97,0.619,80,-4.570,100,-4.665,100,-4.227,100,-5.588
63,target_30,-6.770,100,-4.148,100,-4.630,100,-3.970,80,-5.578,100,-4.865,100,-5.468,100,-5.529
64,target_05,-4.914,100,-4.906,100,-4.580,98,-2.584,74,-4.705,99,-4.158,100,-4.601,100,-5.407
65,target_99,-5.382,100,-5.247,100,-5.056,94,-2.385,90,-5.456,100,-5.472,100,-5.559,100,-5.283
66,target_64,-6.152,100,-6.142,100,-5.312,99,-5.211,94,-5.320,100,-5.943,100,-5.359,100,-5.215
67,target_18,-5.782,100,-3.644,100,-5.234,95,-4.814,82,-4.920,100,-5.847,100,-6.027,100,-5.085
