rank,target,reference,n_voxbind,voxbind_mean,n_code,code_mean
1,target_04,-8.650,100,-12.048,99,-12.403
2,target_72,-15.570,100,-11.865,100,-12.165
3,target_70,-10.857,100,-10.564,100,-11.879
4,target_73,-12.195,99,-10.520,100,-11.193
5,target_31,-6.071,100,-8.351,100,-10.920
6,target_79,-7.698,100,-8.761,100,-10.912
7,target_39,-5.746,97,-11.107,99,-10.857
8,target_80,-14.210,100,-10.410,98,-10.854
9,target_85,-8.366,100,-8.112,99,-10.671
10,target_33,-3.897,100,-8.836,99,-10.483
11,target_44,-8.810,100,-8.045,100,-10.286
12,target_49,-12.191,100,-9.726,100,-10.182
13,target_92,-8.013,100,-9.066,100,-10.043
14,target_22,-9.716,100,-7.504,99,-10.016
15,target_08,-4.388,100,-8.269,99,-9.887
16,target_12,-9.478,100,-8.206,100,-9.803
17,target_98,-9.122,100,-9.320,100,-9.799
18,target_17,-7.030,100,-7.903,100,-9.787
19,target_68,-6.673,100,-8.872,100,-9.725
20,target_55,-2.667,100,-8.972,99,-9.650
21,target_24,-9.879,100,-8.359,100,-9.368
22,target_93,-6.782,100,-7.415,100,-9.323
23,target_45,-5.346,99,-8.815,100,-9.159
24,target_65,-2.740,100,-6.141,100,-9.020
25,target_11,-8.791,100,-9.464,98,-9.018
26,target_07,-9.120,100,-8.478,100,-8.982
27,target_81,-9.377,100,-8.492,100,-8.653
28,target_56,-3.216,100,-8.475,99,-8.635
29,target_87,-5.939,100,-7.920,100,-8.606
30,target_02,-6.421,100,-8.071,99,-8.590
31,target_10,-9.057,100,-8.511,100,-8.367
32,target_57,-5.101,100,-6.309,99,-8.363
33,target_83,-8.893,99,-7.807,98,-8.344
34,target_36,-8.776,100,-8.586,100,-8.322
35,target_51,-7.516,100,-8.608,99,-8.289
36,target_27,-3.864,100,-8.642,100,-8.273
37,target_88,-7.819,100,-7.663,100,-8.262
38,target_41,-7.951,99,-7.817,99,-8.258
39,target_19,-9.505,100,-8.099,100,-8.231
40,target_37,-5.647,100,-7.043,99,-8.215
41,target_60,-9.787,100,-7.825,100,-8.189
42,target_82,-9.291,99,-8.152,99,-8.048
43,target_76,-8.856,100,-8.280,99,-8.027
44,target_48,-7.170,100,-6.354,100,-7.390
45,target_46,-8.431,100,-6.681,99,-7.352
46,target_25,-7.694,100,-7.899,100,-7.290
47,target_03,-5.965,100,-6.091,99,-7.269
48,target_16,-5.062,99,-6.386,100,-6.961
49,target_34,-5.294,100,-6.208,100,-6.925
50,target_23,-5.851,100,-6.879,100,-6.805
51,target_09,-4.950,99,-6.318,100,-6.734
52,target_95,-6.487,100,-6.767,100,-6.591
53,target_47,-7.371,100,-6.530,99,-6.227
54,target_62,-6.634,100,-6.388,100,-6.187
55,target_77,-3.740,99,-7.294,100,-6.182
56,target_40,-4.754,100,-6.682,100,-6.171
57,target_69,-4.144,100,-6.228,100,-6.090
58,target_29,-5.377,100,-5.697,100,-6.088
59,target_28,-4.284,100,-5.435,100,-5.921
60,target_15,-4.023,100,-6.775,100,-5.908
61,target_91,-5.636,99,-5.846,99,-5.784
62,target_78,-4.514,100,-4.227,100,-5.588
63,target_30,-6.770,100,-5.468,100,-5.529
64,target_05,-4.914,100,-4.601,100,-5.407
65,target_99,-5.382,100,-5.559,100,-5.283
66,target_64,-6.152,100,-5.359,100,-5.215
67,target_18,-5.782,100,-6.027,100,-5.085
68,target_63,-4.749,100,-5.082,100,-5.036
69,target_71,-3.463,100,-3.949,99,-4.929
70,target_43,-4.228,100,-5.420,100,-4.682
71,target_66,-3.325,100,-4.048,100,-4.276
72,target_50,-4.101,100,-4.432,100,-4.274
73,target_14,-2.816,100,-4.184,100,-4.050
74,target_74,-8.384,100,-3.088,99,-3.908
75,target_38,-3.452,100,-4.180,100,-3.841
76,target_89,-4.274,100,-4.548,100,-3.620
77,target_90,-2.482,100,-3.701,100,-3.215
78,target_96,-2.644,99,-2.617,100,-2.372
79,target_58,-4.535,100,1.556,100,-1.636
