rank,target,reference,n_ar,ar_median,n_pocket2mol,pocket2mol_median,n_diffsbdd,diffsbdd_median,n_decompdiff,decompdiff_median,n_funcbind,funcbind_median,n_voxbind,voxbind_median,n_code,code_median
1,target_04,-8.650,100,-7.700,100,-11.794,96,-9.069,95,-7.615,100,-9.595,100,-11.656,99,-12.255
2,target_72,-15.570,100,-8.479,100,-14.905,95,-10.568,63,-13.002,100,-13.258,100,-12.142,100,-12.072
3,target_70,-10.857,94,-12.441,100,-13.293,94,-9.509,82,-10.941,98,-8.843,100,-10.560,100,-11.944
4,target_73,-12.195,47,-9.545,100,-8.348,98,-8.075,47,-10.276,100,-11.328,99,-10.679,100,-11.191
5,target_79,-7.698,100,-7.212,100,-7.469,99,-6.488,98,-7.543,100,-7.989,100,-8.537,100,-11.189
6,target_31,-6.071,100,-5.985,100,-9.530,97,-7.512,52,-5.769,100,-5.857,100,-8.328,100,-10.764
7,target_39,-5.746,100,-10.537,100,-9.803,97,-9.027,98,-7.049,99,-8.575,97,-11.058,99,-10.745
8,target_80,-14.210,100,-9.771,36,-15.799,97,-8.684,58,-10.829,100,-11.896,100,-10.452,98,-10.715
9,target_44,-8.810,100,-8.527,100,-7.723,93,-7.945,77,-8.157,100,-8.076,100,-7.692,100,-10.380
10,target_85,-8.366,100,-7.417,100,-8.688,95,-8.054,91,-8.513,100,-7.770,100,-7.887,99,-10.346
11,target_56,-3.216,100,-4.540,100,-3.718,99,-4.038,98,-2.750,100,-3.853,100,-9.030,99,-10.277
12,target_49,-12.191,100,-9.800,100,-10.152,98,-7.635,52,-9.581,100,-10.998,100,-9.768,100,-10.169
13,target_33,-3.897,100,-4.764,100,-3.942,98,-4.083,91,-3.912,100,-4.094,100,-8.671,99,-10.094
14,target_22,-9.716,98,-8.903,100,-9.010,96,-7.035,57,-8.229,100,-8.974,100,-6.992,99,-10.048
15,target_55,-2.667,100,-3.926,100,-3.378,99,-3.977,98,-2.510,100,-3.273,100,-9.035,99,-9.987
16,target_12,-9.478,100,-7.833,100,-7.808,99,-7.212,84,-7.654,100,-7.264,100,-8.467,100,-9.886
17,target_17,-7.030,100,-6.197,100,-6.976,98,-5.743,66,-6.327,100,-6.528,100,-7.738,100,-9.866
18,target_92,-8.013,87,-7.039,100,-10.470,100,-6.843,39,-8.018,100,-9.688,100,-8.771,100,-9.752
19,target_98,-9.122,100,-10.296,100,-11.476,96,-8.420,85,-8.963,100,-9.738,100,-9.442,100,-9.718
20,target_68,-6.673,100,-7.490,100,-8.175,99,-6.678,79,-7.368,100,-8.521,100,-8.789,100,-9.572
21,target_24,-9.879,77,-8.419,100,-8.755,99,-6.703,73,-8.098,100,-6.565,100,-8.595,100,-9.364
22,target_08,-4.388,92,-4.203,100,-4.547,100,-4.956,98,-4.357,100,-4.207,100,-8.520,99,-9.362
23,target_45,-5.346,100,-4.494,100,-5.699,98,-5.752,89,-5.535,100,-4.295,99,-8.873,100,-8.977
24,target_11,-8.791,100,-9.465,100,-9.720,99,-7.284,64,-7.555,99,-8.636,100,-9.529,98,-8.911
25,target_93,-6.782,96,-5.646,100,-6.153,99,-5.397,47,-6.644,100,-6.015,100,-6.917,100,-8.881
26,target_65,-2.740,100,-3.615,100,-3.609,100,-4.172,95,-3.009,100,-2.994,100,-6.518,100,-8.844
27,target_81,-9.377,100,-6.793,36,-6.634,98,-6.708,36,-8.099,100,-10.309,100,-8.512,100,-8.814
28,target_07,-9.120,86,-8.854,100,-9.430,96,-6.189,66,-7.306,100,-9.229,100,-8.333,100,-8.791
29,target_87,-5.939,98,-6.041,100,-5.490,94,-5.387,96,-7.078,100,-4.938,100,-7.918,100,-8.762
30,target_02,-6.421,100,-7.721,100,-8.661,97,-5.972,85,-6.081,100,-7.585,100,-7.976,99,-8.498
31,target_36,-8.776,100,-6.390,100,-9.783,99,-7.591,63,-8.029,100,-7.417,100,-8.431,100,-8.462
32,target_51,-7.516,100,-6.655,100,-7.282,100,-5.973,71,-7.170,100,-7.031,100,-8.619,99,-8.448
33,target_27,-3.864,100,-4.875,100,-8.908,98,-7.210,94,-4.860,100,-5.852,100,-9.072,100,-8.375
34,target_76,-8.856,100,-9.097,100,-11.938,97,-7.448,77,-8.853,100,-8.913,100,-8.330,99,-8.360
35,target_88,-7.819,100,-8.003,100,-7.798,97,-5.859,91,-7.644,100,-7.291,100,-7.821,100,-8.357
36,target_19,-9.505,100,-8.503,100,-8.288,96,-7.162,53,-8.213,100,-8.389,100,-8.040,100,-8.344
37,target_10,-9.057,100,-6.140,100,-10.877,97,-7.249,57,-7.423,100,-7.499,100,-8.514,100,-8.300
38,target_41,-7.951,100,-6.922,100,-7.864,98,-6.583,90,-7.126,100,-7.755,99,-7.910,99,-8.265
39,target_60,-9.787,100,-7.190,100,-8.529,99,-7.034,69,-7.894,100,-8.676,100,-7.684,100,-8.255
40,target_37,-5.647,100,-6.163,100,-6.971,95,-6.570,62,-5.878,100,-5.872,100,-7.099,99,-8.130
41,target_57,-5.101,91,-7.168,100,-5.235,98,-4.347,87,-5.032,100,-5.409,100,-6.067,99,-8.122
42,target_82,-9.291,100,-7.179,100,-6.434,100,-6.553,84,-7.953,100,-8.575,99,-8.116,99,-8.084
43,target_83,-8.893,92,-8.686,100,-8.564,98,-6.143,70,-8.018,100,-8.072,99,-7.490,98,-7.908
44,target_03,-5.965,100,-6.838,100,-5.818,100,-3.940,75,-5.867,100,-4.807,100,-6.133,99,-7.594
45,target_46,-8.431,4,-3.917,100,-5.133,97,-4.181,87,-7.839,100,-8.035,100,-6.966,99,-7.356
46,target_48,-7.170,100,-7.231,100,-6.369,99,-4.675,51,-5.896,100,-7.812,100,-6.587,100,-7.306
47,target_25,-7.694,100,-6.268,100,-6.412,99,-5.699,88,-6.843,100,-6.396,100,-7.769,100,-7.299
48,target_16,-5.062,100,-4.612,100,-2.214,96,-4.175,55,-2.134,100,-1.780,99,-6.431,100,-6.992
49,target_34,-5.294,100,-4.743,100,-4.367,100,-5.243,98,-5.507,100,-3.797,100,-6.234,100,-6.969
50,target_23,-5.851,100,-6.040,100,-5.689,97,-3.716,95,-5.823,100,-6.429,100,-7.198,100,-6.721
51,target_77,-3.740,100,-4.073,100,-3.765,100,-4.966,97,-3.755,100,-3.857,99,-7.786,100,-6.688
52,target_09,-4.950,100,-5.797,100,-7.199,97,-5.073,82,-4.771,100,-5.210,99,-6.094,100,-6.655
53,target_95,-6.487,100,-5.391,100,-6.952,99,-6.395,100,-5.869,100,-6.421,100,-7.089,100,-6.505
