rank,target,reference,n_voxbind,voxbind_median,n_code,code_median
1,target_04,-8.650,100,-11.656,99,-12.255
2,target_72,-15.570,100,-12.142,100,-12.072
3,target_70,-10.857,100,-10.560,100,-11.944
4,target_73,-12.195,99,-10.679,100,-11.191
5,target_79,-7.698,100,-8.537,100,-11.189
6,target_31,-6.071,100,-8.328,100,-10.764
7,target_39,-5.746,97,-11.058,99,-10.745
8,target_80,-14.210,100,-10.452,98,-10.715
9,target_44,-8.810,100,-7.692,100,-10.380
10,target_85,-8.366,100,-7.887,99,-10.346
11,target_56,-3.216,100,-9.030,99,-10.277
12,target_49,-12.191,100,-9.768,100,-10.169
13,target_33,-3.897,100,-8.671,99,-10.094
14,target_22,-9.716,100,-6.992,99,-10.048
15,target_55,-2.667,100,-9.035,99,-9.987
16,target_12,-9.478,100,-8.467,100,-9.886
17,target_17,-7.030,100,-7.738,100,-9.866
18,target_92,-8.013,100,-8.771,100,-9.752
19,target_98,-9.122,100,-9.442,100,-9.718
20,target_68,-6.673,100,-8.789,100,-9.572
21,target_24,-9.879,100,-8.595,100,-9.364
22,target_08,-4.388,100,-8.520,99,-9.362
23,target_45,-5.346,99,-8.873,100,-8.977
24,target_11,-8.791,100,-9.529,98,-8.911
25,target_93,-6.782,100,-6.917,100,-8.881
26,target_65,-2.740,100,-6.518,100,-8.844
27,target_81,-9.377,100,-8.512,100,-8.814
28,target_07,-9.120,100,-8.333,100,-8.791
29,target_87,-5.939,100,-7.918,100,-8.762
30,target_02,-6.421,100,-7.976,99,-8.498
31,target_36,-8.776,100,-8.431,100,-8.462
32,target_51,-7.516,100,-8.619,99,-8.448
33,target_27,-3.864,100,-9.072,100,-8.375
34,target_76,-8.856,100,-8.330,99,-8.360
35,target_88,-7.819,100,-7.821,100,-8.357
36,target_19,-9.505,100,-8.040,100,-8.344
37,target_10,-9.057,100,-8.514,100,-8.300
38,target_41,-7.951,99,-7.910,99,-8.265
39,target_60,-9.787,100,-7.684,100,-8.255
40,target_37,-5.647,100,-7.099,99,-8.130
41,target_57,-5.101,100,-6.067,99,-8.122
42,target_82,-9.291,99,-8.116,99,-8.084
43,target_83,-8.893,99,-7.490,98,-7.908
44,target_03,-5.965,100,-6.133,99,-7.594
45,target_46,-8.431,100,-6.966,99,-7.356
46,target_48,-7.170,100,-6.587,100,-7.306
47,target_25,-7.694,100,-7.769,100,-7.299
48,target_16,-5.062,99,-6.431,100,-6.992
49,target_34,-5.294,100,-6.234,100,-6.969
50,target_23,-5.851,100,-7.198,100,-6.721
51,target_77,-3.740,99,-7.786,100,-6.688
52,target_09,-4.950,99,-6.094,100,-6.655
53,target_95,-6.487,100,-7.089,100,-6.505
54,target_47,-7.371,100,-6.612,99,-6.221
55,target_40,-4.754,100,-6.548,100,-6.172
56,target_29,-5.377,100,-5.812,100,-6.146
57,target_62,-6.634,100,-6.252,100,-6.064
58,target_69,-4.144,100,-6.104,100,-5.963
59,target_28,-4.284,100,-5.306,100,-5.842
60,target_74,-8.384,100,-6.279,99,-5.789
61,target_15,-4.023,100,-6.993,100,-5.558
62,target_30,-6.770,100,-5.364,100,-5.550
63,target_91,-5.636,99,-5.594,99,-5.496
64,target_78,-4.514,100,-4.324,100,-5.453
65,target_99,-5.382,100,-5.402,100,-5.360
66,target_05,-4.914,100,-4.789,100,-5.303
67,target_64,-6.152,100,-5.403,100,-5.191
68,target_18,-5.782,100,-5.790,100,-4.979
69,target_63,-4.749,100,-4.969,100,-4.974
70,target_71,-3.463,100,-3.794,99,-4.930
71,target_43,-4.228,100,-4.877,100,-4.668
72,target_50,-4.101,100,-4.355,100,-4.352
73,target_66,-3.325,100,-4.010,100,-4.330
74,target_38,-3.452,100,-4.105,100,-4.061
75,target_14,-2.816,100,-4.043,100,-3.925
76,target_58,-4.535,100,-0.711,100,-3.779
77,target_89,-4.274,100,-4.334,100,-3.556
78,target_90,-2.482,100,-3.739,100,-3.244
79,target_96,-2.644,99,-2.531,100,-2.407
