rank,target,reference,n_ar,ar_mean,n_pocket2mol,pocket2mol_mean,n_diffsbdd,diffsbdd_mean,n_decompdiff,decompdiff_mean,n_funcbind,funcbind_mean,n_voxbind,voxbind_mean,n_code,code_mean
1,target_04,-8.647,100,-7.814,100,-10.678,96,-8.756,95,-6.948,100,-8.808,100,-11.749,99,-11.950
2,target_72,-15.648,100,-8.496,100,-12.819,95,-8.620,63,-12.524,100,-12.572,100,-11.558,100,-11.670
3,target_70,-10.889,94,-11.767,100,-10.155,94,-7.429,82,-10.084,98,-9.074,100,-10.075,100,-11.387
4,target_73,-12.255,47,-9.418,100,-0.268,98,-7.221,47,-9.073,100,-10.839,99,-10.368,100,-11.015
5,target_31,-6.104,100,-5.458,100,-7.273,97,-4.930,52,-4.936,100,-5.939,100,-8.210,100,-10.610
6,target_79,-7.759,100,-6.801,100,-6.547,99,-5.128,98,-7.159,100,-7.787,100,-8.527,100,-10.582
7,target_80,-13.992,100,-10.006,36,-12.731,97,-7.615,58,-10.806,100,-11.444,100,-10.183,98,-10.542
8,target_39,-5.782,100,-10.443,100,-7.956,97,-6.822,98,-6.592,99,-8.446,97,-10.674,99,-10.395
9,target_85,-8.340,100,-7.248,100,-6.980,95,-7.393,91,-7.494,100,-7.088,100,-7.852,99,-10.203
10,target_44,-8.879,100,-8.472,100,-6.290,93,-6.910,77,-7.444,100,-7.344,100,-7.800,100,-9.926
11,target_92,-7.754,87,-6.268,100,-8.670,100,-6.096,39,-7.946,100,-9.347,100,-8.787,100,-9.604
12,target_17,-7.029,100,-5.778,100,-6.249,98,-5.120,66,-5.848,100,-6.182,100,-7.658,100,-9.449
13,target_22,-9.760,98,-8.444,100,-6.339,96,-4.885,57,-6.286,100,-7.968,100,-7.125,99,-9.432
14,target_98,-9.157,100,-10.411,100,-10.788,96,-7.692,85,-8.166,100,-9.335,100,-9.173,100,-9.382
15,target_49,-12.163,100,-9.104,100,-8.044,98,-5.799,52,-8.212,100,-10.560,100,-9.103,100,-9.370
16,target_08,-4.401,92,-4.119,100,-3.517,100,-4.973,98,-3.984,100,-3.765,100,-7.991,99,-9.331
17,target_68,-6.790,100,-7.120,100,-6.903,99,-5.299,79,-6.711,100,-7.736,100,-8.594,100,-9.276
18,target_12,-9.438,100,-7.646,100,-7.051,99,-6.171,84,-6.521,100,-7.244,100,-7.681,100,-9.191
19,target_24,-9.929,77,-8.379,100,-7.140,99,-6.354,73,-7.352,100,-6.424,100,-8.121,100,-9.024
20,target_93,-6.812,96,-5.485,100,-4.821,99,-4.805,47,-6.244,100,-5.508,100,-7.149,100,-8.983
21,target_55,-2.712,100,-3.885,100,-2.476,99,-3.722,98,-2.318,100,-2.836,100,-7.796,99,-8.820
22,target_45,-5.393,100,-4.340,100,-4.777,98,-5.479,89,-4.648,100,-3.801,99,-8.485,100,-8.798
23,target_33,-3.906,100,-4.601,100,-3.085,98,-3.753,91,-3.606,100,-3.900,100,-7.045,99,-8.641
24,target_11,-8.828,100,-8.617,100,-7.476,99,-5.937,64,-6.585,99,-8.086,100,-9.174,98,-8.627
