rank,target,reference,n_voxbind,voxbind_mean,n_code,code_mean
1,target_04,-8.647,100,-11.749,99,-11.950
2,target_72,-15.648,100,-11.558,100,-11.670
3,target_70,-10.889,100,-10.075,100,-11.387
4,target_73,-12.255,99,-10.368,100,-11.015
5,target_31,-6.104,100,-8.210,100,-10.610
6,target_79,-7.759,100,-8.527,100,-10.582
7,target_80,-13.992,100,-10.183,98,-10.542
8,target_39,-5.782,97,-10.674,99,-10.395
9,target_85,-8.340,100,-7.852,99,-10.203
10,target_44,-8.879,100,-7.800,100,-9.926
11,target_92,-7.754,100,-8.787,100,-9.604
12,target_17,-7.029,100,-7.658,100,-9.449
13,target_22,-9.760,100,-7.125,99,-9.432
14,target_98,-9.157,100,-9.173,100,-9.382
15,target_49,-12.163,100,-9.103,100,-9.370
16,target_08,-4.401,100,-7.991,99,-9.331
17,target_68,-6.790,100,-8.594,100,-9.276
18,target_12,-9.438,100,-7.681,100,-9.191
19,target_24,-9.929,100,-8.121,100,-9.024
20,target_93,-6.812,100,-7.149,100,-8.983
21,target_55,-2.712,100,-7.796,99,-8.820
22,target_45,-5.393,99,-8.485,100,-8.798
23,target_33,-3.906,100,-7.045,99,-8.641
24,target_11,-8.828,100,-9.174,98,-8.627
25,target_07,-9.228,100,-8.216,100,-8.357
26,target_81,-9.381,100,-8.175,100,-8.314
27,target_02,-6.532,100,-7.853,99,-8.229
28,target_65,-2.443,100,-5.810,100,-8.212
29,target_10,-9.122,100,-8.285,100,-8.063
30,target_36,-8.520,100,-8.330,100,-8.041
31,target_87,0.736,100,-7.698,100,-8.023
32,target_83,-8.784,99,-7.548,98,-8.022
33,target_41,-8.067,99,-7.619,99,-8.014
34,target_57,-5.065,100,-6.022,99,-7.923
35,target_88,-7.952,100,-7.440,100,-7.886
36,target_51,-7.477,100,-8.167,99,-7.867
37,target_82,-9.153,99,-7.913,99,-7.777
38,target_76,-8.889,100,-8.045,99,-7.762
39,target_27,-3.861,100,-8.381,100,-7.761
40,target_37,-5.525,100,-6.657,99,-7.667
41,target_60,-9.810,100,-7.530,100,-7.628
42,target_19,-9.399,100,-7.614,100,-7.481
43,target_46,-8.578,100,-6.199,99,-7.089
44,target_48,-7.294,100,-6.078,100,-7.059
45,target_03,-5.947,100,-5.907,99,-6.972
46,target_25,-7.770,100,-4.533,100,-6.787
47,target_34,-5.278,100,-5.806,100,-6.398
48,target_09,-5.032,99,-6.016,100,-6.373
49,target_23,-5.891,100,-6.669,100,-6.318
50,target_95,-6.463,100,-6.479,100,-6.176
51,target_47,-7.441,100,-6.346,99,-5.929
52,target_62,-6.462,100,-6.179,100,-5.923
53,target_69,-4.114,100,-5.972,100,-5.821
54,target_40,-4.810,100,-6.501,100,-5.793
55,target_29,-5.492,100,-5.421,100,-5.700
56,target_28,-4.312,100,-5.245,100,-5.633
57,target_15,-4.033,100,-6.496,100,-5.627
58,target_16,-5.080,99,-5.101,100,-5.625
59,target_77,-3.740,99,-6.444,100,-5.604
60,target_91,3.129,99,-5.586,99,-5.383
61,target_30,-6.737,100,-5.204,100,-5.142
62,target_64,-6.207,100,-5.100,100,-4.865
63,target_99,-5.452,100,-5.103,100,-4.839
64,target_05,-4.863,100,-4.122,100,-4.805
65,target_78,-4.585,100,-4.096,100,-4.792
66,target_18,-5.741,100,-5.578,100,-4.658
67,target_63,-3.083,100,-4.470,100,-4.642
68,target_71,-3.281,100,-3.632,99,-4.429
69,target_43,-4.231,100,-5.288,100,-4.160
70,target_50,-4.074,100,-4.271,100,-4.006
71,target_66,-3.237,100,-3.734,100,-3.860
72,target_14,-2.828,100,-3.949,100,-3.835
73,target_89,-4.115,100,-4.394,100,-3.394
74,target_90,-2.492,100,-3.459,100,-2.893
75,target_56,-3.213,100,-5.138,99,-2.736
76,target_38,-3.551,100,-3.256,100,-2.396
77,target_96,-2.730,99,-1.768,100,-1.466
78,target_58,7.250,100,24.807,100,15.548
79,target_74,-2.222,100,17.237,99,20.690
