rank,target,reference,n_ar,ar_median,n_pocket2mol,pocket2mol_median,n_diffsbdd,diffsbdd_median,n_decompdiff,decompdiff_median,n_funcbind,funcbind_median,n_voxbind,voxbind_median,n_code,code_median
1,target_72,-15.648,100,-8.279,100,-13.329,95,-10.064,63,-12.316,100,-12.542,100,-11.918,100,-11.653
2,target_04,-8.647,100,-8.277,100,-10.681,96,-8.582,95,-6.957,100,-8.967,100,-11.450,99,-11.531
3,target_70,-10.889,94,-12.248,100,-11.066,94,-8.738,82,-10.160,98,-8.612,100,-10.238,100,-11.398
4,target_73,-12.255,47,-9.290,100,6.717,98,-7.550,47,-9.301,100,-10.752,99,-10.506,100,-10.937
5,target_79,-7.759,100,-7.061,100,-6.522,99,-5.971,98,-6.960,100,-7.646,100,-8.396,100,-10.630
6,target_31,-6.104,100,-5.847,100,-7.822,97,-6.817,52,-5.335,100,-5.559,100,-8.111,100,-10.483
7,target_80,-13.992,100,-9.702,36,-13.933,97,-8.189,58,-10.464,100,-11.582,100,-10.062,98,-10.457
8,target_39,-5.782,100,-10.419,100,-8.305,97,-8.183,98,-6.726,99,-8.207,97,-10.634,99,-10.306
9,target_85,-8.340,100,-7.444,100,-7.438,95,-7.179,91,-7.469,100,-7.130,100,-7.621,99,-10.100
10,target_44,-8.879,100,-8.099,100,-6.508,93,-7.349,77,-7.506,100,-7.167,100,-7.499,100,-9.990
11,target_17,-7.029,100,-5.991,100,-6.250,98,-5.241,66,-5.867,100,-6.101,100,-7.516,100,-9.482
12,target_22,-9.760,98,-8.498,100,-6.960,96,-5.729,57,-6.433,100,-8.186,100,-6.593,99,-9.440
13,target_92,-7.754,87,-6.757,100,-7.771,100,-6.249,39,-7.851,100,-9.337,100,-8.503,100,-9.349
14,target_49,-12.163,100,-9.462,100,-8.756,98,-6.412,52,-8.511,100,-10.501,100,-9.215,100,-9.320
15,target_98,-9.157,100,-10.085,100,-10.702,96,-7.546,85,-8.264,100,-9.269,100,-9.250,100,-9.148
16,target_12,-9.438,100,-7.764,100,-7.223,99,-6.664,84,-6.726,100,-6.978,100,-8.078,100,-9.111
17,target_68,-6.790,100,-6.934,100,-6.992,99,-6.045,79,-6.909,100,-7.613,100,-8.451,100,-9.102
18,target_33,-3.906,100,-4.688,100,-3.279,98,-3.414,91,-3.609,100,-3.776,100,-7.995,99,-9.078
19,target_55,-2.712,100,-3.772,100,-2.768,99,-3.535,98,-2.377,100,-3.015,100,-7.943,99,-8.912
20,target_24,-9.929,77,-8.239,100,-7.514,99,-6.336,73,-7.340,100,-6.290,100,-8.314,100,-8.906
21,target_45,-5.393,100,-4.322,100,-4.841,98,-5.546,89,-4.699,100,-3.804,99,-8.482,100,-8.665
22,target_08,-4.401,92,-3.885,100,-3.565,100,-4.700,98,-4.062,100,-3.867,100,-8.280,99,-8.617
23,target_93,-6.812,96,-5.561,100,-4.496,99,-4.957,47,-6.069,100,-5.491,100,-6.679,100,-8.532
24,target_11,-8.828,100,-9.222,100,-7.592,99,-6.749,64,-6.588,99,-8.047,100,-9.240,98,-8.511
25,target_81,-9.381,100,-6.875,36,-5.863,98,-6.219,36,-7.117,100,-9.872,100,-8.145,100,-8.502
26,target_07,-9.228,86,-8.645,100,-6.564,96,-4.390,66,-6.444,100,-8.572,100,-8.037,100,-8.307
27,target_65,-2.443,100,-3.401,100,-2.883,100,-3.758,95,-2.676,100,-2.541,100,-6.127,100,-8.277
28,target_87,0.736,98,-5.880,100,-4.725,94,-5.136,96,-6.278,100,-4.511,100,-7.784,100,-8.152
