rank,target,reference,n_voxbind,voxbind_median,n_code,code_median
1,target_72,-15.648,100,-11.918,100,-11.653
2,target_04,-8.647,100,-11.450,99,-11.531
3,target_70,-10.889,100,-10.238,100,-11.398
4,target_73,-12.255,99,-10.506,100,-10.937
5,target_79,-7.759,100,-8.396,100,-10.630
6,target_31,-6.104,100,-8.111,100,-10.483
7,target_80,-13.992,100,-10.062,98,-10.457
8,target_39,-5.782,97,-10.634,99,-10.306
9,target_85,-8.340,100,-7.621,99,-10.100
10,target_44,-8.879,100,-7.499,100,-9.990
11,target_17,-7.029,100,-7.516,100,-9.482
12,target_22,-9.760,100,-6.593,99,-9.440
13,target_92,-7.754,100,-8.503,100,-9.349
14,target_49,-12.163,100,-9.215,100,-9.320
15,target_98,-9.157,100,-9.250,100,-9.148
16,target_12,-9.438,100,-8.078,100,-9.111
17,target_68,-6.790,100,-8.451,100,-9.102
18,target_33,-3.906,100,-7.995,99,-9.078
19,target_55,-2.712,100,-7.943,99,-8.912
20,target_24,-9.929,100,-8.314,100,-8.906
21,target_45,-5.393,99,-8.482,100,-8.665
22,target_08,-4.401,100,-8.280,99,-8.617
23,target_93,-6.812,100,-6.679,100,-8.532
24,target_11,-8.828,100,-9.240,98,-8.511
25,target_81,-9.381,100,-8.145,100,-8.502
26,target_07,-9.228,100,-8.037,100,-8.307
27,target_65,-2.443,100,-6.127,100,-8.277
28,target_87,0.736,100,-7.784,100,-8.152
29,target_02,-6.532,100,-7.768,99,-8.143
30,target_36,-8.520,100,-8.057,100,-8.101
31,target_10,-9.122,100,-8.311,100,-8.052
32,target_76,-8.889,100,-8.090,99,-8.040
33,target_41,-8.067,99,-7.637,99,-7.970
34,target_51,-7.477,100,-8.009,99,-7.942
35,target_88,-7.952,100,-7.583,100,-7.870
36,target_27,-3.861,100,-8.764,100,-7.851
37,target_82,-9.153,99,-7.795,99,-7.841
38,target_19,-9.399,100,-7.623,100,-7.746
39,target_37,-5.525,100,-6.803,99,-7.662
40,target_83,-8.784,99,-7.206,98,-7.648
41,target_60,-9.810,100,-7.389,100,-7.633
42,target_57,-5.065,100,-5.890,99,-7.535
43,target_03,-5.947,100,-5.973,99,-7.148
44,target_46,-8.578,100,-6.829,99,-7.142
45,target_48,-7.294,100,-6.306,100,-7.033
46,target_25,-7.770,100,-6.858,100,-6.893
47,target_34,-5.278,100,-5.663,100,-6.436
48,target_23,-5.891,100,-7.094,100,-6.315
49,target_09,-5.032,99,-5.778,100,-6.272
50,target_95,-6.463,100,-6.787,100,-6.173
51,target_56,-3.213,100,-6.000,99,-6.130
52,target_47,-7.441,100,-6.342,99,-6.025
53,target_62,-6.462,100,-6.181,100,-5.899
54,target_40,-4.810,100,-6.432,100,-5.831
55,target_16,-5.080,99,-5.676,100,-5.799
56,target_77,-3.740,99,-6.933,100,-5.756
57,target_69,-4.114,100,-5.874,100,-5.708
58,target_29,-5.492,100,-5.402,100,-5.688
59,target_28,-4.312,100,-4.970,100,-5.544
60,target_15,-4.033,100,-6.780,100,-5.313
61,target_30,-6.737,100,-5.152,100,-5.085
62,target_91,3.129,99,-5.357,99,-5.023
63,target_78,-4.585,100,-4.150,100,-4.916
64,target_64,-6.207,100,-5.171,100,-4.890
65,target_99,-5.452,100,-5.056,100,-4.886
66,target_05,-4.863,100,-4.404,100,-4.780
67,target_63,-3.083,100,-4.616,100,-4.639
68,target_71,-3.281,100,-3.406,99,-4.537
69,target_18,-5.741,100,-5.419,100,-4.502
70,target_43,-4.231,100,-4.782,100,-4.087
71,target_50,-4.074,100,-4.186,100,-4.053
72,target_66,-3.237,100,-3.719,100,-3.929
73,target_14,-2.828,100,-3.808,100,-3.812
74,target_38,-3.551,100,-3.269,100,-3.395
75,target_89,-4.115,100,-4.185,100,-3.333
76,target_90,-2.492,100,-3.502,100,-2.933
77,target_96,-2.730,99,-2.129,100,-1.732
78,target_58,7.250,100,13.446,100,5.954
79,target_74,-2.222,100,8.852,99,17.585
