method,palette_hex,soft_hex,pale_hex,legend_label
Reference ligand,#9AA0A6,,,Reference ligand
AR,#17A2B8,#7FC4D1,,AR
Pocket2Mol,#E87BA4,#F0A6C0,,Pocket2Mol
DiffSBDD,#E34948,#EE9190,,DiffSBDD
DecompDiff,#3CB44B,#8DCB92,,DecompDiff
FuncBind,#9A8430,#C6B46A,,FuncBind
TargetDiff,#B58FDB,,,TargetDiff
VoxBind,#F5B27E,,#F8D3B0,VoxBind$_{\sigma=0.9}$
CoDE,#4363D8,#8291E8,#B4BEF0,CoDE
Ours v2,#2B3A8C,,,Ours v2
FuncBind vanilla,#A9744F,,,FuncBind vanilla
FuncBind ft 3.17M,#86593A,,,FuncBind ft 3.17M
FuncBind ft 8.21M,#684226,,,FuncBind ft 8.21M
FuncBind ft 26.1M,#4A2C12,,,FuncBind ft 26.1M
