pdb_id,true_pK,pred_pK
1a4w,5.920000076293945,6.169241746266683
1aj6,5.920000076293945,7.065614541371663
1akq,9.100000381469727,7.490434805552165
1akr,9.09000015258789,6.723812421162923
1akt,8.489999771118164,6.583038806915283
1aku,6.130000114440918,7.464733759562175
1akw,8.59000015258789,6.83627716700236
1aw1,1.0499999523162842,6.362221082051595
1bcu,3.2799999713897705,4.912078698476155
1c5o,3.490000009536743,6.4706370035807295
1c5s,6.0,5.738733291625977
1c5t,4.099999904632568,5.934060732523601
1c7e,6.300000190734863,6.515690644582112
1c7f,9.520000457763672,6.599040349324544
1ezq,9.050000190734863,6.137209415435791
1f0s,7.739999771118164,6.645134925842285
1f0t,6.0,5.8024953206380205
1f0u,7.159999847412109,5.626498222351074
1fkn,8.800000190734863,6.461423238118489
1flm,9.369999885559082,6.441638469696045
1g2l,7.239999771118164,5.8208262125651045
1g2m,7.400000095367432,5.932048638661702
1g30,6.849999904632568,6.110737323760986
1g32,6.110000133514404,5.869522412618001
1g36,7.170000076293945,4.350503285725911
1ghv,4.349999904632568,5.11192512512207
1ghw,4.199999809265137,6.216906547546387
1ghz,4.800000190734863,4.15699577331543
1gi1,5.46999979019165,6.61699644724528
1gi6,6.21999979019165,4.525230407714844
1gi7,4.510000228881836,5.569130579630534
1gi8,5.050000190734863,5.862883726755778
1gi9,5.21999979019165,4.556311289469401
1gj4,4.070000171661377,5.718426545461019
1gj5,4.960000038146973,6.124532858530681
1gj6,7.0,5.793130238850911
1gj7,7.889999866485596,5.610514958699544
1gj8,6.960000038146973,5.502064069112142
1gja,5.420000076293945,5.500792821248372
1gjb,6.349999904632568,5.877841154734294
1gjc,6.349999904632568,5.831608931223552
1hp5,6.550000190734863,7.468263308207194
1i7z,6.400000095367432,7.719115257263184
1jak,5.570000171661377,5.349275588989258
1jwt,7.849999904632568,6.690919558207194
1k1i,6.579999923706055,6.780082702636719
1k1j,7.550000190734863,5.612984339396159
1k1l,6.900000095367432,6.162196636199951
1k1m,7.400000095367432,5.920432408650716
1k1n,6.820000171661377,6.436183929443359
1k1o,6.170000076293945,5.670403162638347
1kv5,4.21999979019165,5.364355405171712
1kzn,8.920000076293945,8.647408485412598
1lqe,5.820000171661377,4.835303942362468
1lyx,4.539999961853027,7.049239158630371
1lzo,4.539999961853027,6.274681727091472
1m4h,9.520000457763672,7.8229241371154785
1m9n,6.920000076293945,6.228217760721843
1ml1,4.28000020980835,6.889537970225017
1njf,6.210000038146973,7.343430042266846
1np0,3.569999933242798,6.226747353871663
1nvq,8.25,7.221353212992351
1nvr,8.109999656677246,6.7468767166137695
1o2g,6.119999885559082,5.612639745076497
1o2h,7.170000076293945,5.718392690022786
1o2j,6.920000076293945,5.0960642496744795
1o2k,6.920000076293945,5.391219298044841
1o2n,6.090000152587891,5.182130654652913
1o2o,6.360000133514404,5.120748996734619
1o2p,4.849999904632568,4.775508880615234
1o2q,7.679999828338623,5.298121452331543
1o2r,5.210000038146973,5.325231552124023
1o2s,5.46999979019165,5.205004851023356
1o2t,7.849999904632568,4.917030652364095
1o2z,6.110000133514404,4.504723230997722
1o30,6.769999980926514,4.243002414703369
1o32,5.739999771118164,4.989235083262126
1o33,5.739999771118164,4.832332134246826
1o34,5.739999771118164,4.9673566818237305
1o35,5.0,5.290717442830403
1o36,5.960000038146973,4.390982945760091
1o38,6.820000171661377,4.043222904205322
1o39,7.130000114440918,4.794095516204834
1o3b,7.130000114440918,5.0373101234436035
1o3c,7.130000114440918,5.037615617116292
1o3d,7.130000114440918,5.02619473139445
1o3e,7.960000038146973,5.24837605158488
1o3f,7.960000038146973,5.2912750244140625
1o3p,6.659999847412109,4.9952108065287275
1o5a,6.420000076293945,5.930098215738933
1o5c,5.21999979019165,5.198231379191081
1o5e,5.739999771118164,5.849379857381185
1o5f,6.070000171661377,5.618012110392253
1o5g,4.960000038146973,5.698123772939046
1odi,4.210000038146973,7.407228787740071
1odj,4.099999904632568,7.189276218414307
1ow4,5.679999828338623,7.135670344034831
1owe,6.199999809265137,4.323682467142741
1owh,7.400000095367432,4.045016924540202
1owi,7.550000190734863,4.551825841267903
1owj,7.320000171661377,5.209306399027507
1owk,7.630000114440918,5.62515926361084
1oyq,6.960000038146973,4.371922492980957
