pdb_id,true_pK,pred_pK
1a4w,5.920000076293945,5.982869784037272
1aj6,5.920000076293945,7.465816020965576
1akq,9.100000381469727,8.277398745218912
1akr,9.09000015258789,6.740715026855469
1akt,8.489999771118164,6.24168062210083
1aku,6.130000114440918,6.594987074534099
1akw,8.59000015258789,6.970059394836426
1aw1,1.0499999523162842,5.275412718454997
1bcu,3.2799999713897705,5.646981080373128
1c5o,3.490000009536743,6.396665255228679
1c5s,6.0,5.075697580973308
1c5t,4.099999904632568,6.393071333567302
1c7e,6.300000190734863,6.571410655975342
1c7f,9.520000457763672,7.155097961425781
1ezq,9.050000190734863,6.268121560414632
1f0s,7.739999771118164,6.236807982126872
1f0t,6.0,5.096179962158203
1f0u,7.159999847412109,5.281185785929362
1fkn,8.800000190734863,6.969417572021484
1flm,9.369999885559082,6.272929350535075
1g2l,7.239999771118164,6.3137688636779785
1g2m,7.400000095367432,6.379039287567139
1g30,6.849999904632568,6.643054167429606
1g32,6.110000133514404,6.387670358022054
1g36,7.170000076293945,4.523320992787679
1ghv,4.349999904632568,5.068514347076416
1ghw,4.199999809265137,6.330060323079427
1ghz,4.800000190734863,4.357477982838948
1gi1,5.46999979019165,5.790143807729085
1gi6,6.21999979019165,4.79656457901001
1gi7,4.510000228881836,4.790716489156087
1gi8,5.050000190734863,5.085290749867757
1gi9,5.21999979019165,4.450829823811849
1gj4,4.070000171661377,5.508864243825276
1gj5,4.960000038146973,6.051637649536133
1gj6,7.0,6.176130771636963
1gj7,7.889999866485596,4.869453589121501
1gj8,6.960000038146973,4.723512967427571
1gja,5.420000076293945,4.807387669881185
1gjb,6.349999904632568,5.609494686126709
1gjc,6.349999904632568,5.1540781656901045
1hp5,6.550000190734863,7.741905689239502
1i7z,6.400000095367432,7.045571962992351
1jak,5.570000171661377,5.09933344523112
1jwt,7.849999904632568,6.873133818308513
1k1i,6.579999923706055,6.050763924916585
1k1j,7.550000190734863,5.798388322194417
1k1l,6.900000095367432,5.72553030649821
1k1m,7.400000095367432,5.790836175282796
1k1n,6.820000171661377,5.3314666748046875
1k1o,6.170000076293945,5.528854846954346
1kv5,4.21999979019165,5.6744130452473955
1kzn,8.920000076293945,9.185235977172852
1lqe,5.820000171661377,5.269678910573323
1lyx,4.539999961853027,7.424976984659831
1lzo,4.539999961853027,6.263386090596517
1m4h,9.520000457763672,7.7952656745910645
1m9n,6.920000076293945,6.48527463277181
1ml1,4.28000020980835,6.512022495269775
1njf,6.210000038146973,7.027637163798015
1np0,3.569999933242798,6.066823641459147
1nvq,8.25,7.450470129648845
1nvr,8.109999656677246,7.449458758036296
1o2g,6.119999885559082,5.6541768709818525
1o2h,7.170000076293945,5.653073151906331
1o2j,6.920000076293945,4.804622968037923
1o2k,6.920000076293945,5.329067707061768
1o2n,6.090000152587891,5.3027065594991045
1o2o,6.360000133514404,5.4112497965494795
1o2p,4.849999904632568,5.155962626139323
1o2q,7.679999828338623,5.242086887359619
1o2r,5.210000038146973,4.996326128641765
1o2s,5.46999979019165,5.209071159362793
1o2t,7.849999904632568,5.25885550181071
1o2z,6.110000133514404,4.479354699452718
1o30,6.769999980926514,4.4831240971883135
1o32,5.739999771118164,5.123063723246257
1o33,5.739999771118164,5.217271010080974
1o34,5.739999771118164,5.180755615234375
1o35,5.0,5.138846715291341
1o36,5.960000038146973,4.410505294799805
1o38,6.820000171661377,4.970856189727783
1o39,7.130000114440918,5.088283856709798
1o3b,7.130000114440918,4.658268769582112
1o3c,7.130000114440918,4.619627634684245
1o3d,7.130000114440918,5.365987459818522
1o3e,7.960000038146973,5.146764278411865
1o3f,7.960000038146973,5.063163598378499
1o3p,6.659999847412109,4.407638867696126
1o5a,6.420000076293945,5.64365291595459
1o5c,5.21999979019165,4.358685811360677
1o5e,5.739999771118164,5.289217313130696
1o5f,6.070000171661377,4.920648097991943
1o5g,4.960000038146973,5.942527135213216
1odi,4.210000038146973,7.840758641560872
1odj,4.099999904632568,7.631912390391032
