pdb_id,true_pK,pred_pK
1a4w,5.920000076293945,5.830450216929118
1aj6,5.920000076293945,7.483693917592366
1akq,9.100000381469727,7.211568991343181
1akr,9.09000015258789,6.617528120676677
1akt,8.489999771118164,6.565548261006673
1aku,6.130000114440918,6.75078550974528
1akw,8.59000015258789,6.480165322621663
1aw1,1.0499999523162842,5.202476819356282
1bcu,3.2799999713897705,4.695124785105388
1c5o,3.490000009536743,6.955343564351399
1c5s,6.0,5.601277192433675
1c5t,4.099999904632568,5.737795193990071
1c7e,6.300000190734863,6.879293282826741
1c7f,9.520000457763672,6.414924621582031
1ezq,9.050000190734863,6.7652238210042315
1f0s,7.739999771118164,5.713530381520589
1f0t,6.0,6.506935119628906
1f0u,7.159999847412109,6.469596862792969
1fkn,8.800000190734863,5.77107048034668
1flm,9.369999885559082,6.49078385035197
1g2l,7.239999771118164,5.907053788503011
1g2m,7.400000095367432,6.5130330721537275
1g30,6.849999904632568,6.511356830596924
1g32,6.110000133514404,6.018065770467122
1g36,7.170000076293945,5.646008332570394
1ghv,4.349999904632568,4.791343688964844
1ghw,4.199999809265137,6.454402605692546
1ghz,4.800000190734863,4.4167586962382
1gi1,5.46999979019165,7.187438488006592
1gi6,6.21999979019165,4.740704695383708
1gi7,4.510000228881836,5.4055406252543134
1gi8,5.050000190734863,5.484362761179606
1gi9,5.21999979019165,4.631717046101888
1gj4,4.070000171661377,5.394198576609294
1gj5,4.960000038146973,6.08239205678304
1gj6,7.0,6.124562422434489
1gj7,7.889999866485596,5.706560134887695
1gj8,6.960000038146973,4.5812093416849775
1gja,5.420000076293945,5.378799915313721
1gjb,6.349999904632568,6.384172757466634
1gjc,6.349999904632568,5.691326141357422
1hp5,6.550000190734863,7.620128790537517
1i7z,6.400000095367432,7.260297775268555
1jak,5.570000171661377,6.391456286112468
1jwt,7.849999904632568,7.314281781514485
1k1i,6.579999923706055,5.8131357828776045
1k1j,7.550000190734863,6.395551999409993
1k1l,6.900000095367432,6.4575544993082685
1k1m,7.400000095367432,6.149581591288249
1k1n,6.820000171661377,5.525478045145671
1k1o,6.170000076293945,5.83090607325236
1kv5,4.21999979019165,5.712889989217122
1kzn,8.920000076293945,8.226268450419107
1lqe,5.820000171661377,6.411131381988525
1lyx,4.539999961853027,6.385908444722493
1lzo,4.539999961853027,6.0871256192525225
1m4h,9.520000457763672,7.823156515757243
1m9n,6.920000076293945,5.761167844136556
1ml1,4.28000020980835,7.031274159749349
1njf,6.210000038146973,7.653604348500569
1np0,3.569999933242798,6.310781637827556
1nvq,8.25,7.439481417338054
1nvr,8.109999656677246,6.516656080881755
1o2g,6.119999885559082,6.204709370930989
1o2h,7.170000076293945,6.1604665120442705
1o2j,6.920000076293945,5.7933352788289385
1o2k,6.920000076293945,5.782455921173096
1o2n,6.090000152587891,5.44299856821696
1o2o,6.360000133514404,5.761415322621663
1o2p,4.849999904632568,6.263400554656982
1o2q,7.679999828338623,6.487449328104655
1o2r,5.210000038146973,6.3103179931640625
1o2s,5.46999979019165,6.126254399617513
1o2t,7.849999904632568,5.700000286102295
1o2z,6.110000133514404,5.8856094678243
1o30,6.769999980926514,5.181384722391765
1o32,5.739999771118164,5.687529722849528
1o33,5.739999771118164,5.81881046295166
1o34,5.739999771118164,5.800157864888509
1o35,5.0,5.298389752705892
1o36,5.960000038146973,5.559998035430908
1o38,6.820000171661377,4.832059224446614
1o39,7.130000114440918,5.417481740315755
1o3b,7.130000114440918,5.518913904825847
1o3c,7.130000114440918,5.589681307474772
1o3d,7.130000114440918,5.596072673797607
1o3e,7.960000038146973,5.8807094891866045
1o3f,7.960000038146973,5.818586031595866
1o3p,6.659999847412109,5.227391401926677
1o5a,6.420000076293945,6.432968298594157
1o5c,5.21999979019165,4.064392884572347
1o5e,5.739999771118164,6.210142612457275
1o5f,6.070000171661377,5.964028676350911
1o5g,4.960000038146973,6.065791765848796
1odi,4.210000038146973,6.775381406148274
1odj,4.099999904632568,6.833532651265462
1ow4,5.679999828338623,6.809284687042236
1owe,6.199999809265137,4.824358145395915
1owh,7.400000095367432,4.498362223307292
1owi,7.550000190734863,5.021884441375732
1owj,7.320000171661377,5.148853619893392
1owk,7.630000114440918,5.34239387512207
1oyq,6.960000038146973,4.95223331451416
1oyt,7.239999771118164,5.388792673746745
1oz0,7.699999809265137,6.440334955851237
1p1n,6.800000190734863,7.399787267049153
1p1o,5.760000228881836,7.173251469930013
1p1q,4.889999866485596,6.816273371378581
1p4r,8.100000381469727,7.457721551259358
1p57,4.400000095367432,6.294552485148112
1pf8,7.510000228881836,6.694085439046224
1pkx,6.920000076293945,5.387595335642497
1pl0,8.220000267028809,8.202017466227213
1pr1,5.300000190734863,6.183862527211507
1pr5,3.9200000762939453,5.986430962880452
1pxm,7.21999979019165,6.620874722798665
1pxn,7.150000095367432,7.390605926513672
1pxp,6.659999847412109,7.343611717224121
1q4l,7.400000095367432,6.532326857248942
1q72,6.849999904632568,6.358431816101074
1q8t,4.760000228881836,6.157698631286621
1q8u,5.960000038146973,5.474498112996419
1q8w,5.239999771118164,5.974239190419515
1qbo,7.739999771118164,6.524200439453125
1qyg,6.849999904632568,7.404013633728027
1sb1,6.889999866485596,5.836298147837321
1sqo,7.460000038146973,5.9507832527160645
1sqt,6.199999809265137,6.107990582784017
1syh,6.409999847412109,6.896548271179199
1syi,5.440000057220459,6.365057627360026
1syo,9.0,5.525976022084554
1sz0,9.0,5.090216159820557
1thz,5.150000095367432,5.039182027180989
1tvo,6.849999904632568,6.679356733957927
1tx7,4.599999904632568,5.745956103006999
1u6q,5.880000114440918,5.001250743865967
1ua4,4.21999979019165,6.831946849822998
1utn,3.490000009536743,7.063154379526774
1uto,2.2699999809265137,4.810491879781087
1v2k,6.190000057220459,6.991434892018636
1v2n,5.900000095367432,6.20959488550822
1v2o,4.730000019073486,5.477725982666016
