pid,kind,y_true,y_pred
1a4w,Ki,5.9200,7.9874
1aj6,Kd,5.9200,6.6020
1akq,Kd,9.1000,6.5413
1akr,Kd,9.0900,6.5271
1akt,Kd,8.4900,6.5560
1aku,Kd,6.1300,6.3414
1akw,Kd,8.5900,6.6134
1aw1,Ki,1.0500,4.7871
1bcu,Kd,3.2800,5.5208
1c5o,Ki,3.4900,5.0945
1c5s,Ki,6.0000,5.1212
1c5t,Ki,4.1000,5.1781
1c7e,Kd,6.3000,6.4465
1c7f,Kd,9.5200,6.6313
1ezq,Ki,9.0500,7.0957
1f0s,Ki,7.7400,6.5754
1f0t,Ki,6.0000,6.0314
1f0u,Ki,7.1600,6.1892
1fkn,Ki,8.8000,8.2327
1flm,Kd,9.3700,6.6039
1g2l,Ki,7.2400,8.1405
1g2m,Ki,7.4000,7.5372
1g30,Ki,6.8500,8.3972
1g32,Ki,6.1100,7.8909
1g36,Ki,7.1700,6.6685
1ghv,Ki,4.3500,6.3881
1ghw,Ki,4.2000,6.4674
1ghz,Ki,4.8000,5.6156
1gi1,Ki,5.4700,5.6877
1gi6,Ki,6.2200,5.6984
1gi7,Ki,4.5100,5.8790
1gi8,Ki,5.0500,5.9457
1gi9,Ki,5.2200,6.1217
1gj4,Ki,4.0700,8.1587
1gj5,Ki,4.9600,7.3710
1gj6,Ki,7.0000,7.3844
1gj7,Ki,7.8900,7.7206
1gj8,Ki,6.9600,6.9010
1gja,Ki,5.4200,5.9445
1gjb,Ki,6.3500,6.6743
1gjc,Ki,6.3500,6.6664
1hp5,Ki,6.5500,7.9993
1i7z,Kd,6.4000,6.7519
1jak,Ki,5.5700,7.5268
1jwt,Ki,7.8500,7.2084
1k1i,Kd,6.5800,6.4507
1k1j,Kd,7.5500,6.8337
1k1l,Kd,6.9000,6.5133
1k1m,Kd,7.4000,6.7667
1k1n,Kd,6.8200,6.8135
1k1o,Ki,6.1700,5.5200
1kv5,Ki,4.2200,4.6740
1kzn,Kd,8.9200,7.8959
1lqe,Ki,5.8200,6.3513
1lyx,Ki,4.5400,4.5389
1lzo,Ki,4.5400,4.3047
1m4h,Ki,9.5200,8.7639
1m9n,Ki,6.9200,6.7277
1ml1,Ki,4.2800,4.7073
1njf,Kd,6.2100,6.9086
1np0,Ki,3.5700,7.5707
1nvq,Ki,8.2500,9.2292
1nvr,Ki,8.1100,9.1110
1o2g,Ki,6.1200,7.4341
1o2h,Ki,7.1700,6.6047
1o2j,Ki,6.9200,6.5594
1o2k,Ki,6.9200,6.5367
1o2n,Ki,6.0900,7.2273
1o2o,Ki,6.3600,7.0480
1o2p,Ki,4.8500,7.3406
1o2q,Ki,7.6800,7.3723
1o2r,Ki,5.2100,7.4559
1o2s,Ki,5.4700,5.6903
1o2t,Ki,7.8500,6.7496
1o2z,Ki,6.1100,6.8090
1o30,Ki,6.7700,6.9023
1o32,Ki,5.7400,5.4529
1o33,Ki,5.7400,5.7130
1o34,Ki,5.7400,5.7256
1o35,Ki,5.0000,5.8970
1o36,Ki,5.9600,6.6357
1o38,Ki,6.8200,6.8195
1o39,Ki,7.1300,6.5333
1o3b,Ki,7.1300,6.4830
1o3c,Ki,7.1300,6.5543
1o3d,Ki,7.1300,6.6135
1o3e,Ki,7.9600,6.5699
1o3f,Ki,7.9600,6.5198
1o3p,Ki,6.6600,6.7662
1o5a,Ki,6.4200,6.7273
1o5c,Ki,5.2200,7.3060
1o5e,Ki,5.7400,7.2308
1o5f,Ki,6.0700,7.2226
1o5g,Ki,4.9600,8.0052
1odi,Kd,4.2100,5.3994
1odj,Kd,4.1000,5.9336
1ow4,Kd,5.6800,6.1331
1owe,Ki,6.2000,6.5093
1owh,Ki,7.4000,6.6085
1owi,Ki,7.5500,7.2202
1owj,Ki,7.3200,6.8026
1owk,Ki,7.6300,7.2506
1oyq,Ki,6.9600,7.1529
1oyt,Ki,7.2400,7.7288
1oz0,Kd,7.7000,7.1022
1p1n,Kd,6.8000,5.7652
1p1o,Kd,5.7600,5.3044
1p1q,Kd,4.8900,5.7029
1p4r,Ki,8.1000,8.2201
1p57,Ki,4.4000,5.6084
1pf8,Ki,7.5100,7.0550
1pkx,Ki,6.9200,6.9316
1pl0,Ki,8.2200,7.5019
1pr1,Ki,5.3000,6.4280
1pr5,Ki,3.9200,6.3892
1pxm,Ki,7.2200,7.8237
1pxn,Ki,7.1500,7.8227
1pxp,Ki,6.6600,7.8197
1q4l,Kd,7.4000,6.0329
1q72,Kd,6.8500,4.5629
1q8t,Kd,4.7600,5.3295
1q8u,Kd,5.9600,6.5965
1q8w,Kd,5.2400,6.4954
1qbo,Ki,7.7400,6.7333
1qyg,Kd,6.8500,4.8780
1sb1,Ki,6.8900,8.0117
1sqo,Ki,7.4600,6.1680
1sqt,Ki,6.2000,6.7628
1syh,Ki,6.4100,5.1563
1syi,Ki,5.4400,5.8824
1syo,Kd,9.0000,4.6234
1sz0,Kd,9.0000,4.5309
1thz,Ki,5.1500,6.4517
1tvo,Ki,6.8500,6.9923
1tx7,Ki,4.6000,5.4429
1u6q,Ki,5.8800,6.9540
1ua4,Ki,4.2200,5.6614
1utn,Kd,3.4900,3.9121
1uto,Kd,2.2700,4.0778
1v2k,Ki,6.1900,7.4277
1v2n,Ki,5.9000,6.0491
1v2o,Ki,4.7300,6.1804
1v2p,Ki,4.7300,6.3237
1v2q,Ki,4.1300,6.4709
1v2r,Ki,3.5500,6.1784
1v2t,Ki,4.7100,6.2642
1v2w,Ki,4.0100,6.1916
1vjd,Kd,3.5400,7.6509
1wvj,Ki,6.7300,5.3195
1xa5,Kd,6.5000,10.8624
1xbb,Ki,5.3000,7.7195
1xhy,Ki,6.1800,5.0298
1xk9,Ki,6.8500,5.9861
1xkk,Ki,8.5200,10.2730
1xws,Kd,8.0000,6.8920
1xxh,Kd,6.1100,6.6516
1xxi,Kd,5.5200,6.1435
1y3v,Ki,5.6400,7.2870
1y3w,Ki,5.7700,7.1634
1y3x,Ki,5.1400,7.0592
1ydr,Ki,5.5200,6.1391
1yds,Ki,5.9200,6.2267
1yp9,Ki,5.1100,6.9891
1ype,Ki,8.1000,8.5075
1ypg,Ki,8.0000,8.9161
1ypj,Ki,7.0200,8.5563
1z6e,Ki,9.7200,8.5569
2al5,Ki,8.4000,5.1467
2b1g,Ki,6.6400,6.5198
2b1i,Ki,6.8200,6.9576
2bal,Kd,6.3100,7.1046
2br1,Ki,5.1400,7.5912
2brb,Ki,4.8600,6.6844
2brm,Ki,5.8900,6.8417
2byp,Kd,9.0600,6.3046
2byr,Kd,8.5500,7.8195
2bys,Kd,9.5200,6.3459
2bza,Ki,2.8000,4.5086
2c3i,Kd,7.6000,6.4025
2c3j,Ki,6.1800,5.8993
2c3k,Ki,7.5900,8.1248
2c3l,Ki,5.0700,6.4034
2c6o,Ki,8.2200,8.8196
2cbj,Ki,8.2700,6.9852
2cji,Ki,8.2200,7.5409
2clx,Ki,4.8800,6.8408
2cvd,Kd,6.1000,6.4089
2d0k,Kd,5.0200,5.7083
2e2p,Ki,4.7400,6.2783
2epn,Ki,7.2200,7.1605
2esm,Ki,6.2800,6.8726
2etk,Ki,6.8200,7.3442
2etr,Ki,6.8200,6.2543
2fb8,Kd,9.8000,6.8398
2fdp,Ki,7.5900,7.9723
2fpz,Ki,3.9600,4.7293
2fvd,Ki,8.5200,8.6266
2fx6,Ki,3.7000,4.8826
2fzz,Ki,10.5200,8.8910
2g00,Ki,9.7400,8.5471
2gl0,Kd,4.8200,6.0322
2h13,Kd,5.3500,4.9005
2ito,Kd,6.9100,7.0801
2itt,Kd,8.7700,6.8357
2ity,Kd,7.2700,7.3134
2itz,Kd,8.5900,7.0509
2j27,Ki,3.5200,4.5305
2j2u,Ki,7.3300,7.5218
2j34,Ki,7.8200,7.2397
2j4i,Ki,9.0000,7.8296
2j62,Ki,11.3400,8.8840
2j94,Ki,6.2700,7.4804
2j95,Ki,8.4000,7.4998
2jds,Ki,8.2000,7.8487
2jdv,Ki,8.2000,8.3537
2jh0,Ki,8.7000,7.7835
2jh5,Ki,6.4400,7.7013
2jh6,Ki,7.7700,7.6236
2jkh,Ki,8.0500,7.5546
2ohl,Kd,3.0500,4.3929
2ojg,Ki,5.6400,6.4635
2oji,Ki,7.0700,7.0479
2ojj,Ki,8.7000,7.9665
2oxn,Ki,7.4400,5.9831
2p16,Ki,10.1000,7.4215
2p4j,Ki,8.9600,9.3696
2p93,Ki,8.8200,6.8638
2p94,Ki,9.1700,7.6016
2p95,Ki,9.3700,7.2847
2pgz,Kd,5.7400,5.6458
2psx,Ki,5.7700,6.0031
2qmg,Ki,9.1500,8.4984
2qrk,Ki,4.2600,5.0236
2qrl,Ki,4.0000,4.1083
2r2m,Ki,7.3300,7.5493
2r2w,Ki,4.4700,6.1098
2r5b,Kd,8.6000,6.3696
2r5d,Kd,10.1500,6.3719
2rcb,Kd,6.7900,5.0754
2rin,Kd,4.0000,5.9737
2uwd,Kd,8.3500,7.1015
2uwl,Ki,8.4000,7.2295
2uwo,Ki,8.7000,7.3744
2uwp,Ki,6.8100,7.1391
2v2c,Ki,3.4100,4.7107
2v2h,Ki,3.7700,4.7660
2vc9,Kd,8.4400,5.9780
2vcb,Kd,5.2600,6.3764
2vkm,Ki,8.7400,9.4544
2vvc,Ki,8.5200,7.9909
2vvn,Kd,7.3000,7.2049
2vvs,Ki,7.3400,7.0092
2w26,Ki,9.4000,7.1798
2w66,Ki,4.0500,6.2784
2w67,Ki,4.9600,6.1024
2w8f,Ki,6.3000,6.0031
2w8g,Ki,6.0000,6.8956
2w9h,Kd,6.3700,6.5515
2wb5,Ki,9.1300,7.6548
2wd7,Ki,4.9700,4.5961
2wn9,Kd,8.5200,5.1546
2wnc,Kd,6.3200,5.5075
2wnj,Kd,6.4800,5.5591
2wnl,Kd,6.0000,4.2446
2wtv,Ki,8.7400,8.3507
2wtw,Kd,8.1900,7.5017
2x00,Kd,11.3300,7.3622
2xab,Kd,9.2700,6.4519
2xah,Ki,3.5500,12.6526
2xaj,Ki,3.7700,12.2368
2xaq,Ki,5.9600,13.5215
2xas,Ki,5.8900,14.2929
2xde,Kd,5.4700,4.9468
2xdk,Kd,3.6000,5.0405
2xdl,Kd,3.1000,5.6798
2xdx,Kd,6.4600,6.1681
2xhr,Kd,8.3200,7.4134
2xht,Kd,5.9600,6.4554
2xhx,Kd,6.6000,6.6110
2xj1,Kd,7.5500,6.1722
2xj2,Kd,7.1800,5.7803
2xjg,Kd,7.8200,6.6915
2xjj,Kd,6.5100,6.6145
2xjx,Kd,9.1500,6.8341
2xm1,Kd,5.0700,5.6600
2xm2,Ki,4.6200,6.3416
2xmy,Ki,9.9600,8.5600
2xnb,Ki,6.8300,8.3884
2xpk,Ki,11.3000,8.6323
2xys,Ki,7.4200,6.2062
2xyt,Ki,6.2900,9.2043
2xz5,Ki,4.0100,4.5278
2y54,Kd,4.7000,5.2584
2y56,Kd,6.5100,6.0179
2y57,Kd,6.8900,6.2873
2y58,Kd,5.5000,5.8322
2y8l,Kd,5.8200,5.8730
2y8q,Kd,5.8200,6.0528
2y9q,Kd,6.1500,8.5605
2ygf,Kd,5.0900,6.5173
2yi5,Kd,7.4100,6.8177
2yix,Kd,8.4800,6.5296
2yk1,Kd,8.1300,6.2077
2yki,Kd,9.4600,8.1339
2yme,Kd,7.6600,5.1811
2z6w,Kd,7.8700,7.8226
2zaz,Ki,6.4000,7.0969
2zb0,Ki,6.6200,8.3124
2zb1,Kd,6.3200,6.7250
2zc9,Ki,6.7400,7.2845
2zda,Ki,8.4000,7.0738
2zdk,Kd,6.3700,5.5548
2zdl,Kd,6.4000,5.1321
2zdm,Kd,6.4100,5.2924
2zdn,Kd,6.2500,5.5085
2zfp,Ki,5.1700,7.0247
2zfs,Kd,6.5400,5.5481
2zft,Kd,6.5200,5.4357
2zgx,Ki,6.7400,6.5459
2zhd,Kd,6.5400,5.9184
2zju,Kd,5.8100,6.1970
2zjv,Kd,5.1400,5.6217
2zmd,Kd,7.0100,5.0502
2zq1,Kd,6.6200,5.5747
2zq2,Kd,6.5600,5.7400
3a2c,Ki,6.9000,6.9236
3ag9,Ki,8.0500,7.8467
3agl,Ki,7.8000,8.3473
3agm,Ki,9.0900,8.5953
3ama,Ki,6.5300,7.0039
3amb,Ki,6.1800,8.4073
3anq,Ki,6.7400,6.5288
3axz,Kd,3.4300,5.5069
3ay0,Kd,3.0400,5.1205
3b24,Kd,4.3800,5.2573
3b25,Kd,6.0700,7.0094
3b26,Kd,6.6400,6.8601
3b27,Kd,5.1600,6.3433
3b28,Kd,8.4700,7.9338
3bex,Kd,5.5700,6.6730
3bf1,Kd,2.5200,5.3932
3bft,Ki,6.4900,4.9428
3bfu,Ki,6.2700,4.5725
3bgq,Ki,7.9600,7.5527
3bgz,Ki,6.2600,6.5994
3bmn,Ki,4.4600,4.0120
3bmo,Ki,5.2700,5.2142
3bmq,Ki,5.4900,4.9759
3bv9,Ki,5.3600,7.7505
3bwj,Kd,6.5000,7.3545
3c39,Kd,3.9600,4.4184
3c49,Kd,7.1500,6.3153
3c4h,Kd,5.7000,5.8019
3c79,Kd,7.2000,5.1960
3c84,Kd,7.8500,6.5091
3ce0,Kd,6.1500,7.0407
3cen,Ki,8.2600,7.7692
3cfn,Kd,5.0000,8.0134
3ckp,Ki,6.3500,8.0751
3ckr,Ki,5.3000,8.3517
3ckz,Ki,8.7200,6.8763
3cl0,Ki,7.0700,7.3124
3cl2,Ki,7.5900,7.3328
3cow,Kd,6.9000,7.5986
3coy,Kd,6.0200,7.5950
3coz,Kd,5.5700,7.0984
3cs7,Ki,10.6800,8.6711
3d7z,Ki,7.9200,8.9222
3d83,Ki,8.3600,9.2632
3d94,Ki,6.8000,10.2394
3d9v,Ki,8.2200,7.0937
3da9,Kd,5.5100,5.5152
3dnd,Ki,4.8000,5.5322
3dne,Ki,5.2200,5.7934
3dux,Ki,7.0000,7.4060
3e64,Kd,7.1100,7.6188
3e92,Ki,8.0000,8.6607
3e93,Ki,8.8500,10.4156
3ebo,Ki,4.7200,5.0504
3ebp,Ki,5.9100,5.9464
3egk,Ki,4.6600,7.5058
3eig,Ki,7.6800,6.9917
3eko,Ki,6.7000,5.3417
3ekr,Ki,7.5200,6.3214
3emg,Ki,8.0500,8.3053
3f0r,Ki,6.8900,6.2079
3f68,Ki,5.0600,7.6067
3faa,Ki,8.1500,8.9325
3fat,Kd,7.6400,5.3927
3ffg,Ki,9.0800,8.9688
3fhb,Kd,5.7000,4.3460
3fmz,Ki,8.0800,8.4830
3fqe,Ki,8.3000,7.8711
3g2v,Kd,6.5200,5.3792
3g90,Ki,6.3600,6.7981
3g9n,Ki,5.7400,7.2455
3gfw,Kd,7.5700,7.4238
3gjw,Ki,8.3000,6.8437
3gn7,Ki,8.3000,6.1346
3gs6,Ki,6.5900,5.9141
3gsm,Ki,6.4800,5.3122
3gvu,Kd,8.0000,7.8287
3gy2,Kd,5.7400,5.4246
3gy3,Kd,5.6300,4.8418
3gy4,Kd,5.1000,4.3312
