pid,kind,y_true,y_pred
1a4w,Ki,5.9200,7.2559
1aj6,Kd,5.9200,6.1844
1akq,Kd,9.1000,6.7947
1akr,Kd,9.0900,6.7725
1akt,Kd,8.4900,6.9362
1aku,Kd,6.1300,6.7446
1akw,Kd,8.5900,6.7597
1aw1,Ki,1.0500,3.6254
1bcu,Kd,3.2800,5.3676
1c5o,Ki,3.4900,4.6336
1c5s,Ki,6.0000,4.8357
1c5t,Ki,4.1000,4.8148
1c7e,Kd,6.3000,6.9299
1c7f,Kd,9.5200,6.8696
1ezq,Ki,9.0500,7.5176
1f0s,Ki,7.7400,6.6891
1f0t,Ki,6.0000,5.9701
1f0u,Ki,7.1600,6.4207
1fkn,Ki,8.8000,6.4731
1flm,Kd,9.3700,6.7309
1g2l,Ki,7.2400,8.2623
1g2m,Ki,7.4000,8.3366
1g30,Ki,6.8500,8.7610
1g32,Ki,6.1100,8.7093
1g36,Ki,7.1700,7.5583
1ghv,Ki,4.3500,6.3422
1ghw,Ki,4.2000,6.4689
1ghz,Ki,4.8000,5.9688
1gi1,Ki,5.4700,6.1635
1gi6,Ki,6.2200,6.1534
1gi7,Ki,4.5100,6.1220
1gi8,Ki,5.0500,6.3653
1gi9,Ki,5.2200,6.4140
1gj4,Ki,4.0700,7.5138
1gj5,Ki,4.9600,7.3581
1gj6,Ki,7.0000,7.1668
1gj7,Ki,7.8900,7.3474
1gj8,Ki,6.9600,7.3636
1gja,Ki,5.4200,6.2935
1gjb,Ki,6.3500,6.9033
1gjc,Ki,6.3500,7.0918
1hp5,Ki,6.5500,6.4126
1i7z,Kd,6.4000,6.5633
1jak,Ki,5.5700,6.4916
1jwt,Ki,7.8500,7.2660
1k1i,Kd,6.5800,6.5473
1k1j,Kd,7.5500,6.6570
1k1l,Kd,6.9000,6.7262
1k1m,Kd,7.4000,6.6966
1k1n,Kd,6.8200,6.3717
1k1o,Ki,6.1700,6.2738
1kv5,Ki,4.2200,3.9770
1kzn,Kd,8.9200,7.1251
1lqe,Ki,5.8200,6.8521
1lyx,Ki,4.5400,3.5884
1lzo,Ki,4.5400,3.0747
1m4h,Ki,9.5200,7.4459
1m9n,Ki,6.9200,6.3850
1ml1,Ki,4.2800,3.6623
1njf,Kd,6.2100,6.9597
1np0,Ki,3.5700,5.6432
1nvq,Ki,8.2500,8.6175
1nvr,Ki,8.1100,8.6701
1o2g,Ki,6.1200,7.2223
1o2h,Ki,7.1700,6.9731
1o2j,Ki,6.9200,6.9081
1o2k,Ki,6.9200,6.9499
1o2n,Ki,6.0900,7.5175
1o2o,Ki,6.3600,7.1945
1o2p,Ki,4.8500,7.4124
1o2q,Ki,7.6800,7.4041
1o2r,Ki,5.2100,7.6908
1o2s,Ki,5.4700,6.2193
1o2t,Ki,7.8500,6.9324
1o2z,Ki,6.1100,7.1850
1o30,Ki,6.7700,7.2279
1o32,Ki,5.7400,5.5998
1o33,Ki,5.7400,6.1543
1o34,Ki,5.7400,6.0913
1o35,Ki,5.0000,6.2968
1o36,Ki,5.9600,7.0463
1o38,Ki,6.8200,7.1627
1o39,Ki,7.1300,6.8848
1o3b,Ki,7.1300,6.8071
1o3c,Ki,7.1300,6.8223
1o3d,Ki,7.1300,6.8844
1o3e,Ki,7.9600,6.8697
1o3f,Ki,7.9600,6.6735
1o3p,Ki,6.6600,7.1409
1o5a,Ki,6.4200,7.1375
1o5c,Ki,5.2200,7.6234
1o5e,Ki,5.7400,7.3389
1o5f,Ki,6.0700,7.0537
1o5g,Ki,4.9600,7.7102
1odi,Kd,4.2100,6.8847
1odj,Kd,4.1000,6.8718
1ow4,Kd,5.6800,6.2377
1owe,Ki,6.2000,6.2186
1owh,Ki,7.4000,6.3363
1owi,Ki,7.5500,6.8384
1owj,Ki,7.3200,6.9094
1owk,Ki,7.6300,6.8516
1oyq,Ki,6.9600,7.3906
1oyt,Ki,7.2400,7.8395
1oz0,Kd,7.7000,7.8856
1p1n,Kd,6.8000,5.3340
1p1o,Kd,5.7600,5.9517
1p1q,Kd,4.8900,6.0470
1p4r,Ki,8.1000,6.5566
1p57,Ki,4.4000,6.1478
1pf8,Ki,7.5100,6.2465
1pkx,Ki,6.9200,5.8426
1pl0,Ki,8.2200,6.2862
1pr1,Ki,5.3000,6.9000
1pr5,Ki,3.9200,6.8738
1pxm,Ki,7.2200,7.3690
1pxn,Ki,7.1500,7.3226
1pxp,Ki,6.6600,7.3311
1q4l,Kd,7.4000,5.8351
1q72,Kd,6.8500,5.3169
1q8t,Kd,4.7600,6.1458
1q8u,Kd,5.9600,6.7881
1q8w,Kd,5.2400,6.5700
1qbo,Ki,7.7400,7.3665
1qyg,Kd,6.8500,5.6282
1sb1,Ki,6.8900,7.9887
1sqo,Ki,7.4600,6.4033
1sqt,Ki,6.2000,6.6529
1syh,Ki,6.4100,6.5296
1syi,Ki,5.4400,6.9028
1syo,Kd,9.0000,4.1105
1sz0,Kd,9.0000,3.9228
1thz,Ki,5.1500,6.0664
1tvo,Ki,6.8500,7.4245
1tx7,Ki,4.6000,5.0256
1u6q,Ki,5.8800,6.5928
1ua4,Ki,4.2200,6.3016
1utn,Kd,3.4900,3.6671
1uto,Kd,2.2700,3.8446
1v2k,Ki,6.1900,7.0525
1v2n,Ki,5.9000,6.6460
1v2o,Ki,4.7300,5.4615
1v2p,Ki,4.7300,5.9061
1v2q,Ki,4.1300,5.4702
1v2r,Ki,3.5500,5.5987
1v2t,Ki,4.7100,5.4820
1v2w,Ki,4.0100,5.3796
1vjd,Kd,3.5400,5.5719
1wvj,Ki,6.7300,6.4813
1xa5,Kd,6.5000,9.3281
1xbb,Ki,5.3000,8.0299
1xhy,Ki,6.1800,5.1315
1xk9,Ki,6.8500,5.7070
1xkk,Ki,8.5200,10.2760
1xws,Kd,8.0000,6.8697
1xxh,Kd,6.1100,6.7770
1xxi,Kd,5.5200,6.0101
1y3v,Ki,5.6400,7.1116
1y3w,Ki,5.7700,7.0072
1y3x,Ki,5.1400,6.9120
1ydr,Ki,5.5200,6.8852
1yds,Ki,5.9200,6.9963
1yp9,Ki,5.1100,7.2794
1ype,Ki,8.1000,8.5422
1ypg,Ki,8.0000,8.4577
1ypj,Ki,7.0200,8.3923
1z6e,Ki,9.7200,9.1429
2al5,Ki,8.4000,5.9730
2b1g,Ki,6.6400,5.0207
2b1i,Ki,6.8200,6.1327
2bal,Kd,6.3100,6.5812
2br1,Ki,5.1400,7.4806
2brb,Ki,4.8600,7.1997
2brm,Ki,5.8900,7.1568
2byp,Kd,9.0600,6.3581
2byr,Kd,8.5500,7.2662
2bys,Kd,9.5200,6.4750
2bza,Ki,2.8000,4.0865
2c3i,Kd,7.6000,6.7089
2c3j,Ki,6.1800,5.7682
2c3k,Ki,7.5900,8.5139
2c3l,Ki,5.0700,6.7488
2c6o,Ki,8.2200,8.0056
2cbj,Ki,8.2700,6.0893
2cji,Ki,8.2200,7.1595
2clx,Ki,4.8800,6.4060
2cvd,Kd,6.1000,6.4734
2d0k,Kd,5.0200,6.2877
2e2p,Ki,4.7400,4.8471
2epn,Ki,7.2200,5.8212
2esm,Ki,6.2800,7.7122
2etk,Ki,6.8200,7.3919
2etr,Ki,6.8200,6.7824
2fb8,Kd,9.8000,7.3985
2fdp,Ki,7.5900,7.6553
2fpz,Ki,3.9600,4.6256
2fvd,Ki,8.5200,7.9116
2fx6,Ki,3.7000,4.8638
2fzz,Ki,10.5200,9.1922
2g00,Ki,9.7400,8.6807
2gl0,Kd,4.8200,5.3330
2h13,Kd,5.3500,4.8196
2ito,Kd,6.9100,7.3915
2itt,Kd,8.7700,7.6549
2ity,Kd,7.2700,7.2914
2itz,Kd,8.5900,7.5779
2j27,Ki,3.5200,3.9152
2j2u,Ki,7.3300,7.6155
2j34,Ki,7.8200,6.8510
2j4i,Ki,9.0000,7.9876
2j62,Ki,11.3400,7.8580
2j94,Ki,6.2700,7.1259
2j95,Ki,8.4000,7.1348
2jds,Ki,8.2000,8.3479
2jdv,Ki,8.2000,9.5052
2jh0,Ki,8.7000,7.1899
2jh5,Ki,6.4400,6.9682
2jh6,Ki,7.7700,6.9477
2jkh,Ki,8.0500,7.5459
2ohl,Kd,3.0500,4.5638
2ojg,Ki,5.6400,6.4820
2oji,Ki,7.0700,7.1214
2ojj,Ki,8.7000,7.6612
2oxn,Ki,7.4400,5.7296
2p16,Ki,10.1000,8.1067
2p4j,Ki,8.9600,7.8495
2p93,Ki,8.8200,6.6792
2p94,Ki,9.1700,8.1321
2p95,Ki,9.3700,7.2678
2pgz,Kd,5.7400,5.6335
2psx,Ki,5.7700,5.5938
2qmg,Ki,9.1500,8.1027
2qrk,Ki,4.2600,4.5691
2qrl,Ki,4.0000,3.7450
2r2m,Ki,7.3300,7.5432
2r2w,Ki,4.4700,6.1183
2r5b,Kd,8.6000,6.3029
2r5d,Kd,10.1500,6.4931
2rcb,Kd,6.7900,5.0127
2rin,Kd,4.0000,7.8682
2uwd,Kd,8.3500,7.0909
2uwl,Ki,8.4000,6.5562
