split,split_index,family,pocket_rel,ligand_rel,vina_stage,vina_energy
test,61,PA2B8_DABRR_1_121_0,PA2B8_DABRR_1_121_0/2gns_A_rec_4qer_stl_lig_tt_min_0_pocket10.pdb,PA2B8_DABRR_1_121_0/2gns_A_rec_4qer_stl_lig_tt_min_0.sdf,dock,2.048
test,92,CHIB_SERMA_1_499_0,CHIB_SERMA_1_499_0/4z2g_A_rec_4z2g_m6v_lig_tt_docked_16_pocket10.pdb,CHIB_SERMA_1_499_0/4z2g_A_rec_4z2g_m6v_lig_tt_docked_16.sdf,minimize,2.015
test,92,CHIB_SERMA_1_499_0,CHIB_SERMA_1_499_0/4z2g_A_rec_4z2g_m6v_lig_tt_docked_16_pocket10.pdb,CHIB_SERMA_1_499_0/4z2g_A_rec_4z2g_m6v_lig_tt_docked_16.sdf,score_only,52.319
test,58,NPD_THEMA_1_246_0,NPD_THEMA_1_246_0/3pdh_A_rec_4buz_ocz_lig_tt_min_0_pocket10.pdb,NPD_THEMA_1_246_0/3pdh_A_rec_4buz_ocz_lig_tt_min_0.sdf,score_only,7.243
test,91,CHIB_SERMA_1_499_0,CHIB_SERMA_1_499_0/1h0i_A_rec_1e6z_ngo_lig_it2_tt_docked_15_pocket10.pdb,CHIB_SERMA_1_499_0/1h0i_A_rec_1e6z_ngo_lig_it2_tt_docked_15.sdf,score_only,3.256
test,87,CDK6_HUMAN_1_312_0,CDK6_HUMAN_1_312_0/4aua_A_rec_4aua_4au_lig_it2_tt_docked_7_pocket10.pdb,CDK6_HUMAN_1_312_0/4aua_A_rec_4aua_4au_lig_it2_tt_docked_7.sdf,score_only,0.8
train,11437,PPARD_HUMAN_169_441_0,PPARD_HUMAN_169_441_0/5u3z_A_rec_5u3q_7uj_lig_tt_docked_0_pocket10.pdb,PPARD_HUMAN_169_441_0/5u3z_A_rec_5u3q_7uj_lig_tt_docked_0.sdf,minimize,46.688
train,96674,TTHY_HUMAN_21_147_0,TTHY_HUMAN_21_147_0/3p3s_A_rec_5e4a_5jw_lig_tt_min_0_pocket10.pdb,TTHY_HUMAN_21_147_0/3p3s_A_rec_5e4a_5jw_lig_tt_min_0.sdf,minimize,14.959
train,55412,TTHY_HUMAN_21_147_0,TTHY_HUMAN_21_147_0/3p3s_A_rec_3gs4_7bd_lig_tt_docked_14_pocket10.pdb,TTHY_HUMAN_21_147_0/3p3s_A_rec_3gs4_7bd_lig_tt_docked_14.sdf,minimize,11.326
train,25172,GYRB_STAAU_6_233_0,GYRB_STAAU_6_233_0/5cty_B_rec_5d7r_57y_lig_tt_min_0_pocket10.pdb,GYRB_STAAU_6_233_0/5cty_B_rec_5d7r_57y_lig_tt_min_0.sdf,minimize,8.349
train,89171,JAK2_HUMAN_834_1132_0,JAK2_HUMAN_834_1132_0/3e63_A_rec_3tjc_0tp_lig_it1_it2_tt_docked_4_pocket10.pdb,JAK2_HUMAN_834_1132_0/3e63_A_rec_3tjc_0tp_lig_it1_it2_tt_docked_4.sdf,minimize,4.501
train,90738,GYRB_ECOLI_7_220_0,GYRB_ECOLI_7_220_0/4pu9_A_rec_1ei1_anp_lig_tt_docked_0_pocket10.pdb,GYRB_ECOLI_7_220_0/4pu9_A_rec_1ei1_anp_lig_tt_docked_0.sdf,minimize,4.373
train,65223,TTHY_HUMAN_21_147_0,TTHY_HUMAN_21_147_0/3p3s_A_rec_1u21_p2c_lig_tt_docked_4_pocket10.pdb,TTHY_HUMAN_21_147_0/3p3s_A_rec_1u21_p2c_lig_tt_docked_4.sdf,minimize,2.141
train,63305,HYES_HUMAN_230_551_0,HYES_HUMAN_230_551_0/5alf_A_rec_4y2q_49n_lig_tt_min_0_pocket10.pdb,HYES_HUMAN_230_551_0/5alf_A_rec_4y2q_49n_lig_tt_min_0.sdf,minimize,1.201
train,1394,FPPS_HUMAN_69_419_catalytic_0,FPPS_HUMAN_69_419_catalytic_0/3cp6_A_rec_4qpf_39l_lig_tt_docked_1_pocket10.pdb,FPPS_HUMAN_69_419_catalytic_0/3cp6_A_rec_4qpf_39l_lig_tt_docked_1.sdf,minimize,0.873
