rank,target,n_mols_ours,n_mols_voxbind,reference,voxbind_mean,ours_mean
1,target_04,99,100,-8.802,-12.760,-12.914
2,target_72,100,100,-15.980,-12.218,-12.467
3,target_70,100,100,-12.105,-11.182,-12.452
4,target_56,99,100,-3.446,-10.365,-12.005
5,target_80,98,100,-14.655,-11.244,-11.780
6,target_73,100,99,-12.323,-10.939,-11.524
7,target_92,100,100,-9.090,-10.211,-11.508
8,target_33,99,100,-5.699,-10.495,-11.479
9,target_79,100,100,-9.336,-9.526,-11.442
10,target_39,99,97,-6.577,-11.581,-11.367
11,target_31,100,100,-6.053,-8.647,-11.319
12,target_85,99,100,-8.235,-8.678,-11.099
13,target_55,99,100,-3.127,-9.490,-10.770
14,target_44,100,100,-9.319,-8.558,-10.754
15,target_49,100,100,-12.003,-10.206,-10.702
16,target_22,99,100,-9.898,-8.023,-10.478
17,target_93,100,100,-7.767,-8.787,-10.412
18,target_57,99,100,-6.772,-7.977,-10.392
19,target_08,99,100,-5.495,-8.923,-10.390
20,target_12,100,100,-9.500,-8.818,-10.308
21,target_17,100,100,-7.832,-8.544,-10.269
22,target_98,100,100,-9.215,-9.818,-10.268
23,target_68,100,100,-8.122,-9.369,-10.238
24,target_24,100,100,-9.904,-8.934,-9.984
25,target_45,100,99,-6.877,-9.356,-9.958
26,target_74,99,100,-9.195,-9.473,-9.906
27,target_65,100,100,-4.071,-7.317,-9.864
28,target_07,100,100,-9.441,-9.095,-9.493
29,target_11,98,100,-9.386,-9.793,-9.464
30,target_81,100,100,-9.459,-9.466,-9.443
31,target_36,100,100,-8.995,-9.672,-9.379
32,target_19,100,100,-9.598,-8.922,-9.147
33,target_02,99,100,-6.910,-8.658,-9.146
34,target_87,100,100,-7.594,-8.436,-9.090
35,target_51,99,100,-8.406,-9.344,-9.042
36,target_37,99,100,-6.991,-8.192,-9.021
37,target_10,100,100,-8.522,-9.283,-8.992
38,target_27,100,100,-4.326,-9.120,-8.938
39,target_60,100,100,-10.008,-8.303,-8.848
40,target_41,99,99,-8.088,-8.467,-8.780
41,target_88,100,100,-8.457,-8.160,-8.738
42,target_82,99,99,-9.570,-8.790,-8.735
43,target_76,99,100,-9.100,-8.331,-8.525
44,target_83,98,99,-9.309,-8.506,-8.191
45,target_03,99,100,-7.447,-7.293,-8.132
46,target_16,100,99,-7.003,-6.940,-8.074
47,target_48,100,100,-7.329,-7.460,-8.032
48,target_46,99,100,-8.631,-7.343,-7.731
49,target_25,100,100,-7.712,-8.685,-7.723
50,target_34,100,100,-6.278,-6.938,-7.498
51,target_09,100,99,-5.216,-7.245,-7.393
52,target_23,100,100,-6.700,-7.301,-7.239
53,target_05,100,100,-6.258,-5.960,-7.125
54,target_95,100,100,-6.999,-7.165,-7.013
55,target_47,99,100,-7.203,-7.126,-6.945
56,target_29,100,100,-5.918,-6.645,-6.915
57,target_77,100,99,-4.341,-8.065,-6.841
58,target_28,100,100,-5.009,-6.184,-6.841
59,target_63,100,100,-6.784,-5.152,-6.822
60,target_69,100,100,-5.434,-6.852,-6.633
61,target_40,100,100,-5.867,-7.232,-6.623
62,target_78,100,100,-5.154,-5.276,-6.601
63,target_62,100,100,-6.665,-6.769,-6.573
64,target_91,99,99,-5.736,-6.203,-6.513
65,target_30,100,100,-7.146,-6.391,-6.505
66,target_15,100,100,-4.639,-7.212,-6.348
67,target_18,100,100,-6.780,-6.809,-6.236
68,target_99,100,100,-5.977,-6.114,-5.777
69,target_58,100,100,-4.553,-5.654,-5.765
70,target_64,100,100,-6.732,-5.806,-5.761
71,target_71,99,100,-5.288,-4.656,-5.745
72,target_38,100,100,-4.880,-4.487,-5.245
73,target_66,100,100,-4.462,-4.794,-5.196
74,target_50,100,100,-5.149,-5.174,-5.118
75,target_43,100,100,-4.846,-5.744,-5.067
76,target_14,100,100,-3.907,-5.107,-4.623
77,target_89,100,100,-4.593,-4.927,-3.772
78,target_90,100,100,-2.744,-4.249,-3.724
79,target_96,100,99,-3.450,-2.989,-3.428
