rank,target,n_mols_ours,n_mols_voxbind,reference,voxbind_median,ours_median
1,target_04,99,100,-8.802,-12.488,-13.072
2,target_70,100,100,-12.105,-11.179,-12.397
3,target_72,100,100,-15.980,-12.516,-12.363
4,target_56,99,100,-3.446,-10.708,-12.132
5,target_80,98,100,-14.655,-11.345,-11.655
6,target_79,100,100,-9.336,-9.433,-11.572
7,target_39,99,97,-6.577,-11.337,-11.465
8,target_92,100,100,-9.090,-10.092,-11.446
9,target_73,100,99,-12.323,-11.115,-11.421
10,target_55,99,100,-3.127,-10.533,-11.154
11,target_31,100,100,-6.053,-8.745,-11.119
12,target_33,99,100,-5.699,-10.020,-10.914
13,target_44,100,100,-9.319,-8.253,-10.674
14,target_49,100,100,-12.003,-10.296,-10.648
15,target_85,99,100,-8.235,-8.942,-10.625
16,target_22,99,100,-9.898,-7.854,-10.431
17,target_17,100,100,-7.832,-8.357,-10.419
18,target_12,100,100,-9.500,-9.095,-10.353
19,target_57,99,100,-6.772,-7.771,-10.339
20,target_98,100,100,-9.215,-9.905,-10.233
21,target_93,100,100,-7.767,-8.523,-10.073
22,target_74,99,100,-9.195,-9.650,-10.022
23,target_68,100,100,-8.122,-9.251,-10.011
24,target_08,99,100,-5.495,-9.056,-9.924
25,target_24,100,100,-9.904,-9.415,-9.918
26,target_45,100,99,-6.877,-9.472,-9.889
27,target_65,100,100,-4.071,-7.911,-9.587
28,target_81,100,100,-9.459,-9.664,-9.544
29,target_07,100,100,-9.441,-9.109,-9.466
30,target_36,100,100,-8.995,-9.556,-9.425
31,target_11,98,100,-9.386,-9.765,-9.303
32,target_87,100,100,-7.594,-8.550,-9.295
33,target_19,100,100,-9.598,-9.201,-9.240
34,target_51,99,100,-8.406,-9.431,-9.047
35,target_27,100,100,-4.326,-9.526,-9.042
36,target_02,99,100,-6.910,-8.594,-9.030
37,target_10,100,100,-8.522,-9.335,-8.947
38,target_37,99,100,-6.991,-8.304,-8.937
39,target_76,99,100,-9.100,-8.814,-8.868
40,target_82,99,99,-9.570,-8.665,-8.796
41,target_88,100,100,-8.457,-8.406,-8.779
42,target_60,100,100,-10.008,-8.165,-8.729
43,target_41,99,99,-8.088,-8.656,-8.683
44,target_03,99,100,-7.447,-7.575,-8.513
45,target_83,98,99,-9.309,-8.301,-8.368
46,target_16,100,99,-7.003,-7.782,-8.213
47,target_48,100,100,-7.329,-7.506,-7.872
48,target_46,99,100,-8.631,-7.509,-7.710
49,target_25,100,100,-7.712,-8.599,-7.652
50,target_34,100,100,-6.278,-6.989,-7.512
51,target_77,100,99,-4.341,-8.609,-7.219
52,target_23,100,100,-6.700,-7.653,-7.166
53,target_09,100,99,-5.216,-6.875,-7.162
54,target_05,100,100,-6.258,-6.221,-6.991
55,target_63,100,100,-6.784,-6.973,-6.976
56,target_95,100,100,-6.999,-7.444,-6.921
57,target_29,100,100,-5.918,-6.639,-6.913
58,target_47,99,100,-7.203,-7.168,-6.896
59,target_28,100,100,-5.009,-5.832,-6.834
60,target_78,100,100,-5.154,-5.319,-6.800
61,target_69,100,100,-5.434,-6.608,-6.714
62,target_30,100,100,-7.146,-6.190,-6.607
63,target_62,100,100,-6.665,-6.545,-6.590
64,target_40,100,100,-5.867,-7.023,-6.574
65,target_91,99,99,-5.736,-5.934,-6.324
66,target_18,100,100,-6.780,-6.650,-6.239
67,target_38,100,100,-4.880,-6.398,-6.173
68,target_15,100,100,-4.639,-7.780,-5.941
69,target_71,99,100,-5.288,-4.554,-5.932
70,target_58,100,100,-4.553,-5.876,-5.873
71,target_99,100,100,-5.977,-5.954,-5.759
72,target_64,100,100,-6.732,-5.749,-5.734
73,target_66,100,100,-4.462,-4.725,-5.141
74,target_50,100,100,-5.149,-4.820,-5.106
75,target_43,100,100,-4.846,-5.346,-5.089
76,target_14,100,100,-3.907,-4.934,-4.498
77,target_89,100,100,-4.593,-4.663,-3.991
78,target_90,100,100,-2.744,-4.264,-3.766
79,target_96,100,99,-3.450,-3.650,-3.426
