rank,target,n_mols_ours,n_mols_voxbind,reference,voxbind_mean,ours_mean
1,target_04,99,100,-8.650,-12.048,-12.403
2,target_72,100,100,-15.570,-11.865,-12.165
3,target_70,100,100,-10.857,-10.564,-11.879
4,target_73,100,99,-12.195,-10.520,-11.193
5,target_31,100,100,-6.071,-8.351,-10.920
6,target_79,100,100,-7.698,-8.761,-10.912
7,target_39,99,97,-5.746,-11.107,-10.857
8,target_80,98,100,-14.210,-10.410,-10.854
9,target_85,99,100,-8.366,-8.112,-10.671
10,target_33,99,100,-3.897,-8.836,-10.483
11,target_44,100,100,-8.810,-8.045,-10.286
12,target_49,100,100,-12.191,-9.726,-10.182
13,target_92,100,100,-8.013,-9.066,-10.043
14,target_22,99,100,-9.716,-7.504,-10.016
15,target_08,99,100,-4.388,-8.269,-9.887
16,target_12,100,100,-9.478,-8.206,-9.803
17,target_98,100,100,-9.122,-9.320,-9.799
18,target_17,100,100,-7.030,-7.903,-9.787
19,target_68,100,100,-6.673,-8.872,-9.725
20,target_55,99,100,-2.667,-8.972,-9.650
21,target_24,100,100,-9.879,-8.359,-9.368
22,target_93,100,100,-6.782,-7.415,-9.323
23,target_45,100,99,-5.346,-8.815,-9.159
24,target_65,100,100,-2.740,-6.141,-9.020
25,target_11,98,100,-8.791,-9.464,-9.018
26,target_07,100,100,-9.120,-8.478,-8.982
27,target_81,100,100,-9.377,-8.492,-8.653
28,target_56,99,100,-3.216,-8.475,-8.635
29,target_87,100,100,-5.939,-7.920,-8.606
30,target_02,99,100,-6.421,-8.071,-8.590
31,target_10,100,100,-9.057,-8.511,-8.367
32,target_57,99,100,-5.101,-6.309,-8.363
33,target_83,98,99,-8.893,-7.807,-8.344
34,target_36,100,100,-8.776,-8.586,-8.322
35,target_51,99,100,-7.516,-8.608,-8.289
36,target_27,100,100,-3.864,-8.642,-8.273
37,target_88,100,100,-7.819,-7.663,-8.262
38,target_41,99,99,-7.951,-7.817,-8.258
39,target_19,100,100,-9.505,-8.099,-8.231
40,target_37,99,100,-5.647,-7.043,-8.215
41,target_60,100,100,-9.787,-7.825,-8.189
42,target_82,99,99,-9.291,-8.152,-8.048
43,target_76,99,100,-8.856,-8.280,-8.027
44,target_48,100,100,-7.170,-6.354,-7.390
45,target_46,99,100,-8.431,-6.681,-7.352
46,target_25,100,100,-7.694,-7.899,-7.290
47,target_03,99,100,-5.965,-6.091,-7.269
48,target_16,100,99,-5.062,-6.386,-6.961
49,target_34,100,100,-5.294,-6.208,-6.925
50,target_23,100,100,-5.851,-6.879,-6.805
51,target_09,100,99,-4.950,-6.318,-6.734
52,target_95,100,100,-6.487,-6.767,-6.591
53,target_47,99,100,-7.371,-6.530,-6.227
54,target_62,100,100,-6.634,-6.388,-6.187
55,target_77,100,99,-3.740,-7.294,-6.182
56,target_40,100,100,-4.754,-6.682,-6.171
57,target_69,100,100,-4.144,-6.228,-6.090
58,target_29,100,100,-5.377,-5.697,-6.088
59,target_28,100,100,-4.284,-5.435,-5.921
60,target_15,100,100,-4.023,-6.775,-5.908
61,target_91,99,99,-5.636,-5.846,-5.784
62,target_78,100,100,-4.514,-4.227,-5.588
63,target_30,100,100,-6.770,-5.468,-5.529
64,target_05,100,100,-4.914,-4.601,-5.407
65,target_99,100,100,-5.382,-5.559,-5.283
66,target_64,100,100,-6.152,-5.359,-5.215
67,target_18,100,100,-5.782,-6.027,-5.085
68,target_63,100,100,-4.749,-5.082,-5.036
69,target_71,99,100,-3.463,-3.949,-4.929
70,target_43,100,100,-4.228,-5.420,-4.682
71,target_66,100,100,-3.325,-4.048,-4.276
72,target_50,100,100,-4.101,-4.432,-4.274
73,target_14,100,100,-2.816,-4.184,-4.050
74,target_74,99,100,-8.384,-3.088,-3.908
75,target_38,100,100,-3.452,-4.180,-3.841
76,target_89,100,100,-4.274,-4.548,-3.620
77,target_90,100,100,-2.482,-3.701,-3.215
78,target_96,100,99,-2.644,-2.617,-2.372
79,target_58,100,100,-4.535,1.556,-1.636
