rank,target,n_mols_ours,n_mols_voxbind,reference,voxbind_median,ours_median
1,target_72,100,100,-15.648,-11.918,-11.653
2,target_04,99,100,-8.647,-11.450,-11.531
3,target_70,100,100,-10.889,-10.238,-11.398
4,target_73,100,99,-12.255,-10.506,-10.937
5,target_79,100,100,-7.759,-8.396,-10.630
6,target_31,100,100,-6.104,-8.111,-10.483
7,target_80,98,100,-13.992,-10.062,-10.457
8,target_39,99,97,-5.782,-10.634,-10.306
9,target_85,99,100,-8.340,-7.621,-10.100
10,target_44,100,100,-8.879,-7.499,-9.990
11,target_17,100,100,-7.029,-7.516,-9.482
12,target_22,99,100,-9.760,-6.593,-9.440
13,target_92,100,100,-7.754,-8.503,-9.349
14,target_49,100,100,-12.163,-9.215,-9.320
15,target_98,100,100,-9.157,-9.250,-9.148
16,target_12,100,100,-9.438,-8.078,-9.111
17,target_68,100,100,-6.790,-8.451,-9.102
18,target_33,99,100,-3.906,-7.995,-9.078
19,target_55,99,100,-2.712,-7.943,-8.912
20,target_24,100,100,-9.929,-8.314,-8.906
21,target_45,100,99,-5.393,-8.482,-8.665
22,target_08,99,100,-4.401,-8.280,-8.617
23,target_93,100,100,-6.812,-6.679,-8.532
24,target_11,98,100,-8.828,-9.240,-8.511
25,target_81,100,100,-9.381,-8.145,-8.502
26,target_07,100,100,-9.228,-8.037,-8.307
27,target_65,100,100,-2.443,-6.127,-8.277
28,target_87,100,100,0.736,-7.784,-8.152
29,target_02,99,100,-6.532,-7.768,-8.143
30,target_36,100,100,-8.520,-8.057,-8.101
31,target_10,100,100,-9.122,-8.311,-8.052
32,target_76,99,100,-8.889,-8.090,-8.040
33,target_41,99,99,-8.067,-7.637,-7.970
34,target_51,99,100,-7.477,-8.009,-7.942
35,target_88,100,100,-7.952,-7.583,-7.870
36,target_27,100,100,-3.861,-8.764,-7.851
37,target_82,99,99,-9.153,-7.795,-7.841
38,target_19,100,100,-9.399,-7.623,-7.746
39,target_37,99,100,-5.525,-6.803,-7.662
40,target_83,98,99,-8.784,-7.206,-7.648
41,target_60,100,100,-9.810,-7.389,-7.633
42,target_57,99,100,-5.065,-5.890,-7.535
43,target_03,99,100,-5.947,-5.973,-7.148
44,target_46,99,100,-8.578,-6.829,-7.142
45,target_48,100,100,-7.294,-6.306,-7.033
46,target_25,100,100,-7.770,-6.858,-6.893
47,target_34,100,100,-5.278,-5.663,-6.436
48,target_23,100,100,-5.891,-7.094,-6.315
49,target_09,100,99,-5.032,-5.778,-6.272
50,target_95,100,100,-6.463,-6.787,-6.173
51,target_56,99,100,-3.213,-6.000,-6.130
52,target_47,99,100,-7.441,-6.342,-6.025
53,target_62,100,100,-6.462,-6.181,-5.899
54,target_40,100,100,-4.810,-6.432,-5.831
55,target_16,100,99,-5.080,-5.676,-5.799
56,target_77,100,99,-3.740,-6.933,-5.756
57,target_69,100,100,-4.114,-5.874,-5.708
58,target_29,100,100,-5.492,-5.402,-5.688
59,target_28,100,100,-4.312,-4.970,-5.544
60,target_15,100,100,-4.033,-6.780,-5.313
61,target_30,100,100,-6.737,-5.152,-5.085
62,target_91,99,99,3.129,-5.357,-5.023
63,target_78,100,100,-4.585,-4.150,-4.916
64,target_64,100,100,-6.207,-5.171,-4.890
65,target_99,100,100,-5.452,-5.056,-4.886
66,target_05,100,100,-4.863,-4.404,-4.780
67,target_63,100,100,-3.083,-4.616,-4.639
68,target_71,99,100,-3.281,-3.406,-4.537
69,target_18,100,100,-5.741,-5.419,-4.502
70,target_43,100,100,-4.231,-4.782,-4.087
71,target_50,100,100,-4.074,-4.186,-4.053
72,target_66,100,100,-3.237,-3.719,-3.929
73,target_14,100,100,-2.828,-3.808,-3.812
74,target_38,100,100,-3.551,-3.269,-3.395
75,target_89,100,100,-4.115,-4.185,-3.333
76,target_90,100,100,-2.492,-3.502,-2.933
77,target_96,100,99,-2.730,-2.129,-1.732
78,target_58,100,100,7.250,13.446,5.954
79,target_74,99,100,-2.222,8.852,17.585
