binning,arm,fragment_size_bin,n,min,q25,median,mean,q75,max
fine,AR,2,7690,0.0,0.0131,0.0242,0.0306,0.0427,0.4532
fine,AR,3,3701,0.0044,0.0489,0.0709,0.0841,0.1026,0.5474
fine,AR,4,712,0.0372,0.1075,0.1405,0.1642,0.1929,0.6528
fine,AR,5,489,0.0477,0.1185,0.158,0.1773,0.2206,0.6185
fine,AR,6,1783,0.0446,0.1439,0.1855,0.204,0.25,0.6712
fine,AR,7,1325,0.0851,0.1975,0.257,0.2843,0.3487,0.8265
fine,AR,8,990,0.0978,0.2352,0.3215,0.3458,0.4125,1.0283
fine,AR,9,580,0.1178,0.2185,0.332,0.3719,0.4803,1.2286
fine,AR,10,918,0.0862,0.244,0.2984,0.3575,0.4262,1.1195
fine,AR,11,780,0.1445,0.3055,0.4039,0.4256,0.5053,1.4511
fine,AR,12,449,0.1915,0.3575,0.4366,0.4975,0.5698,1.6465
fine,AR,13,307,0.1765,0.3506,0.4702,0.5015,0.6171,1.688
fine,AR,14,343,0.1772,0.2562,0.3554,0.418,0.5125,1.4448
fine,AR,15+,871,0.1967,0.4561,0.6071,0.6769,0.7997,2.4402
fine,Pocket2Mol,2,3705,0.0,0.0142,0.0312,0.0382,0.0568,0.2126
fine,Pocket2Mol,3,3190,0.0082,0.0411,0.0585,0.0622,0.0802,0.2202
fine,Pocket2Mol,4,296,0.0315,0.0845,0.1004,0.1046,0.1181,0.3144
fine,Pocket2Mol,5,539,0.0318,0.0927,0.1187,0.1265,0.1552,0.3447
fine,Pocket2Mol,6,1701,0.0203,0.0737,0.0936,0.1085,0.1249,0.4341
fine,Pocket2Mol,7,1383,0.0369,0.0748,0.0973,0.1185,0.1316,0.5062
fine,Pocket2Mol,8,801,0.0453,0.0856,0.1069,0.1453,0.1589,0.7934
fine,Pocket2Mol,9,652,0.0514,0.1029,0.143,0.1741,0.2062,1.075
fine,Pocket2Mol,10,779,0.0504,0.1158,0.1484,0.1708,0.2015,0.7358
fine,Pocket2Mol,11,697,0.0571,0.1191,0.1506,0.1795,0.2124,0.7847
fine,Pocket2Mol,12,546,0.0582,0.1302,0.169,0.2045,0.2458,0.9874
fine,Pocket2Mol,13,414,0.065,0.1434,0.1989,0.2297,0.28,0.7232
fine,Pocket2Mol,14,324,0.0764,0.1614,0.2229,0.2524,0.3139,0.7434
fine,Pocket2Mol,15+,2591,0.082,0.2364,0.3481,0.4097,0.5264,1.9245
fine,DiffSBDD,2,11927,0.0,0.0113,0.025,0.0396,0.0504,0.5258
fine,DiffSBDD,3,5667,0.003,0.0428,0.0657,0.082,0.1023,0.9003
fine,DiffSBDD,4,1402,0.0124,0.0907,0.13,0.1561,0.194,0.6348
fine,DiffSBDD,5,1170,0.0219,0.0976,0.1693,0.1925,0.2615,0.7078
fine,DiffSBDD,6,2450,0.0172,0.0693,0.1304,0.1657,0.2298,0.8749
fine,DiffSBDD,7,1978,0.0248,0.101,0.1944,0.2227,0.3065,0.8795
fine,DiffSBDD,8,1179,0.0404,0.1497,0.2663,0.2873,0.3868,1.1134
fine,DiffSBDD,9,871,0.0408,0.177,0.3021,0.3292,0.4398,1.0562
fine,DiffSBDD,10,735,0.0395,0.1837,0.3067,0.3418,0.4634,1.3325
fine,DiffSBDD,11,574,0.0564,0.2211,0.3419,0.375,0.4898,1.2067
fine,DiffSBDD,12,411,0.0739,0.2889,0.4115,0.4343,0.5599,1.0914
fine,DiffSBDD,13,295,0.0912,0.3503,0.4718,0.5035,0.6345,1.3588
fine,DiffSBDD,14,227,0.0702,0.3555,0.5394,0.5484,0.7135,1.2239
fine,DiffSBDD,15+,784,0.1181,0.4767,0.6889,0.7324,0.9294,2.1085
fine,DecompDiff,2,8618,0.0,0.0072,0.0157,0.0228,0.0295,2.6894
fine,DecompDiff,3,4516,0.0038,0.0308,0.041,0.0494,0.0542,0.607
fine,DecompDiff,4,1155,0.0121,0.0623,0.075,0.0831,0.0887,0.6989
fine,DecompDiff,5,981,0.0139,0.0505,0.1028,0.1245,0.1924,0.5455
fine,DecompDiff,6,2164,0.0092,0.0275,0.0436,0.0975,0.1442,0.8716
fine,DecompDiff,7,1695,0.0166,0.0485,0.1244,0.1773,0.2951,0.8145
fine,DecompDiff,8,1021,0.019,0.0885,0.2328,0.2452,0.3404,0.9089
fine,DecompDiff,9,618,0.0209,0.1452,0.2813,0.2948,0.4067,0.9082
fine,DecompDiff,10,958,0.0254,0.0932,0.2609,0.2867,0.4224,1.0583
fine,DecompDiff,11,498,0.0339,0.1897,0.3425,0.3415,0.467,0.923
fine,DecompDiff,12,296,0.0517,0.2525,0.3825,0.3943,0.5199,1.2925
fine,DecompDiff,13,244,0.058,0.2736,0.4132,0.4316,0.5793,1.332
fine,DecompDiff,14,186,0.0556,0.3191,0.4491,0.472,0.5976,1.5168
fine,DecompDiff,15+,663,0.0593,0.4578,0.6195,0.6663,0.8335,1.9829
fine,FuncBind,2,8113,0.0,0.0188,0.0381,0.0487,0.065,0.6967
fine,FuncBind,3,4302,0.003,0.0505,0.0714,0.0816,0.0977,0.813
fine,FuncBind,4,306,0.0462,0.0947,0.12,0.142,0.1543,0.7712
fine,FuncBind,5,246,0.0781,0.1483,0.184,0.1862,0.2233,0.4826
fine,FuncBind,6,3314,0.0268,0.0992,0.1293,0.1457,0.186,0.6907
fine,FuncBind,7,2471,0.0455,0.1151,0.159,0.1909,0.234,0.7754
fine,FuncBind,8,1022,0.0626,0.1394,0.2131,0.2547,0.3268,0.919
fine,FuncBind,9,702,0.0866,0.1748,0.2381,0.2804,0.3438,0.9815
fine,FuncBind,10,820,0.0811,0.1624,0.2113,0.2491,0.293,0.9503
fine,FuncBind,11,459,0.0902,0.1892,0.2514,0.282,0.3539,1.0198
fine,FuncBind,12,226,0.092,0.2098,0.2837,0.3316,0.4149,0.8028
fine,FuncBind,13,182,0.0952,0.2276,0.3073,0.3201,0.3917,0.7743
fine,FuncBind,14,164,0.0915,0.2223,0.2924,0.3278,0.3968,0.9063
fine,FuncBind,15+,679,0.0815,0.2953,0.4111,0.4562,0.5602,2.738
fine,TargetDiff,2,9575,0.0,0.0099,0.0208,0.027,0.0384,0.2301
fine,TargetDiff,3,4624,0.0031,0.0365,0.0482,0.0613,0.0678,0.5279
fine,TargetDiff,4,545,0.0084,0.0522,0.0798,0.098,0.1162,0.5024
fine,TargetDiff,5,723,0.023,0.1274,0.1798,0.1795,0.2095,0.6165
fine,TargetDiff,6,2207,0.0098,0.0356,0.0844,0.1203,0.1692,0.7271
fine,TargetDiff,7,1728,0.0186,0.0678,0.1283,0.1756,0.2547,0.9355
fine,TargetDiff,8,927,0.0303,0.1159,0.2255,0.2569,0.3613,0.9576
fine,TargetDiff,9,655,0.028,0.1519,0.2764,0.3076,0.4105,1.1686
fine,TargetDiff,10,568,0.0416,0.1564,0.2705,0.3164,0.4327,1.0672
fine,TargetDiff,11,519,0.0527,0.2087,0.2951,0.3268,0.4121,1.1827
fine,TargetDiff,12,447,0.0455,0.2618,0.3811,0.4034,0.5095,1.5218
fine,TargetDiff,13,336,0.0693,0.3088,0.4233,0.4633,0.5758,1.2636
fine,TargetDiff,14,299,0.0879,0.3503,0.4708,0.4988,0.6047,1.3687
fine,TargetDiff,15+,1764,0.1067,0.4955,0.6781,0.7249,0.8959,3.6163
fine,VoxBind,2,10952,0.0,0.0061,0.0138,0.0239,0.029,0.6904
fine,VoxBind,3,4051,0.0024,0.0324,0.0451,0.0554,0.0629,0.6967
fine,VoxBind,4,567,0.012,0.0622,0.0915,0.0945,0.1125,0.5863
fine,VoxBind,5,960,0.0201,0.1087,0.1639,0.154,0.1954,0.3854
fine,VoxBind,6,6543,0.0078,0.0209,0.0291,0.0556,0.0713,0.6432
fine,VoxBind,7,2513,0.0103,0.036,0.0626,0.0946,0.1027,0.813
fine,VoxBind,8,803,0.0123,0.054,0.0912,0.1496,0.2056,0.8674
fine,VoxBind,9,1125,0.0201,0.0772,0.1032,0.1403,0.1525,0.9304
fine,VoxBind,10,1251,0.0188,0.0537,0.0866,0.1216,0.1487,0.9132
fine,VoxBind,11,690,0.0254,0.0757,0.1271,0.1619,0.2229,0.7636
fine,VoxBind,12,311,0.0405,0.0946,0.1556,0.1946,0.2629,0.8818
fine,VoxBind,13,214,0.0417,0.0979,0.1717,0.2034,0.27,0.6625
fine,VoxBind,14,217,0.0396,0.1035,0.1669,0.1997,0.2542,0.8426
fine,VoxBind,15+,897,0.0445,0.2194,0.4238,0.5244,0.7415,2.532
fine,CoDE,2,9705,0.0,0.0073,0.0166,0.0283,0.0353,0.7027
fine,CoDE,3,3676,0.0028,0.0323,0.0457,0.056,0.0663,0.6114
fine,CoDE,4,606,0.0087,0.0612,0.0936,0.095,0.1128,0.5762
fine,CoDE,5,1023,0.0086,0.1113,0.1643,0.1535,0.1935,0.6544
fine,CoDE,6,6447,0.0071,0.0253,0.035,0.0636,0.0783,0.6004
fine,CoDE,7,2763,0.0153,0.0428,0.0699,0.1028,0.1148,0.7773
fine,CoDE,8,824,0.0266,0.0687,0.1066,0.1593,0.2069,0.8427
fine,CoDE,9,901,0.0278,0.0834,0.1122,0.1468,0.1671,0.8129
fine,CoDE,10,1326,0.0176,0.0655,0.1006,0.1316,0.1729,0.6998
fine,CoDE,11,894,0.0247,0.0849,0.129,0.1662,0.2274,0.856
fine,CoDE,12,392,0.0425,0.1087,0.1788,0.2201,0.2986,1.0043
fine,CoDE,13,295,0.0429,0.1196,0.1801,0.2189,0.2733,0.812
fine,CoDE,14,319,0.0519,0.1237,0.2044,0.2296,0.2939,0.8337
fine,CoDE,15+,1247,0.0588,0.1938,0.3238,0.4059,0.5035,2.861
fine,Reference ligand,2,90,0.0,0.0028,0.0058,0.0107,0.0121,0.13
fine,Reference ligand,3,59,0.007,0.024,0.0433,0.0477,0.0586,0.1495
fine,Reference ligand,4,15,0.0488,0.0739,0.0794,0.0896,0.1006,0.1542
