arm,fragment_atoms,n,rmsd_median,rmsd_mean
TargetDiff,2,10453,0.021,0.0272
TargetDiff,3,5065,0.0485,0.0626
TargetDiff,4,660,0.0832,0.1106
TargetDiff,5,787,0.1802,0.1798
TargetDiff,6,2401,0.0848,0.1206
TargetDiff,7,1886,0.1296,0.1764
TargetDiff,8,1000,0.2309,0.2582
TargetDiff,9,700,0.2794,0.3097
TargetDiff,10,622,0.2686,0.314
TargetDiff,11,560,0.2953,0.3267
TargetDiff,12,482,0.3869,0.4086
TargetDiff,13,365,0.4206,0.4602
TargetDiff,14,326,0.4668,0.496
TargetDiff,15,247,0.5096,0.5482
TargetDiff,16,218,0.5535,0.5804
TargetDiff,17,192,0.5635,0.5992
TargetDiff,18,152,0.6036,0.6241
TargetDiff,19,140,0.635,0.681
TargetDiff,20,123,0.6405,0.6728
TargetDiff,21,118,0.6996,0.7381
TargetDiff,22,102,0.6911,0.7468
TargetDiff,23,101,0.7887,0.8157
TargetDiff,24,72,0.8316,0.8417
VoxBind,2,10952,0.0138,0.0239
VoxBind,3,4051,0.0451,0.0554
VoxBind,4,567,0.0915,0.0945
VoxBind,5,960,0.1639,0.154
VoxBind,6,6543,0.0291,0.0556
VoxBind,7,2513,0.0626,0.0946
VoxBind,8,803,0.0912,0.1496
VoxBind,9,1125,0.1032,0.1403
VoxBind,10,1251,0.0866,0.1216
VoxBind,11,690,0.1271,0.1619
VoxBind,12,311,0.1556,0.1946
VoxBind,13,214,0.1717,0.2034
VoxBind,14,217,0.1669,0.1997
VoxBind,15,130,0.1729,0.2108
VoxBind,16,79,0.1967,0.2743
VoxBind,17,62,0.3127,0.3431
VoxBind,18,63,0.2781,0.3218
VoxBind,19,60,0.2659,0.3529
VoxBind,20,61,0.3309,0.3786
VoxBind,21,43,0.3703,0.4055
VoxBind,22,41,0.3729,0.4168
VoxBind,23,29,0.448,0.5161
VoxBind,24,28,0.5815,0.6151
VoxBind + Ours,2,9705,0.0166,0.0283
VoxBind + Ours,3,3676,0.0457,0.056
VoxBind + Ours,4,606,0.0936,0.095
VoxBind + Ours,5,1023,0.1643,0.1535
VoxBind + Ours,6,6447,0.035,0.0636
VoxBind + Ours,7,2763,0.0699,0.1028
VoxBind + Ours,8,824,0.1066,0.1593
VoxBind + Ours,9,901,0.1122,0.1468
VoxBind + Ours,10,1326,0.1006,0.1316
VoxBind + Ours,11,894,0.129,0.1662
VoxBind + Ours,12,392,0.1788,0.2201
VoxBind + Ours,13,295,0.1801,0.2189
VoxBind + Ours,14,319,0.2044,0.2296
VoxBind + Ours,15,273,0.2094,0.24
VoxBind + Ours,16,155,0.2278,0.2747
VoxBind + Ours,17,119,0.2986,0.3263
VoxBind + Ours,18,124,0.283,0.3165
VoxBind + Ours,19,83,0.2914,0.3414
VoxBind + Ours,20,85,0.3498,0.377
VoxBind + Ours,21,54,0.3537,0.3967
VoxBind + Ours,22,63,0.375,0.429
VoxBind + Ours,23,29,0.505,0.4572
VoxBind + Ours,24,35,0.4307,0.4832
Reference ligand,2,90,0.0058,0.0107
Reference ligand,3,59,0.0433,0.0477
Reference ligand,4,15,0.0794,0.0896
Reference ligand,5,9,0.0664,0.0837
Reference ligand,6,33,0.0267,0.0441
Reference ligand,7,23,0.0582,0.1253
Reference ligand,8,11,0.0495,0.0554
Reference ligand,9,12,0.0641,0.1249
Reference ligand,10,16,0.0563,0.0677
Reference ligand,11,4,,
Reference ligand,12,4,,
Reference ligand,13,4,,
Reference ligand,14,2,,
Reference ligand,15,2,,
Reference ligand,16,0,,
Reference ligand,17,1,,
Reference ligand,18,1,,
Reference ligand,19,0,,
Reference ligand,20,0,,
Reference ligand,21,2,,
Reference ligand,22,2,,
Reference ligand,23,0,,
Reference ligand,24,0,,
