arm,mw_bin_lo,mw_bin_hi,n,pct
TargetDiff,0,20,0,0.0
TargetDiff,20,40,0,0.0
TargetDiff,40,60,0,0.0
TargetDiff,60,80,28,0.384
TargetDiff,80,100,126,1.729
TargetDiff,100,120,260,3.568
TargetDiff,120,140,277,3.801
TargetDiff,140,160,361,4.954
TargetDiff,160,180,475,6.518
TargetDiff,180,200,299,4.103
TargetDiff,200,220,244,3.348
TargetDiff,220,240,210,2.882
TargetDiff,240,260,281,3.856
TargetDiff,260,280,331,4.542
TargetDiff,280,300,400,5.489
TargetDiff,300,320,408,5.599
TargetDiff,320,340,405,5.558
TargetDiff,340,360,358,4.913
TargetDiff,360,380,441,6.052
TargetDiff,380,400,443,6.079
TargetDiff,400,420,376,5.16
TargetDiff,420,440,358,4.913
TargetDiff,440,460,288,3.952
TargetDiff,460,480,204,2.8
TargetDiff,480,500,178,2.443
TargetDiff,500,520,139,1.908
TargetDiff,520,540,66,0.906
TargetDiff,540,560,44,0.604
TargetDiff,560,580,55,0.755
TargetDiff,580,600,70,0.961
TargetDiff,600,620,54,0.741
TargetDiff,620,640,44,0.604
TargetDiff,640,660,20,0.274
TargetDiff,660,680,7,0.096
TargetDiff,680,700,4,0.055
TargetDiff,700,720,6,0.082
TargetDiff,720,740,1,0.014
TargetDiff,740,760,1,0.014
TargetDiff,760,780,2,0.027
TargetDiff,780,800,5,0.069
VoxBind,0,20,0,0.0
VoxBind,20,40,2,0.025
VoxBind,40,60,7,0.089
VoxBind,60,80,34,0.431
VoxBind,80,100,63,0.799
VoxBind,100,120,134,1.699
VoxBind,120,140,295,3.74
VoxBind,140,160,321,4.069
VoxBind,160,180,386,4.894
VoxBind,180,200,308,3.905
VoxBind,200,220,265,3.36
VoxBind,220,240,281,3.562
VoxBind,240,260,334,4.234
VoxBind,260,280,329,4.171
VoxBind,280,300,421,5.337
VoxBind,300,320,374,4.741
VoxBind,320,340,476,6.034
VoxBind,340,360,492,6.237
VoxBind,360,380,494,6.263
