arm,bin,n_molecules,atoms_mean,strain_median,strain_q25,strain_q75,clash_mean,clash_median,n_posebusters,pb_valid_rate
TargetDiff,≤15,2085,10.77,53.8,15.9,137.8,5.12,4.0,2085,0.8508
TargetDiff,16–20,1005,18.32,253.6,125.8,677.6,8.04,7.0,1003,0.661
TargetDiff,21–25,1455,22.95,474.1,225.9,1688.2,10.08,8.0,1448,0.5856
TargetDiff,26–30,1336,27.96,672.2,325.6,2281.6,11.95,10.0,1323,0.4649
TargetDiff,>30,1406,35.78,1204.9,542.6,3474.8,18.29,14.0,1388,0.3696
VoxBind,≤15,1788,11.03,16.1,5.1,40.1,3.91,3.0,1788,0.8496
VoxBind,16–20,1121,18.14,39.8,14.7,85.8,4.22,4.0,1121,0.7627
VoxBind,21–25,1531,23.13,58.0,27.8,141.4,5.0,4.0,1531,0.6884
VoxBind,26–30,1586,27.96,80.6,43.2,208.8,5.8,5.0,1586,0.6217
VoxBind,>30,1862,37.32,187.9,82.5,912.0,6.8,6.0,1862,0.565
VoxBind + Ours,≤15,1704,10.84,17.7,6.4,48.1,4.5,4.0,1704,0.8322
VoxBind + Ours,16–20,942,18.1,42.5,16.9,99.7,4.99,4.0,942,0.7633
VoxBind + Ours,21–25,1330,23.24,79.3,36.9,425.8,6.38,5.0,1330,0.6774
VoxBind + Ours,26–30,1601,28.01,104.4,56.9,361.1,7.4,6.0,1601,0.6159
VoxBind + Ours,>30,2296,37.01,168.3,89.0,640.2,7.84,7.0,2296,0.561
Ours v2,≤15,2401,11.11,59.1,28.4,139.9,5.06,4.0,2401,0.8101
Ours v2,16–20,1281,18.11,162.4,87.5,433.9,5.84,5.0,1281,0.7291
Ours v2,21–25,1601,23.02,247.9,134.2,914.4,7.7,7.0,1601,0.644
Ours v2,26–30,1282,27.84,304.3,174.9,754.2,8.64,7.0,1282,0.5608
Ours v2,>30,1331,36.49,505.6,286.3,1354.6,10.45,9.0,1331,0.4681
Reference ligand,≤15,24,10.92,9.6,5.0,13.6,5.0,3.0,24,0.9583
Reference ligand,16–20,12,17.75,37.1,14.3,97.3,5.58,5.0,12,0.9167
Reference ligand,21–25,10,22.5,25.5,12.8,39.6,5.2,4.0,10,1.0
Reference ligand,26–30,13,27.31,54.2,36.5,89.2,8.54,8.0,13,1.0
Reference ligand,>30,20,37.15,57.0,48.0,118.7,9.35,7.0,20,0.95
