arm,bin,n_molecules,atoms_mean,n_posebusters,pb_valid_rate,pb_valid_rate_size_standardized
AR,≤15,3677,11.13,3670,0.8444,0.8481
AR,16–20,1607,17.81,1604,0.692,0.686
AR,21–25,1287,22.79,1287,0.5781,0.5673
AR,26–30,737,27.87,737,0.3569,0.354
AR,>30,347,34.81,317,0.3281,0.299
Pocket2Mol,≤15,3939,10.87,3939,0.8322,0.8355
Pocket2Mol,16–20,1194,18.02,1194,0.758,0.7616
Pocket2Mol,21–25,731,23.02,731,0.7565,0.7553
Pocket2Mol,26–30,827,27.59,827,0.6542,0.6511
Pocket2Mol,>30,1081,36.91,1081,0.4117,0.465
DiffSBDD,≤15,2674,10.86,2665,0.7561,0.7568
DiffSBDD,16–20,1448,18.14,1439,0.6074,0.6105
DiffSBDD,21–25,1462,22.9,1461,0.4949,0.4957
DiffSBDD,26–30,1105,27.79,1105,0.3882,0.3858
DiffSBDD,>30,1031,35.6,1030,0.2835,0.2837
DecompDiff,≤15,2320,10.88,2320,0.9306,0.9256
DecompDiff,16–20,1057,17.72,1057,0.8269,0.8245
DecompDiff,21–25,834,22.46,834,0.783,0.7707
DecompDiff,26–30,1008,27.22,1008,0.749,0.7629
DecompDiff,>30,1208,36.46,1208,0.6374,0.6699
FuncBind,≤15,3164,10.84,3164,0.7133,0.7091
FuncBind,16–20,1386,17.76,1386,0.5173,0.508
FuncBind,21–25,1553,23.05,1553,0.3419,0.3442
FuncBind,26–30,1126,27.53,1126,0.3135,0.2986
FuncBind,>30,666,36.12,666,0.1411,0.1484
TargetDiff,≤15,2085,10.77,2085,0.8508,0.8428
TargetDiff,16–20,1005,18.32,1005,0.6597,0.6635
TargetDiff,21–25,1455,22.95,1455,0.5856,0.5864
TargetDiff,26–30,1336,27.96,1336,0.4656,0.4689
TargetDiff,>30,1406,35.78,1406,0.3684,0.3739
VoxBind,≤15,1788,11.03,1788,0.8496,0.8516
VoxBind,16–20,1121,18.14,1121,0.7627,0.7631
VoxBind,21–25,1531,23.13,1531,0.6884,0.6901
VoxBind,26–30,1586,27.96,1586,0.6217,0.6246
VoxBind,>30,1862,37.32,1862,0.565,0.573
CoDE,≤15,1704,10.84,1704,0.8322,0.8317
CoDE,16–20,942,18.1,942,0.7633,0.7607
CoDE,21–25,1330,23.24,1330,0.6774,0.6828
CoDE,26–30,1601,28.01,1601,0.6159,0.6184
CoDE,>30,2296,37.01,2296,0.561,0.5662
Reference ligand,≤15,24,10.92,24,0.9583,
Reference ligand,16–20,12,17.75,12,0.9167,
Reference ligand,21–25,10,22.5,10,1.0,
Reference ligand,26–30,13,27.31,13,1.0,
Reference ligand,>30,20,37.15,20,0.95,
