bin,method,n_strain,strain_median,strain_q25,strain_q75,n_clash,clash_mean,clash_median
≤15,AR,3677,144.6,66.5,330.0,3677,3.88,3.0
≤15,Pocket2Mol,3939,17.6,7.7,37.5,3939,4.46,3.0
≤15,DiffSBDD,2674,77.8,28.1,227.3,2674,5.68,3.0
≤15,DecompDiff,2302,27.3,10.0,81.5,2320,4.17,3.0
≤15,FuncBind,3164,43.1,15.1,127.6,3164,4.13,3.0
≤15,TargetDiff,2009,52.4,15.5,135.6,2010,5.51,4.0
≤15,VoxBind σ=0.9,1749,15.2,4.8,39.0,1749,4.09,3.0
≤15,Ours · v1,1659,16.5,6.1,46.0,1659,4.78,4.0
≤15,Reference ligand,24,9.6,5.0,13.6,24,,
16–20,AR,1607,408.6,199.2,1140.0,1607,5.16,3.0
16–20,Pocket2Mol,1194,61.0,32.1,110.6,1194,7.06,6.0
16–20,DiffSBDD,1448,268.8,122.5,601.7,1448,11.36,6.0
16–20,DecompDiff,1042,155.2,57.8,356.7,1057,8.7,6.0
16–20,FuncBind,1386,166.6,74.2,627.6,1386,4.51,4.0
16–20,TargetDiff,945,249.1,125.7,680.7,945,8.86,7.0
16–20,VoxBind σ=0.9,1045,39.2,14.3,89.3,1045,4.53,4.0
16–20,Ours · v1,830,41.2,16.8,102.2,834,5.19,4.0
16–20,Reference ligand,12,37.1,14.3,97.3,12,,
21–25,AR,1287,705.8,343.2,1692.5,1287,6.31,5.0
21–25,Pocket2Mol,731,92.8,50.2,168.1,731,7.28,6.0
21–25,DiffSBDD,1462,434.4,218.5,1091.2,1462,16.7,8.0
21–25,DecompDiff,806,238.4,103.1,534.3,834,8.8,7.0
21–25,FuncBind,1553,396.3,159.6,4519.7,1553,7.68,6.0
21–25,TargetDiff,1367,472.3,222.2,1721.9,1378,10.68,9.0
21–25,VoxBind σ=0.9,1427,57.9,27.6,146.7,1429,5.62,4.0
21–25,Ours · v1,1237,79.3,36.4,487.8,1249,7.15,6.0
21–25,Reference ligand,10,25.5,12.8,39.6,10,,
26–30,AR,737,1025.6,503.3,2133.2,737,7.79,6.0
26–30,Pocket2Mol,827,141.0,85.6,235.1,827,10.67,8.0
26–30,DiffSBDD,1105,637.2,325.7,1529.6,1105,18.37,12.0
26–30,DecompDiff,981,308.1,163.5,580.6,1008,12.75,10.0
26–30,FuncBind,1126,1854.9,281.3,157224.5,1126,10.96,9.0
26–30,TargetDiff,1247,668.8,319.9,2302.7,1260,12.84,11.0
26–30,VoxBind σ=0.9,1468,80.3,41.9,209.0,1471,6.91,5.0
26–30,Ours · v1,1515,102.0,54.0,380.2,1524,8.17,7.0
26–30,Reference ligand,13,54.2,36.5,89.2,13,,
>30,AR,346,1869.9,1065.6,3174.5,347,7.04,6.0
>30,Pocket2Mol,1081,225.4,142.7,416.8,1081,15.03,13.0
>30,DiffSBDD,1031,1137.4,591.6,2237.2,1031,28.48,19.0
>30,DecompDiff,1168,617.1,295.7,1613.6,1208,13.34,11.5
>30,FuncBind,666,1250.3,380.7,4341.9,666,7.03,7.0
>30,TargetDiff,1281,1190.3,532.7,3501.5,1309,19.58,15.0
>30,VoxBind σ=0.9,1779,183.7,78.7,906.9,1795,9.23,7.0
>30,Ours · v1,2199,164.5,85.7,641.7,2209,10.1,8.0
>30,Reference ligand,20,57.0,48.0,118.7,20,,
all sizes,AR,7654,326.5,128.3,963.2,7655,5.07,4.0
all sizes,Pocket2Mol,7772,46.5,15.8,131.9,7772,7.25,5.0
all sizes,DiffSBDD,7720,312.4,100.8,906.7,7720,13.69,7.0
all sizes,DecompDiff,6299,157.7,38.3,439.4,6427,8.58,7.0
all sizes,FuncBind,7895,183.8,50.8,1435.7,7895,6.11,5.0
all sizes,TargetDiff,6849,346.2,107.2,1277.6,6902,11.01,8.0
all sizes,VoxBind σ=0.9,7468,60.4,21.9,199.9,7489,6.23,5.0
all sizes,Ours · v1,7440,80.5,29.9,289.5,7475,7.48,6.0
all sizes,Reference ligand,79,34.3,10.7,72.2,79,,
