arm,heavy_atoms,n,strain_mean,strain_median,clash_mean,clash_median
TargetDiff,5,28,8.779,6.077,3.286,3.0
TargetDiff,6,120,4321.058,9.48,3.258,3.0
TargetDiff,7,108,94.505,11.014,3.713,3.0
TargetDiff,8,206,1349.469,23.488,4.286,4.0
TargetDiff,9,177,89.704,26.634,4.593,4.0
TargetDiff,10,212,129.299,45.421,4.67,4.0
TargetDiff,11,340,9972.277,59.367,5.212,4.0
TargetDiff,12,365,16105.481,75.386,5.553,5.0
TargetDiff,13,199,14988.663,95.254,6.065,5.0
TargetDiff,14,179,493.979,140.75,6.263,5.0
TargetDiff,15,150,25062.808,140.899,6.536,5.0
TargetDiff,16,136,27581.152,183.751,6.794,6.0
TargetDiff,17,177,36016.962,241.383,7.774,7.0
TargetDiff,18,194,47174.836,232.466,7.804,6.0
TargetDiff,19,229,48392.486,255.118,8.393,7.0
TargetDiff,20,269,48411.945,356.558,8.732,7.0
TargetDiff,21,336,70712.261,349.278,8.79,7.0
TargetDiff,22,218,70524.601,518.488,9.452,8.0
TargetDiff,23,362,94828.435,498.021,10.311,8.0
TargetDiff,24,235,125909.245,461.12,10.809,9.0
TargetDiff,25,294,119623.393,576.867,11.152,9.0
TargetDiff,26,134,34305.543,458.691,9.815,8.0
TargetDiff,27,415,136691.474,736.773,11.895,10.5
TargetDiff,28,369,126488.152,717.318,12.768,11.0
TargetDiff,29,181,44574.803,577.338,11.714,10.0
TargetDiff,30,222,97064.05,783.187,12.142,10.0
TargetDiff,31,300,108954.97,777.606,13.359,11.0
TargetDiff,32,180,206983.449,1110.522,15.392,13.0
TargetDiff,33,165,1849690386.425,839.059,16.06,14.0
TargetDiff,34,131,64489.994,1221.66,15.284,12.5
TargetDiff,35,89,59964.662,1425.222,18.09,14.0
TargetDiff,36,106,35580.061,1201.542,17.546,14.0
TargetDiff,37,69,410696.95,1038.739,18.761,16.0
TargetDiff,39,44,26840.264,1256.888,19.818,13.5
TargetDiff,40,34,3398.166,1623.166,20.5,15.5
TargetDiff,42,53,547109665.951,2181.147,26.271,20.0
TargetDiff,43,30,3074.985,2428.424,22.594,17.0
TargetDiff,44,73,9503.004,2119.638,24.447,18.5
VoxBind,5,32,108669.843,24.775,7.812,7.0
VoxBind,6,44,6133.226,8.157,4.591,3.0
VoxBind,7,81,10932.589,7.654,4.198,3.0
VoxBind,8,100,15848.126,12.0,4.51,4.0
VoxBind,9,168,2525.495,13.712,3.435,3.0
VoxBind,10,266,10362.992,10.131,3.256,3.0
VoxBind,11,280,13669.844,15.102,3.657,3.0
VoxBind,12,248,9117.85,17.837,4.323,4.0
VoxBind,13,213,14382.847,21.338,3.986,3.0
VoxBind,14,171,9440.964,30.231,3.512,3.0
VoxBind,15,163,5123305008.82,29.237,3.84,3.0
VoxBind,16,199,39796.892,30.801,3.824,3.0
VoxBind,17,218,8567.717,35.319,4.28,3.0
VoxBind,18,201,11447.975,42.315,4.277,4.0
VoxBind,19,229,12897.924,39.149,4.166,4.0
VoxBind,20,273,2473379656.921,47.315,4.476,4.0
VoxBind,21,258,74052.633,52.311,4.942,4.0
VoxBind,22,305,139445.104,56.295,4.899,4.0
VoxBind,23,296,44857.844,57.444,4.649,4.0
