arm,rotatable_bonds,n,strain_median,strain_mean
TargetDiff,0,776,77.002,603.848
TargetDiff,1,959,137.504,5619.89
TargetDiff,2,1007,204.828,23614.056
TargetDiff,3,955,264.578,17532.441
TargetDiff,4,792,384.459,74543.998
TargetDiff,5,700,520.434,436051739.715
TargetDiff,6,526,569.137,118501.357
TargetDiff,7,415,733.7,145678.021
TargetDiff,8,329,800.878,105437.215
TargetDiff,9,253,1138.608,246350.889
VoxBind,0,500,11.636,7024.896
VoxBind,1,915,18.853,2757.674
VoxBind,2,947,32.409,3845.71
VoxBind,3,1058,41.147,12492.503
VoxBind,4,996,56.958,558999543.086
VoxBind,5,894,76.568,84450.273
VoxBind,6,663,105.147,1259628800.796
VoxBind,7,516,108.959,78540.71
VoxBind,8,382,154.299,63436.561
VoxBind,9,230,232.737,39071.689
VoxBind + Ours,0,499,12.861,93.062
VoxBind + Ours,1,851,25.865,3522.837
VoxBind + Ours,2,905,41.897,13490.753
VoxBind + Ours,3,985,61.841,15191.416
VoxBind + Ours,4,1112,81.052,43638.292
VoxBind + Ours,5,1005,98.253,2721453277.079
VoxBind + Ours,6,749,128.76,11713097501.272
VoxBind + Ours,7,619,177.94,341802.476
VoxBind + Ours,8,412,270.766,6269558.361
VoxBind + Ours,9,238,192.824,36792052.885
AR,0,1120,130.307,48366.886
AR,1,1479,198.558,17433.264
AR,2,1300,289.291,1487426564.061
AR,3,1195,382.936,614968855.615
AR,4,882,515.189,64103810.884
AR,5,561,627.515,182134.138
AR,6,351,630.02,129234.668
AR,7,253,705.096,299222.019
AR,8,171,1019.194,232028.983
AR,9,121,1265.497,129062.661
Pocket2Mol,0,2583,24.853,310.339
Pocket2Mol,1,2198,34.199,95.866
Pocket2Mol,2,1275,56.32,145.802
Pocket2Mol,3,757,99.961,229.601
Pocket2Mol,4,407,134.125,249.907
Pocket2Mol,5,239,122.711,181.865
Pocket2Mol,6,134,149.501,4726.937
Pocket2Mol,7,79,179.671,7923.079
Pocket2Mol,8,36,160.735,269.134
Pocket2Mol,9,40,138.264,173.363
DiffSBDD,0,643,57.783,341.59
DiffSBDD,1,970,105.01,437.082
DiffSBDD,2,941,168.905,612.172
DiffSBDD,3,902,218.676,620.795
DiffSBDD,4,870,281.998,5378.336
DiffSBDD,5,765,378.088,996.833
DiffSBDD,6,594,409.093,1114.915
DiffSBDD,7,562,567.609,1268.895
DiffSBDD,8,462,682.565,1232.814
DiffSBDD,9,311,724.986,2157.013
DecompDiff,0,463,34.931,224.752
DecompDiff,1,764,62.563,3460.21
DecompDiff,2,927,42.276,6082.177
DecompDiff,3,826,62.871,282.186
DecompDiff,4,602,138.503,715.809
DecompDiff,5,511,215.663,6602.742
DecompDiff,6,561,245.373,1740.204
DecompDiff,7,407,284.183,14212.379
DecompDiff,8,388,340.674,8834.501
DecompDiff,9,265,347.412,6112.69
Reference ligand,0,6,12.864,38.026
Reference ligand,1,12,12.617,34.295
Reference ligand,2,8,10.722,32.079
Reference ligand,3,5,25.434,39.628
Reference ligand,4,12,24.15,63.088
Reference ligand,5,6,26.884,61.179
Reference ligand,6,11,48.125,112.767
Reference ligand,7,6,53.633,111.803
Reference ligand,8,4,56.19,146.886
Reference ligand,9,6,64.367,85.273
