rank,target,n_mols_ours,n_mols_voxbind,reference,voxbind_median,ours_median
1,target_04,99,100,-8.650,-11.656,-12.255
2,target_72,100,100,-15.570,-12.142,-12.072
3,target_70,100,100,-10.857,-10.560,-11.944
4,target_73,100,99,-12.195,-10.679,-11.191
5,target_79,100,100,-7.698,-8.537,-11.189
6,target_31,100,100,-6.071,-8.328,-10.764
7,target_39,99,97,-5.746,-11.058,-10.745
8,target_80,98,100,-14.210,-10.452,-10.715
9,target_44,100,100,-8.810,-7.692,-10.380
10,target_85,99,100,-8.366,-7.887,-10.346
11,target_56,99,100,-3.216,-9.030,-10.277
12,target_49,100,100,-12.191,-9.768,-10.169
13,target_33,99,100,-3.897,-8.671,-10.094
14,target_22,99,100,-9.716,-6.992,-10.048
15,target_55,99,100,-2.667,-9.035,-9.987
16,target_12,100,100,-9.478,-8.467,-9.886
17,target_17,100,100,-7.030,-7.738,-9.866
18,target_92,100,100,-8.013,-8.771,-9.752
19,target_98,100,100,-9.122,-9.442,-9.718
20,target_68,100,100,-6.673,-8.789,-9.572
21,target_24,100,100,-9.879,-8.595,-9.364
22,target_08,99,100,-4.388,-8.520,-9.362
23,target_45,100,99,-5.346,-8.873,-8.977
24,target_11,98,100,-8.791,-9.529,-8.911
25,target_93,100,100,-6.782,-6.917,-8.881
26,target_65,100,100,-2.740,-6.518,-8.844
27,target_81,100,100,-9.377,-8.512,-8.814
28,target_07,100,100,-9.120,-8.333,-8.791
29,target_87,100,100,-5.939,-7.918,-8.762
30,target_02,99,100,-6.421,-7.976,-8.498
31,target_36,100,100,-8.776,-8.431,-8.462
32,target_51,99,100,-7.516,-8.619,-8.448
33,target_27,100,100,-3.864,-9.072,-8.375
34,target_76,99,100,-8.856,-8.330,-8.360
35,target_88,100,100,-7.819,-7.821,-8.357
36,target_19,100,100,-9.505,-8.040,-8.344
37,target_10,100,100,-9.057,-8.514,-8.300
38,target_41,99,99,-7.951,-7.910,-8.265
39,target_60,100,100,-9.787,-7.684,-8.255
40,target_37,99,100,-5.647,-7.099,-8.130
41,target_57,99,100,-5.101,-6.067,-8.122
42,target_82,99,99,-9.291,-8.116,-8.084
43,target_83,98,99,-8.893,-7.490,-7.908
44,target_03,99,100,-5.965,-6.133,-7.594
45,target_46,99,100,-8.431,-6.966,-7.356
46,target_48,100,100,-7.170,-6.587,-7.306
47,target_25,100,100,-7.694,-7.769,-7.299
48,target_16,100,99,-5.062,-6.431,-6.992
49,target_34,100,100,-5.294,-6.234,-6.969
50,target_23,100,100,-5.851,-7.198,-6.721
51,target_77,100,99,-3.740,-7.786,-6.688
52,target_09,100,99,-4.950,-6.094,-6.655
53,target_95,100,100,-6.487,-7.089,-6.505
54,target_47,99,100,-7.371,-6.612,-6.221
55,target_40,100,100,-4.754,-6.548,-6.172
56,target_29,100,100,-5.377,-5.812,-6.146
57,target_62,100,100,-6.634,-6.252,-6.064
58,target_69,100,100,-4.144,-6.104,-5.963
59,target_28,100,100,-4.284,-5.306,-5.842
60,target_74,99,100,-8.384,-6.279,-5.789
61,target_15,100,100,-4.023,-6.993,-5.558
62,target_30,100,100,-6.770,-5.364,-5.550
63,target_91,99,99,-5.636,-5.594,-5.496
64,target_78,100,100,-4.514,-4.324,-5.453
65,target_99,100,100,-5.382,-5.402,-5.360
66,target_05,100,100,-4.914,-4.789,-5.303
67,target_64,100,100,-6.152,-5.403,-5.191
68,target_18,100,100,-5.782,-5.790,-4.979
69,target_63,100,100,-4.749,-4.969,-4.974
70,target_71,99,100,-3.463,-3.794,-4.930
71,target_43,100,100,-4.228,-4.877,-4.668
72,target_50,100,100,-4.101,-4.355,-4.352
73,target_66,100,100,-3.325,-4.010,-4.330
74,target_38,100,100,-3.452,-4.105,-4.061
75,target_14,100,100,-2.816,-4.043,-3.925
76,target_58,100,100,-4.535,-0.711,-3.779
77,target_89,100,100,-4.274,-4.334,-3.556
78,target_90,100,100,-2.482,-3.739,-3.244
79,target_96,100,99,-2.644,-2.531,-2.407
