rank,target,n_mols_ours,n_mols_voxbind,reference,voxbind_mean,ours_mean
1,target_04,99,100,-8.647,-11.749,-11.950
2,target_72,100,100,-15.648,-11.558,-11.670
3,target_70,100,100,-10.889,-10.075,-11.387
4,target_73,100,99,-12.255,-10.368,-11.015
5,target_31,100,100,-6.104,-8.210,-10.610
6,target_79,100,100,-7.759,-8.527,-10.582
7,target_80,98,100,-13.992,-10.183,-10.542
8,target_39,99,97,-5.782,-10.674,-10.395
9,target_85,99,100,-8.340,-7.852,-10.203
10,target_44,100,100,-8.879,-7.800,-9.926
11,target_92,100,100,-7.754,-8.787,-9.604
12,target_17,100,100,-7.029,-7.658,-9.449
13,target_22,99,100,-9.760,-7.125,-9.432
14,target_98,100,100,-9.157,-9.173,-9.382
15,target_49,100,100,-12.163,-9.103,-9.370
16,target_08,99,100,-4.401,-7.991,-9.331
17,target_68,100,100,-6.790,-8.594,-9.276
18,target_12,100,100,-9.438,-7.681,-9.191
19,target_24,100,100,-9.929,-8.121,-9.024
20,target_93,100,100,-6.812,-7.149,-8.983
21,target_55,99,100,-2.712,-7.796,-8.820
22,target_45,100,99,-5.393,-8.485,-8.798
23,target_33,99,100,-3.906,-7.045,-8.641
24,target_11,98,100,-8.828,-9.174,-8.627
25,target_07,100,100,-9.228,-8.216,-8.357
26,target_81,100,100,-9.381,-8.175,-8.314
27,target_02,99,100,-6.532,-7.853,-8.229
28,target_65,100,100,-2.443,-5.810,-8.212
29,target_10,100,100,-9.122,-8.285,-8.063
30,target_36,100,100,-8.520,-8.330,-8.041
31,target_87,100,100,0.736,-7.698,-8.023
32,target_83,98,99,-8.784,-7.548,-8.022
33,target_41,99,99,-8.067,-7.619,-8.014
34,target_57,99,100,-5.065,-6.022,-7.923
35,target_88,100,100,-7.952,-7.440,-7.886
36,target_51,99,100,-7.477,-8.167,-7.867
37,target_82,99,99,-9.153,-7.913,-7.777
38,target_76,99,100,-8.889,-8.045,-7.762
39,target_27,100,100,-3.861,-8.381,-7.761
40,target_37,99,100,-5.525,-6.657,-7.667
41,target_60,100,100,-9.810,-7.530,-7.628
42,target_19,100,100,-9.399,-7.614,-7.481
43,target_46,99,100,-8.578,-6.199,-7.089
44,target_48,100,100,-7.294,-6.078,-7.059
45,target_03,99,100,-5.947,-5.907,-6.972
46,target_25,100,100,-7.770,-4.533,-6.787
47,target_34,100,100,-5.278,-5.806,-6.398
48,target_09,100,99,-5.032,-6.016,-6.373
49,target_23,100,100,-5.891,-6.669,-6.318
50,target_95,100,100,-6.463,-6.479,-6.176
51,target_47,99,100,-7.441,-6.346,-5.929
52,target_62,100,100,-6.462,-6.179,-5.923
53,target_69,100,100,-4.114,-5.972,-5.821
54,target_40,100,100,-4.810,-6.501,-5.793
55,target_29,100,100,-5.492,-5.421,-5.700
56,target_28,100,100,-4.312,-5.245,-5.633
57,target_15,100,100,-4.033,-6.496,-5.627
58,target_16,100,99,-5.080,-5.101,-5.625
59,target_77,100,99,-3.740,-6.444,-5.604
60,target_91,99,99,3.129,-5.586,-5.383
61,target_30,100,100,-6.737,-5.204,-5.142
62,target_64,100,100,-6.207,-5.100,-4.865
63,target_99,100,100,-5.452,-5.103,-4.839
64,target_05,100,100,-4.863,-4.122,-4.805
65,target_78,100,100,-4.585,-4.096,-4.792
66,target_18,100,100,-5.741,-5.578,-4.658
67,target_63,100,100,-3.083,-4.470,-4.642
68,target_71,99,100,-3.281,-3.632,-4.429
69,target_43,100,100,-4.231,-5.288,-4.160
70,target_50,100,100,-4.074,-4.271,-4.006
71,target_66,100,100,-3.237,-3.734,-3.860
72,target_14,100,100,-2.828,-3.949,-3.835
73,target_89,100,100,-4.115,-4.394,-3.394
74,target_90,100,100,-2.492,-3.459,-2.893
75,target_56,99,100,-3.213,-5.138,-2.736
76,target_38,100,100,-3.551,-3.256,-2.396
77,target_96,100,99,-2.730,-1.768,-1.466
78,target_58,100,100,7.250,24.807,15.548
79,target_74,99,100,-2.222,17.237,20.690
