heavy_atoms,n_targetdiff,targetdiff_mean,targetdiff_median,targetdiff_pct,n_voxbind,voxbind_mean,voxbind_median,voxbind_pct,n_code,code_mean,code_median,code_pct,n_reference_exact,n_reference_window,reference_firm,reference_mean,reference_median,reference_pct_exact,reference_pct_rolled
5,28,-3.169,-3.138,0.384,32,-2.788,-3.266,0.406,39,-3.092,-3.101,0.495,0,8,no,-3.780,-3.769,0.000,2.025
6,120,-3.383,-3.368,1.647,44,-2.491,-3.620,0.558,68,-3.491,-3.438,0.864,4,9,no,-3.971,-4.049,5.063,1.899
7,108,-3.684,-3.772,1.482,81,-3.915,-3.922,1.027,98,-3.795,-3.806,1.245,0,13,yes,-4.188,-4.341,0.000,2.351
8,206,-4.162,-4.170,2.827,100,-4.286,-4.232,1.268,122,-3.939,-4.189,1.550,2,15,yes,-4.498,-4.463,2.532,2.373
9,177,-4.369,-4.555,2.429,168,-4.635,-4.651,2.130,164,-4.661,-4.706,2.083,2,19,yes,-4.748,-4.595,2.532,2.672
10,212,-4.904,-4.963,2.909,266,-5.005,-4.944,3.373,194,-5.121,-5.166,2.464,1,20,yes,-4.798,-4.599,1.266,2.813
11,340,-4.957,-5.276,4.666,280,-5.297,-5.332,3.550,232,-5.667,-5.726,2.947,4,20,yes,-5.371,-5.465,5.063,2.813
12,365,-5.477,-5.523,5.009,248,-5.541,-5.595,3.144,217,-5.911,-6.085,2.756,2,24,yes,-5.500,-5.465,2.532,3.376
13,199,-5.788,-5.945,2.731,213,-5.811,-5.951,2.701,203,-6.147,-6.287,2.578,4,24,yes,-5.622,-5.596,5.063,3.376
14,179,-5.587,-6.112,2.456,172,-6.093,-6.188,2.181,177,-6.330,-6.431,2.248,1,24,yes,-5.707,-5.716,1.266,3.376
15,151,-5.910,-6.350,2.072,163,-5.835,-6.525,2.067,161,-6.461,-6.588,2.045,4,24,yes,-5.845,-5.800,5.063,3.376
16,136,-6.750,-6.744,1.866,199,-6.744,-6.899,2.523,176,-6.790,-6.836,2.235,4,23,yes,-6.189,-6.039,5.063,3.235
17,177,-6.838,-6.924,2.429,218,-6.737,-7.325,2.764,181,-6.995,-7.203,2.299,2,25,yes,-6.552,-6.432,2.532,3.516
18,194,-7.040,-6.986,2.662,202,-7.358,-7.506,2.561,194,-7.350,-7.401,2.464,2,22,yes,-6.750,-6.784,2.532,3.094
19,229,-7.212,-7.227,3.143,229,-7.691,-7.850,2.904,152,-7.353,-7.527,1.931,1,24,yes,-6.993,-7.064,1.266,3.376
20,269,-7.272,-7.354,3.692,273,-7.677,-7.808,3.461,239,-7.923,-8.017,3.036,3,20,yes,-7.178,-7.330,3.797,2.813
21,338,-7.673,-7.591,4.638,259,-7.450,-7.899,3.284,184,-7.723,-8.055,2.337,4,18,yes,-7.437,-7.579,5.063,2.532
