pdb_id,true_pK,pred_pK
1a4w,5.920000076293945,6.040277481079102
1aj6,5.920000076293945,7.051026185353597
1akq,9.100000381469727,6.994202772776286
1akr,9.09000015258789,6.9176836013793945
1akt,8.489999771118164,7.166669686635335
1aku,6.130000114440918,7.070735136667888
1akw,8.59000015258789,7.101723353068034
1aw1,1.0499999523162842,5.769328753153483
1bcu,3.2799999713897705,4.825051148732503
1c5o,3.490000009536743,6.153363545735677
1c5s,6.0,5.37156359354655
1c5t,4.099999904632568,5.3902262051900225
1c7e,6.300000190734863,6.309551239013672
1c7f,9.520000457763672,6.36326805750529
1ezq,9.050000190734863,6.235025405883789
1f0s,7.739999771118164,6.149404843648274
1f0t,6.0,6.658687114715576
1f0u,7.159999847412109,6.2759443918863935
1fkn,8.800000190734863,6.02598237991333
1flm,9.369999885559082,6.294692198435466
1g2l,7.239999771118164,5.274055480957031
1g2m,7.400000095367432,6.061983108520508
1g30,6.849999904632568,5.859285354614258
1g32,6.110000133514404,6.067708651224772
1g36,7.170000076293945,4.255700747172038
1ghv,4.349999904632568,4.514168739318848
1ghw,4.199999809265137,5.839808464050293
1ghz,4.800000190734863,4.08002233505249
1gi1,5.46999979019165,5.958147207895915
1gi6,6.21999979019165,4.296439011891683
1gi7,4.510000228881836,5.062640190124512
1gi8,5.050000190734863,5.315744400024414
1gi9,5.21999979019165,4.568259874979655
1gj4,4.070000171661377,6.102561950683594
1gj5,4.960000038146973,5.651550769805908
1gj6,7.0,5.420904159545898
1gj7,7.889999866485596,5.295768737792969
1gj8,6.960000038146973,4.9739149411519366
1gja,5.420000076293945,5.364815711975098
1gjb,6.349999904632568,5.573211193084717
1gjc,6.349999904632568,5.030378182729085
1hp5,6.550000190734863,7.3411838213602705
1i7z,6.400000095367432,7.929089705149333
1jak,5.570000171661377,6.188202381134033
1jwt,7.849999904632568,6.729949315388997
1k1i,6.579999923706055,5.834233442942302
1k1j,7.550000190734863,5.8206203778584795
1k1l,6.900000095367432,6.571019331614177
1k1m,7.400000095367432,6.06356414159139
1k1n,6.820000171661377,6.066677411397298
1k1o,6.170000076293945,5.533367951711019
1kv5,4.21999979019165,5.801020781199138
1kzn,8.920000076293945,8.052179177602133
1lqe,5.820000171661377,5.33250617980957
1lyx,4.539999961853027,7.059059778849284
1lzo,4.539999961853027,6.249083201090495
1m4h,9.520000457763672,7.751614570617676
1m9n,6.920000076293945,6.154195467631022
1ml1,4.28000020980835,6.19630225499471
1njf,6.210000038146973,7.412130991617839
1np0,3.569999933242798,6.1814009348551435
1nvq,8.25,6.5151262283325195
1nvr,8.109999656677246,6.649404207865397
1o2g,6.119999885559082,5.397775967915853
1o2h,7.170000076293945,5.491713364919026
1o2j,6.920000076293945,5.331735610961914
1o2k,6.920000076293945,5.386583646138509
1o2n,6.090000152587891,5.171803951263428
1o2o,6.360000133514404,5.370086510976155
1o2p,4.849999904632568,5.04780642191569
1o2q,7.679999828338623,5.54935868581136
1o2r,5.210000038146973,5.129616896311442
1o2s,5.46999979019165,5.251587708791097
1o2t,7.849999904632568,5.130069255828857
1o2z,6.110000133514404,4.656091690063477
1o30,6.769999980926514,4.592291196187337
1o32,5.739999771118164,5.525352478027344
1o33,5.739999771118164,4.800202210744222
1o34,5.739999771118164,4.971330483754476
1o35,5.0,5.436227003733317
1o36,5.960000038146973,4.383754730224609
1o38,6.820000171661377,3.96708345413208
1o39,7.130000114440918,5.202688217163086
1o3b,7.130000114440918,5.099686781565349
1o3c,7.130000114440918,5.005131721496582
1o3d,7.130000114440918,5.229142983754476
1o3e,7.960000038146973,5.531379699707031
1o3f,7.960000038146973,5.275711854298909
1o3p,6.659999847412109,4.690807819366455
1o5a,6.420000076293945,5.664135456085205
1o5c,5.21999979019165,4.8990852038065595
1o5e,5.739999771118164,5.333773612976074
1o5f,6.070000171661377,5.083744049072266
1o5g,4.960000038146973,5.796892166137695
1odi,4.210000038146973,6.854910691579183
1odj,4.099999904632568,6.819948514302571
1ow4,5.679999828338623,6.924883206685384
1owe,6.199999809265137,4.487753868103027
1owh,7.400000095367432,3.942455450693766
1owi,7.550000190734863,4.51029109954834
1owj,7.320000171661377,4.745600859324138
1owk,7.630000114440918,5.220131556193034
1oyq,6.960000038146973,4.14980681737264
1oyt,7.239999771118164,5.472207705179851
1oz0,7.699999809265137,5.883726596832275
1p1n,6.800000190734863,5.893857320149739
1p1o,5.760000228881836,6.043765226999919
1p1q,4.889999866485596,7.702106952667236
1p4r,8.100000381469727,7.317612648010254
1p57,4.400000095367432,5.5290327072143555
1pf8,7.510000228881836,6.2115176518758135
1pkx,6.920000076293945,5.478995641072591
1pl0,8.220000267028809,7.618957996368408
1pr1,5.300000190734863,6.602654457092285
1pr5,3.9200000762939453,6.113125324249268
1pxm,7.21999979019165,7.177945613861084
1pxn,7.150000095367432,7.092219352722168
1pxp,6.659999847412109,6.788982073465983
1q4l,7.400000095367432,7.588548024495442
1q72,6.849999904632568,6.271561622619629
1q8t,4.760000228881836,5.946784337361653
1q8u,5.960000038146973,4.617246786753337
1q8w,5.239999771118164,5.642836888631185
1qbo,7.739999771118164,6.584128061930339
1qyg,6.849999904632568,6.870176474253337
1sb1,6.889999866485596,4.9309188524882
1sqo,7.460000038146973,5.988319396972656
1sqt,6.199999809265137,5.610249201456706
1syh,6.409999847412109,5.873152891794841
1syi,5.440000057220459,6.275974273681641
1syo,9.0,5.940704981486003
1sz0,9.0,5.490425745646159
1thz,5.150000095367432,4.786226908365886
1tvo,6.849999904632568,6.372759024302165
1tx7,4.599999904632568,4.782244523366292
1u6q,5.880000114440918,3.625518004099528
1ua4,4.21999979019165,6.802155494689941
1utn,3.490000009536743,5.85249392191569
1uto,2.2699999809265137,4.396300236384074
1v2k,6.190000057220459,6.1049753824869795
1v2n,5.900000095367432,5.453545252482097
1v2o,4.730000019073486,4.5828728675842285
1v2p,4.730000019073486,5.569199721018474
1v2q,4.130000114440918,4.718588987986247
1v2r,3.549999952316284,5.575880209604899
1v2t,4.710000038146973,5.514727592468262
1v2w,4.010000228881836,5.226816972096761
1vjd,3.5399999618530273,5.7358832359313965
1wvj,6.730000019073486,6.929131984710693
1xa5,6.5,6.489096005757649
