benchmark	downstream_split	downstream_pid	downstream_chain	plinder_pid	plinder_entity	fident	qcov	tcov	alnlen	evalue	bits
id30	test	1bm7	chain0	8aww	1	1.000	1.000	0.983	114	1.621E-72	236
id30	test	1df8	chain1	6avk	1	0.991	1.000	0.976	120	2.953E-77	250
id30	test	1drj	chain0	1dbp	1	0.992	1.000	1.000	271	1.483E-168	522
id30	test	1drk	chain0	1dbp	1	0.988	1.000	1.000	271	3.295E-168	521
id30	test	1fm9	chain1	4ci5	1	1.000	1.000	1.000	272	4.815E-173	535
id30	test	1g7f	chain0	8g65	1	0.996	1.000	0.997	297	5.668E-201	617
id30	test	1g7g	chain0	8g65	1	1.000	1.000	0.997	297	2.551E-201	618
id30	test	1h1s	chain0	3tnw	1	0.996	1.000	0.990	297	3.073E-199	612
id30	test	1kav	chain0	8g65	1	1.000	1.000	0.997	297	2.551E-201	618
id30	test	1nli	chain0	1qd2	1	0.991	0.996	1.000	247	4.552E-153	476
id30	test	1nvq	chain0	6fc8	1	0.974	1.000	0.982	271	1.716E-180	556
id30	test	1nvr	chain0	6fc8	1	0.974	1.000	0.982	271	1.716E-180	556
id30	test	1oar	chain0	1oax	1	0.991	1.000	1.000	122	1.201E-79	257
id30	test	1oau	chain0	1oax	1	0.991	1.000	1.000	122	1.201E-79	257
id30	test	1p1n	chain0	1p1u	1	1.000	1.000	0.981	258	1.351E-171	530
id30	test	1p1o	chain0	1p1u	1	1.000	1.000	0.989	260	2.736E-173	535
id30	test	1p1q	chain0	1p1u	1	1.000	1.000	0.981	258	1.351E-171	530
id30	test	1pxn	chain0	3r1q	1	0.986	1.000	0.974	298	1.587E-196	604
id30	test	1pxp	chain0	3r1q	1	0.986	1.000	0.974	298	1.587E-196	604
id30	test	1rpj	chain0	8wl7	1	0.947	1.000	0.932	288	9.271E-174	538
id30	test	1sw2	chain0	7s7x	1	0.392	0.996	0.932	273	8.584E-48	173
id30	test	1swr	chain3	6avk	1	0.991	1.000	0.959	118	3.600E-74	241
id30	test	1syh	chain0	3b7d	1	1.000	1.000	0.992	259	1.290E-172	533
id30	test	1syi	chain0	3b7d	1	0.996	1.000	0.992	259	6.371E-172	531
id30	test	1vyg	chain0	8ivf	1	0.465	0.970	0.985	131	4.036E-32	121
id30	test	1wvj	chain0	2aix	1	1.000	1.000	0.996	262	5.543E-175	540
id30	test	1xhy	chain0	2aix	1	0.996	1.000	0.985	259	6.371E-172	531
id30	test	2a5c	chain0	6xnd	1	1.000	1.000	0.961	123	2.807E-79	256
id30	test	2al5	chain0	2aix	1	1.000	1.000	0.989	260	2.736E-173	535
id30	test	2azr	chain0	8g65	1	1.000	1.000	0.997	297	2.551E-201	618
id30	test	2b07	chain0	8g65	1	1.000	1.000	0.997	297	2.551E-201	618
id30	test	2baj	chain0	4a9y	1	0.949	1.000	0.973	355	1.550E-218	670
id30	test	2bak	chain0	6zqs	1	0.957	1.000	0.964	349	1.119E-220	676
id30	test	2bal	chain0	3uvr	1	0.965	1.000	0.969	349	1.070E-222	682
id30	test	2dri	chain0	1dbp	1	0.996	1.000	1.000	271	1.351E-169	525
id30	test	2e27	chain1	1oax	1	0.733	1.000	0.984	120	1.175E-52	179
id30	test	2f34	chain0	5mfq	1	1.000	1.000	0.977	251	2.857E-168	520
id30	test	2f35	chain0	5mfq	1	1.000	1.000	0.977	251	2.857E-168	520
id30	test	2f6t	chain0	8g65	1	1.000	1.000	0.997	297	2.551E-201	618
id30	test	2fvd	chain0	6oqi	1	0.953	1.000	0.997	298	5.097E-187	576
id30	test	2gz2	chain0	3q11	1	1.000	1.000	0.975	357	5.343E-232	710
id30	test	2izl	chain2	6avk	1	1.000	1.000	0.992	122	1.325E-78	254
id30	test	2nta	chain0	8g65	1	0.996	1.000	0.997	297	5.668E-201	617
id30	test	2o0u	chain0	8bzp	1	0.932	1.000	0.975	355	2.370E-219	672
id30	test	2p2a	chain0	3b7d	1	0.996	1.000	0.992	259	1.483E-170	527
id30	test	2p4s	chain0	1rct	1	0.557	0.986	0.965	278	1.116E-98	321
id30	test	2pbw	chain1	5mfq	1	1.000	1.000	0.984	253	2.603E-170	526
id30	test	2qmg	chain0	5qd9	1	1.000	1.000	0.970	390	1.830E-269	820
id30	test	2vk2	chain0	5ocp	1	0.606	0.980	0.954	290	3.476E-110	355
id30	test	2wky	chain0	3c36	1	1.000	1.000	0.988	255	5.274E-172	531
id30	test	2wtv	chain0	3o50	1	0.977	1.000	0.993	265	1.633E-172	533
id30	test	2xmy	chain0	6oqi	1	0.989	1.000	0.997	298	3.369E-197	606
id30	test	2xnb	chain0	6oqi	1	0.993	1.000	0.997	298	7.151E-198	608
id30	test	2yix	chain0	3uvr	1	1.000	1.000	0.975	351	1.144E-237	726
id30	test	2zb1	chain0	3uvr	1	0.988	1.000	0.969	349	7.425E-231	706
id30	test	3bft	chain0	3b7d	1	1.000	1.000	0.992	259	1.290E-172	533
id30	test	3bfu	chain0	2aix	1	1.000	1.000	0.996	262	5.543E-175	540
id30	test	3cfn	chain0	8aww	1	1.000	1.000	0.991	115	1.542E-73	239
id30	test	3cft	chain0	8aww	1	1.000	1.000	1.000	116	3.266E-74	241
id30	test	3ckp	chain0	6c2i	1	0.966	1.000	0.954	392	3.306E-257	784
id30	test	3d7z	chain0	3uvr	1	0.997	1.000	0.969	349	2.784E-235	719
id30	test	3d83	chain0	3uvr	1	0.994	1.000	0.969	349	6.786E-234	715
id30	test	3e5a	chain0	3o50	1	0.996	1.000	0.993	265	4.823E-178	549
id30	test	3e92	chain0	4ewq	1	0.994	1.000	0.914	350	6.786E-234	715
id30	test	3e93	chain0	6zqs	1	0.988	1.000	0.967	350	7.434E-232	709
id30	test	3fat	chain0	3epe	1	0.996	0.992	1.000	257	1.708E-169	524
id30	test	3fv1	chain0	3fvo	1	1.000	1.000	1.000	256	1.119E-172	533
id30	test	3fv2	chain0	3fvo	1	1.000	1.000	1.000	256	1.119E-172	533
id30	test	3fvk	chain0	3fvo	1	1.000	1.000	1.000	256	1.119E-172	533
id30	test	3fvn	chain0	3fvo	1	1.000	1.000	1.000	256	1.119E-172	533
