pid,pK,v2_split
1bcu,3.28,test
1k1i,6.58,test
1nvq,8.25,test
1o0h,5.92,outside_v2
1o3f,7.96,test
1owh,7.4,test
1oyt,7.24,test
1p1n,6.8,test
1p1q,4.89,test
1pxn,7.15,test
1q8t,4.76,test
1q8u,5.96,test
1syi,5.44,test
1uto,2.27,test
1ydr,5.52,test
1z6e,9.72,test
2al5,8.4,test
2br1,5.14,test
2brb,4.86,test
2c3i,7.6,test
2fvd,8.52,test
2vkm,8.74,test
2vvn,7.3,test
2w66,4.05,test
2wn9,8.52,test
2wnc,6.32,test
2wtv,8.74,test
2x00,11.33,test
2xdl,3.1,test
2xnb,6.83,test
2xys,7.42,test
2yki,9.46,test
2zb1,6.32,test
2zda,8.4,test
3ag9,8.05,test
3b27,5.16,test
3bgz,6.26,test
3bv9,5.36,test
3coy,6.02,test
3coz,5.57,test
3e92,8.0,test
3e93,8.85,test
3ebp,5.91,test
3f3d,7.16,outside_v2
3f3e,7.7,outside_v2
3gy4,5.1,test
3ivg,4.3,test
3jvr,5.72,test
3jvs,6.54,test
3jya,6.89,test
3k5v,6.3,test
3kr8,8.1,test
3mss,4.66,test
3myg,10.7,test
3pyy,6.86,test
3qgy,7.8,test
3rlr,7.52,test
3rsx,4.41,test
3u8k,8.66,test
3udh,2.85,test
3ueu,5.24,outside_v2
3uew,6.31,outside_v2
3uo4,6.52,test
3up2,7.4,test
3wtj,6.53,test
3zdg,7.1,test
4abg,3.57,test
4ddh,3.3,test
4ddk,2.29,test
4djv,6.72,test
4e5w,7.66,test
4e6q,8.36,test
4f09,6.7,test
4f9w,6.94,test
4gfm,7.22,test
4gid,10.77,test
4hge,7.92,test
4j21,7.41,test
4j3l,7.8,test
4jia,9.22,test
4jsz,2.3,test
4k18,8.96,test
4kzq,6.1,test
4m0y,6.46,test
4ogj,6.79,test
4qac,9.4,test
4qd6,8.64,test
4rfm,10.05,test
4twp,10.0,test
4wiv,6.26,test
5a7b,3.57,test
5dwr,11.22,test
