pid,split
11gs,train
184l,train
185l,train
186l,val
187l,val
188l,val
1a07,train
1a08,train
1a1b,train
1a1e,train
1a28,val
1a4k,train
1a4r,train
1a4w,train
1a99,train
1af6,val
1ai4,train
1ai5,train
1ai6,train
1ai7,train
1aj6,train
1aj7,train
1ajn,train
1ajq,train
1ajx,train
1akr,val
1aku,train
1akw,train
1al8,train
1alw,train
1amn,val
1aqi,val
1aqj,train
1at6,train
1avd,train
1aw1,train
1axs,train
1b11,train
1b42,train
1b55,val
1b6j,train
1b6k,train
1b6l,train
1bcu,test
1bdl,train
1bdq,train
1bdr,train
1bhx,train
1bju,train
1bjv,train
1bky,train
1bm7,train
1bo5,val
1bq3,val
1bq4,train
1br5,train
1br6,train
1btn,train
1bxo,train
1bxq,train
1bzc,test
1bzj,val
1c5c,train
1c5s,train
1c5t,train
1c5y,val
1cbr,train
1cet,val
1ctr,train
1d09,train
1d4j,val
1d4k,train
1d4l,train
1d4w,train
1d7i,train
1d7j,train
1det,train
1df8,train
1dfo,train
1drj,train
1dub,train
1dud,train
1duv,train
1dy4,train
1e2k,val
1e2l,train
1e5j,val
1e6q,val
1e6s,train
1ec1,train
1ec2,train
1ec3,train
1egh,train
1ej4,train
1enu,train
1ezq,train
1f0s,train
1f0t,train
1f0u,train
1f3e,val
1f73,train
1f74,train
1f8a,val
1fcx,train
1fcy,train
1fh8,val
1fh9,train
1fhd,train
1fiv,train
1fjs,train
1fkn,val
1fl3,train
1flm,train
1fm9,train
1fq4,train
1fq5,val
1fq6,train
1fq7,train
1fq8,train
1fzj,train
1fzk,train
1fzm,train
1fzq,train
1g2l,val
1g30,train
1g32,train
1g36,train
1g50,train
1g5f,train
1g6s,train
1g7f,val
1g7g,train
1gaf,train
1gah,val
1gai,train
1gcz,train
1ghw,train
1ghz,train
1gi6,train
1gi7,train
1gi8,train
1gi9,train
1gj4,train
1gj5,val
1gj7,train
1gj8,train
1gja,train
1gjb,train
1gni,train
1gnj,train
1gpk,test
1gqs,train
1gt1,train
1gt3,train
1gt5,train
1gwq,train
1gwr,train
1gyx,train
1gyy,train
1h0a,train
1h1p,val
1h1s,train
1h22,test
1h23,test
1h24,train
1h25,train
1h26,train
1h27,train
1h28,train
1h2t,train
1h2u,train
1h46,val
1h5v,val
1h60,train
1h61,train
1h62,train
1h6h,train
1h8s,train
1ha2,val
1hbv,train
1hge,train
1hgi,train
1hgj,train
1hiy,train
1hp5,train
1hxb,train
1i00,train
1i3z,val
1i5r,train
1i7z,train
1ibc,val
1ibg,train
1ie9,val
1ihy,train
1iiq,train
1ik4,train
1ikt,train
1ilh,train
1imx,train
1is0,train
1iup,train
1j07,train
1j17,val
1j4r,train
1jak,train
1jlr,train
1jmg,train
1jmi,train
1jqy,train
1jtq,train
1juj,val
1jut,train
1jwt,train
1k03,train
1k1i,test
1k1l,train
1k1m,val
1k1n,train
1k1o,train
1kav,train
1kdk,train
1kll,train
1kna,train
1koj,train
1kqb,val
1kv5,train
1kzk,train
1kzn,train
1l2s,val
1lee,val
1leg,train
1lf2,train
1lf3,train
1lf9,train
1lgw,val
1lhw,train
1li3,train
1li6,train
1lke,val
1ll4,train
1lnm,train
1los,train
1lpg,test
1lpk,val
1lpz,train
1lqe,val
1lvc,train
1lyx,train
1lzo,train
1lzq,val
1m21,train
1m48,train
1m4h,train
1m7y,train
1maw,train
1mcz,train
1me8,val
1mh5,val
1mhw,val
1mjj,val
1ml1,train
1moq,val
1mq5,train
1mq6,test
1mui,train
1n0s,train
1n46,val
1n4h,train
1n5r,train
1n7i,train
1n7m,val
1n9m,train
1nax,train
1nc1,test
1ndj,train
1nf8,val
1ngw,train
1nh0,val
1nhu,train
1nhz,train
1nj1,train
1njf,train
1njj,val
1njs,train
1nli,train
1nox,val
1np0,train
1nq7,val
1nw4,train
1nw5,train
1nw7,train
1nzl,train
1nzv,train
1o0f,train
1o0o,train
1o2g,val
1o2j,val
1o2n,val
1o2o,train
1o2p,train
1o2q,train
1o2r,train
1o2z,train
1o30,train
1o32,val
1o33,train
1o35,val
1o36,train
1o38,val
1o3p,train
1o5a,train
1o5c,train
1o5e,train
1o5f,train
1o5g,train
1o6i,val
1o9d,train
1o9e,train
1oar,val
1oau,train
1oay,train
1oba,train
1ocn,train
1odj,train
1ody,train
1oe8,val
1ofz,train
1ogg,train
1oh4,train
1osv,val
1ow4,train
1owe,train
1owh,test
1owi,train
1owj,train
1owk,val
1oxn,train
1oxq,train
1oy7,train
1oyq,val
1oz0,train
1ozv,train
1p0y,val
1p1o,val
1p4r,train
1p57,train
1p93,train
1pa9,val
1pbk,train
1pcg,train
1pdq,train
1pf8,val
1pgp,train
1pk0,train
1pl0,train
1pr5,train
1pu7,train
1pu8,train
1pwy,val
1py1,train
1pzi,train
1pzo,train
1pzp,train
1q1g,train
1q4k,train
1q4l,train
1q4x,train
1q65,train
1q66,val
1q72,train
1q83,train
1q84,train
1q9d,train
1qbo,train
1qiw,val
1qpb,train
1qvt,train
1qw7,val
1qy1,train
1qy2,train
1r5n,train
1r6n,train
1r9l,train
1rbo,train
1rgk,train
1rgl,train
1rnt,train
1rpj,train
1rt9,train
1s19,train
1s26,train
1s38,test
1s39,train
1s4d,train
1s5z,train
1sb1,train
1sdu,train
1sdv,train
1sgu,train
1sh9,train
1sqc,train
1sqn,train
1sqo,train
1sqt,train
1sr7,train
1sw2,train
1sz0,train
1szd,train
1t13,train
1t2v,train
1t31,train
1t32,val
1t79,train
1t7d,val
1t7f,train
1t7r,val
1thz,val
1tjp,train
1tvo,train
1tx7,train
1u0g,train
1u1w,train
1u65,train
1u6q,train
1ua4,train
1uef,train
1ugx,train
1ugy,train
1uh1,train
1ui0,train
1uj5,train
1ule,train
1ulg,train
1uou,train
1ur9,train
1utl,val
1utn,train
1uwf,train
1uys,train
1uz4,train
1v0k,train
1v0l,val
1v2k,train
1v2n,train
1v2o,train
1v2p,train
1v2q,train
1v2r,train
1v41,train
1v48,train
1vcu,val
1vea,train
1vjd,train
1vkj,val
1vyg,train
1vyq,train
1vzq,train
1w0y,train
1w1d,train
1w1g,train
1w25,train
1w2g,train
1w2h,train
1w2x,train
1w5v,train
1w5y,train
1w70,val
1w7g,val
1w7x,train
1w80,train
1w96,val
1w9u,train
1w9v,train
1ws4,train
1wvj,train
1x38,train
1x39,val
1x8d,train
1x8r,train
1xa5,train
1xap,train
1xbb,train
1xgi,train
1xgj,val
1xk5,train
1xk9,train
1xkk,train
1xnx,train
1xow,val
1xws,train
1y0l,train
1y1m,val
1y1z,train
1y20,train
1y3a,train
1y3n,train
1y3p,val
1y3v,val
1y3w,train
1y3x,train
1y4z,train
1y98,train
1ya4,train
1ybg,val
1yc4,val
1ydk,train
1yds,train
1yon,train
1yp9,train
1ypj,train
1yvh,train
1ywh,train
1yys,train
1yz3,train
1z1h,train
1z1r,train
1z2b,train
1z3v,train
1z6d,val
1z6s,val
1z95,test
1zc9,train
1zhy,train
1zkk,train
1zky,train
1zp8,train
1zpa,train
1zsf,val
1zyr,val
220l,train
223l,train
2a14,train
2a3c,train
2a4r,train
2a5c,train
2aa6,train
2aac,train
2ad5,train
2adm,train
2aj8,train
2an5,train
2anl,train
2ans,train
2aoc,val
2aof,train
2aoh,train
2aoi,train
2aoj,train
2aqu,train
2avm,train
2avq,train
2avs,train
2avv,train
2ax6,train
2ayr,train
2az5,train
2b07,train
2b1g,train
2b1i,train
2b4l,train
2b4m,train
2b7d,val
2b7f,val
2baj,train
2bak,train
2bal,train
2bes,train
2bet,train
2bfq,train
2bgd,train
2bj4,train
2bjm,val
2bmg,val
2boh,train
2bq6,train
2bq7,train
2bqv,val
2bqw,val
2bvd,train
2byp,train
2byr,train
2bys,train
2bz6,val
2bza,train
2bzz,train
2c1n,train
2c1p,train
2c3i,test
2c3j,train
2c3k,train
2c3l,val
2c4w,val
2c6o,train
