pid,split
10gs,val
11gs,val
184l,val
185l,val
186l,val
187l,val
188l,val
1a07,train
1a08,train
1a1b,train
1a1c,train
1a1e,train
1a28,train
1a4h,train
1a4k,train
1a4r,train
1a4w,train
1a52,train
1a99,train
1af6,train
1ai4,train
1ai5,train
1ai6,train
1ai7,train
1aj6,test
1aj7,train
1ajn,train
1ajq,train
1ajv,train
1ajx,train
1akq,train
1akr,train
1akt,train
1aku,train
1akw,train
1al8,val
1alw,test
1amn,test
1aqi,val
1aqj,val
1at5,test
1at6,test
1avd,train
1aw1,train
1axs,train
1b11,train
1b42,train
1b55,train
1b6j,train
1b6k,train
1b6l,train
1b6m,train
1b6p,train
1bcu,train
1bdl,train
1bdq,train
1bdr,train
1bhx,train
1bju,train
1bjv,train
1bky,train
1bm7,train
1bo5,test
1bq3,test
1bq4,test
1br5,train
1br6,train
1btn,val
1bxo,train
1bxq,train
1bzc,train
1bzj,train
1c5c,train
1c5o,train
1c5s,train
1c5t,train
1c7e,train
1c7f,train
1cet,test
1ctr,test
1d09,train
1d4h,train
1d4i,train
1d4j,train
1d4k,train
1d4l,train
1d4w,train
1d7i,train
1d7j,train
1db1,train
1det,train
1df8,train
1dfo,train
1dqx,train
1drj,train
1drk,train
1dub,test
1dud,train
1duv,val
1dy4,train
1e2k,train
1e2l,train
1e3g,train
1e5j,val
1e66,test
1e6q,test
1e6s,test
1e72,test
1ebw,train
1eby,train
1ebz,train
1ec0,train
1ec1,train
1ec2,train
1ec3,train
1egh,train
1eix,train
1ej4,train
1enu,test
1ezq,train
1f0s,train
1f0t,train
1f0u,train
1f3e,test
1f73,val
1f74,val
1f8a,train
1f8b,train
1f8c,train
1f8d,train
1f8e,train
1fcx,train
1fcy,train
1fd0,train
1fh7,val
1fh8,val
1fh9,val
1fhd,val
1fiv,train
1fj4,val
1fjs,train
1fkn,train
1fl3,test
1flm,train
1fm9,val
1fq4,train
1fq5,train
1fq6,train
1fq7,train
1fq8,train
1fzj,train
1fzk,train
1fzm,train
1fzq,test
1g2k,train
1g2l,train
1g2m,train
1g30,train
1g32,train
1g35,train
1g36,train
1g50,train
1g5f,test
1g6s,train
1g7f,train
1g7g,train
1g9s,train
1gaf,train
1gah,test
1gai,test
1gcz,val
1ghv,train
1ghw,train
1ghz,train
1gi1,train
1gi6,train
1gi7,train
1gi8,train
1gi9,train
1gj4,train
1gj5,train
1gj6,train
1gj7,train
1gj8,train
1gja,train
1gjb,train
1gjc,train
1gni,train
1gnj,train
1gpk,test
1gpn,test
1gqs,test
1gt1,train
1gt3,train
1gt5,train
1gwq,train
1gwr,train
1gyx,train
1gyy,train
1h0a,train
1h0r,train
1h1p,train
1h1s,train
1h22,test
1h23,test
1h24,train
1h25,train
1h26,train
1h27,train
1h28,train
1h2t,train
1h2u,train
1h46,train
1h5v,val
1h61,train
1h62,train
1h6h,train
1h8s,train
1h9z,train
1ha2,train
1hbv,train
1hge,train
1hgi,train
1hgj,train
1hiy,train
1hnn,test
1hp5,train
1hxb,train
1i00,train
1i3z,train
1i5r,train
1i7z,train
1ibc,test
1ibg,train
1ie9,train
1igj,train
1ihy,test
1iiq,train
1ik4,train
1ikt,test
1ilh,train
1imx,val
1is0,train
1iup,train
1j07,test
1j17,train
1j4r,train
1jak,train
1jgl,train
1jlr,train
1jmf,train
1jmg,train
1jmi,train
1jqy,train
1jtq,train
1juj,train
1jut,train
1jwt,train
1jyq,test
1k03,train
1k1i,train
1k1j,train
1k1l,train
1k1m,train
1k1n,train
1k1o,train
1k1y,train
1kav,train
1kel,train
1kll,test
1kna,train
1kne,train
1koj,train
1kqb,train
1kv5,train
1kzk,train
1kzn,test
1l2s,train
1l83,val
1lbk,val
1lee,train
1leg,train
1lf2,train
1lf3,train
1lf9,train
1lfo,train
1lgw,val
1lhw,train
1li2,val
1li3,val
1li6,val
1lke,test
1ll4,val
1lnm,test
1loq,test
1lor,test
1los,test
1lpg,train
1lpk,train
1lpz,train
1lqd,train
1lqe,train
1lvc,test
1lyx,train
1lzo,train
1lzq,train
1m0b,train
1m21,train
1m48,val
1m4h,train
1m7y,val
1m9n,train
1mcz,train
1me8,train
1mh5,train
1mhw,val
1mj7,train
1mjj,train
1ml1,train
1moq,train
1mq5,train
1mq6,train
1mui,train
1n0s,test
1n2v,test
1n43,train
1n46,val
1n5r,test
1n7i,test
1n7m,train
1n9m,train
1nax,train
1nc1,val
1nc3,val
1ndj,train
1nf8,train
1ngw,train
1nh0,train
1nhu,train
1nhz,train
1nj1,train
1nj5,train
1njf,test
1njs,train
1nli,train
1np0,train
1nq7,val
1nvq,train
1nvr,train
1nw4,train
1nw5,test
1nw7,test
1nzl,train
1nzv,train
1o0f,val
1o0m,val
1o0n,val
1o0o,val
1o2g,train
1o2h,train
1o2j,train
1o2k,train
1o2n,train
1o2o,train
1o2p,train
1o2q,train
1o2r,train
1o2s,train
1o2t,train
1o2z,train
1o30,train
1o32,train
1o33,train
1o34,train
1o35,train
1o36,train
1o38,train
1o39,train
1o3b,train
1o3c,train
1o3d,train
1o3e,train
1o3f,train
1o3p,train
1o5a,train
1o5c,train
1o5e,train
1o5f,train
1o5g,train
1o6i,train
1o9d,train
1o9e,train
1oar,train
1oau,train
1oay,train
1oba,train
1ocn,train
1ocq,val
1od8,val
1odi,train
1odj,train
1ody,train
1oe7,train
1oe8,train
1ofz,test
1ogg,train
1ogx,test
1oh4,train
1osv,train
1ow4,train
1owe,train
1owh,train
1owi,train
1owj,train
1owk,train
1oxn,train
1oxq,train
1oy7,val
1oyq,train
1oyt,train
1oz0,train
1ozv,test
1p0y,test
1p1n,test
1p1o,test
1p1q,test
1p4r,train
1p57,train
1p93,train
1pa9,val
1pbk,train
1pcg,train
1pdq,train
1pf7,train
1pf8,train
1pgp,train
1pk0,train
1pkx,train
1pl0,train
1pr1,train
1pr5,train
1pu7,train
1pu8,train
1pwy,train
1pxm,train
1pxn,train
1pxp,train
1py1,train
1pzi,train
1pzo,train
1pzp,train
1q1g,train
1q4k,train
1q4l,train
1q4w,test
1q63,test
1q65,test
1q66,test
1q72,train
1q83,test
1q84,test
1q8t,train
1q8u,train
1q8w,train
1q95,train
1q9d,train
1qbo,train
1qiw,test
1qkt,train
1qku,train
1qng,train
1qnh,train
1qpb,train
1qw7,val
1qy1,test
1qy2,test
1qyg,train
1r4w,train
1r5n,val
1r5y,test
1r6n,test
1r9l,val
1rbo,train
1rgk,train
1rgl,train
1rjk,train
1rnt,train
1rpj,train
1rr6,train
1rt9,train
1s19,train
1s26,test
1s38,test
1s39,test
1s4d,train
1s5z,train
1s89,train
1sb1,train
1sdt,train
1sdu,train
1sdv,train
1sgu,train
1sh9,train
1sqc,train
1sqn,train
1sqo,train
1sqt,train
1sr7,test
1sw2,train
1swg,train
1swk,train
1swn,train
1swp,train
1swr,train
1syh,test
1syi,test
1syo,train
1sz0,train
1szd,train
1t13,train
1t2v,train
1t31,train
1t32,train
1t79,train
1t7d,train
1t7f,train
1t7r,train
1thz,train
1tjp,train
1tr7,train
1tvo,val
1tx7,train
1u0g,train
1u1b,val
1u1w,test
1u33,train
1u65,test
1u6q,train
1ua4,test
1uef,test
1ugx,train
1ugy,train
1uh1,train
1ui0,test
1uj5,test
1ule,train
1ulg,train
1uou,train
1ur9,val
1utj,train
1utl,train
1utn,train
1uto,train
1uwf,train
1uwt,train
1uwu,train
1uys,train
1uz1,test
1uz4,train
1v0k,val
1v0l,val
1v0m,val
1v0n,val
1v1j,train
1v2k,train
1v2n,train
1v2o,train
1v2p,train
1v2q,train
1v2r,train
1v2t,train
1v2w,train
1v41,train
1v48,train
1vcu,train
1vea,test
1vjd,train
1vkj,train
1vot,test
1vso,test
1vyg,train
1vyq,train
1vzq,train
1w0y,val
1w1d,train
1w1g,train
1w25,val
1w2g,train
1w2h,train
1w2x,train
1w3j,test
1w3k,val
1w3l,val
1w4o,val
1w4p,val
1w4q,val
1w5v,train
1w5w,train
1w5x,train
1w5y,train
1w6y,test
1w70,train
1w7g,train
1w7x,train
1w80,train
1w96,val
1w9u,val
1w9v,val
1wcq,train
1ws4,train
1ws5,train
1wvj,test
1x38,train
1x39,train
1x8d,train
1x8r,train
1x8t,train
1xa5,test
1xap,train
1xbb,test
1xd0,train
1xgi,train
1xgj,train
1xhy,test
1xk5,train
1xk9,train
1xkk,test
1xnx,val
1xws,test
1xxh,train
1xxi,train
1y0l,train
1y1m,train
1y1z,train
1y3a,test
1y3n,test
1y3p,test
1y3v,train
1y3w,train
1y3x,train
1y4z,train
1y6q,val
1y6r,val
1y98,train
1ya4,train
1ybg,train
1yc1,train
1yc4,train
1ydk,train
1ydr,train
1yds,train
1yon,val
1yp9,train
1ype,train
1ypg,train
1ypj,train
1yvh,train
1ywh,train
1yys,test
1yz3,val
1z1h,train
1z1r,train
1z2b,test
1z6d,val
1z6e,train
1z95,train
1zc9,val
1zea,train
1zhy,train
1zkk,val
1zky,train
1zp8,train
1zpa,train
1zsf,train
1zsr,train
1zyr,train
220l,val
223l,val
2a14,test
2a3c,val
2a4r,val
2a5c,val
2aac,train
2adm,val
2aj8,train
2al5,test
2an5,test
2anl,train
2aoc,train
2aod,train
2aof,train
2aog,train
2aoh,train
2aoi,train
2aoj,train
2aqu,train
2avm,train
2avo,train
2avq,train
2avs,train
2avv,train
2ax6,train
2ayr,train
2az5,train
2azr,train
2b07,train
2b1g,train
2b1i,train
2b4l,train
2b4m,train
2b7d,val
2b7f,test
2baj,val
2bak,val
2bal,val
2bes,train
2bet,train
2bfq,train
2bgd,train
2bj4,train
2bjm,train
2bmg,train
2boh,train
2bq6,train
2bq7,train
2bqv,train
2bqw,train
2br1,train
2brb,train
2brm,train
2bt9,test
2bvd,train
2byp,test
2byr,test
2bys,test
2bz6,train
2bza,train
2bzz,train
2c1n,train
2c1p,train
2c1q,val
2c3i,test
2c3j,train
2c3k,train
2c3l,train
2c4w,train
2c57,val
2c6o,train
2c80,val
2c92,test
2c94,test
2c97,test
2c9b,test
2c9d,test
2ca8,val
2cbj,test
2cbu,test
2cbv,test
2cen,train
2ceq,train
2cer,train
2ces,test
2cet,test
2cex,train
2cf8,train
2cf9,train
2cgf,train
2ci9,test
2cia,test
2cji,train
2cle,train
2clf,train
2clh,train
2cli,train
2clk,train
2cll,train
2clm,train
2clo,train
2clx,train
2cn0,train
2cvd,val
2d0k,train
2d3u,train
2d3z,train
2d41,train
2dri,train
2e27,train
2e2p,train
2e7f,train
2e93,test
2epn,train
2esm,train
2etk,train
2etr,train
2euk,val
2eum,val
2evl,val
2f01,train
2f0z,train
2f10,train
2f2h,train
2f34,test
2f35,test
2f6j,test
2f6t,train
2f80,train
2f81,train
2f8g,train
2f9b,val
2fai,train
2fb8,test
2fdp,train
2fgi,train
2fgu,train
2fl5,train
2flb,val
2fle,train
2flh,train
2flr,val
2fmb,train
2fpz,train
2fqw,train
2frd,train
2fsa,train
2fsv,train
2fvd,train
2fx6,train
2fx8,train
2fx9,train
2fxs,train
2fxu,test
2fxv,train
2fzc,train
2fzg,train
2fzk,train
2fzz,train
2g00,train
2g2r,train
2g6q,test
2g70,test
2g71,test
2g72,test
2g78,train
2g8n,test
2g96,train
2g97,train
2gbi,train
2gej,train
2gek,train
2gfa,val
2gfd,test
2gh7,train
2gl0,train
2gss,val
2gz2,test
2h13,test
2h21,test
2h23,test
2h2d,train
2h2e,test
2h2g,train
2h2h,train
2h2j,test
2h3e,train
2h5e,test
2h6b,train
2h6k,test
2h6q,test
2h6t,val
2ha0,test
2ha2,test
2ha3,test
2ha5,test
2ha6,test
2ha7,test
2hah,train
2hb3,train
2hdq,train
2hds,train
2hdu,train
2hdx,train
2hj4,train
2hjb,train
2hmh,train
2hrm,train
2hs1,train
2hs2,train
2hvc,train
2hw2,test
2hxm,train
2hzl,val
2i0a,train
2i0d,train
2i0g,train
2i0j,train
2i2b,test
2i3i,val
2i3z,train
2i4t,train
2i80,test
2idw,train
2ien,train
2ieo,train
2ihj,test
2ihq,train
2iko,train
2iku,train
2il2,train
2ipo,train
2isc,train
2itk,train
2ito,test
2itp,test
2itt,test
2ity,test
2itz,test
2iuz,val
2iws,train
2iwu,train
2iwx,train
2iyf,train
2izl,train
2izx,train
2j27,train
2j2u,train
2j34,train
2j3q,test
2j47,test
2j4g,test
2j4i,train
2j62,test
2j6m,test
2j75,test
2j78,test
2j79,test
2j7b,test
2j7d,test
2j7e,test
2j7f,test
2j7g,test
2j7h,test
2j94,train
2j95,train
2j9h,val
2jb5,test
2jb6,train
2jbv,train
2jds,train
2jdv,train
2jf4,train
2jfh,train
2jfz,val
2jg0,train
2jg8,train
2jgs,train
2jh0,train
2jh5,train
2jh6,train
2jiu,test
2jiw,test
2jj3,train
2jjb,train
2jk7,val
2jkh,train
2jkr,val
2jkt,val
2nmy,train
2nmz,train
2nnd,test
2nnk,train
2nnp,train
2nnq,train
2np9,train
2nsj,test
2nsl,test
2nta,train
2ntf,train
2nw4,train
2o0u,val
2o1c,train
2o2u,val
2o4j,train
2o4r,train
2o7e,train
2o8h,train
2o9k,test
2oag,train
2oax,train
2obf,test
2oc4,train
2oc9,train
2ogy,train
2ohl,train
2oiq,test
2ojg,val
2oji,val
2ojj,val
2ok1,val
2ole,train
2on3,test
2on6,train
2ony,test
2onz,test
2opb,test
2oqi,train
2oqv,train
2ot1,train
2ovq,train
2oxn,train
2oyk,test
2oyl,test
2oym,test
2oz5,train
2oz6,train
2oz7,train
2p0d,test
2p15,train
2p16,train
2p2a,test
2p3a,train
2p3b,train
2p3c,train
2p3d,train
2p3i,train
2p4j,train
2p4s,train
2p4y,val
2p7a,train
2p7g,train
2p7z,train
2p8n,train
2p93,train
2p94,train
2p95,train
2pbw,test
2pcp,train
2pgz,test
2phb,train
2pl0,test
2pmk,train
2pnx,test
2pog,train
2pq9,train
2pqb,train
2pqc,train
2pqj,test
2pqz,train
2psj,test
2psu,train
2psv,train
2psx,train
2pu2,train
2pwc,train
2pwg,train
2pwr,train
2pym,train
2pyn,train
2q54,train
2q55,train
2q5k,train
2q63,train
2q64,train
2q6f,train
2q70,train
2q7o,train
2q7q,train
2q7y,train
2q88,test
2q89,test
2q8h,val
2q8y,train
2q8z,train
2qbu,train
2qci,train
2qd6,train
2qd7,train
2qd8,train
2qe4,train
2qft,train
2qfu,train
2qhc,train
2qhy,train
2qhz,train
2qi0,train
2qi1,train
2qi3,train
2qi4,train
2qi5,train
2qi6,train
2qi7,train
2qic,test
2qm7,test
2qmg,train
2qnn,train
2qpu,val
2qqs,val
2qrk,test
2qrl,test
2qtg,train
2qtn,train
2qtr,train
2qtt,train
2qtu,train
2qu5,test
2qu6,test
2qzr,test
2r0z,train
2r1w,train
2r2m,train
2r2w,train
2r38,train
2r3t,train
2r3w,train
2r43,train
2r58,val
2r5b,train
2r5d,train
2r5p,train
2r5q,train
2r6w,train
2r9b,train
2r9w,train
2r9x,train
2ra6,test
2rcb,train
2rcn,train
2reg,test
2rin,test
2rkf,train
2rkg,train
2tsr,train
2uvm,test
2uwd,train
2uwl,train
2uwo,train
2uwp,train
2uxi,test
2uxx,test
2uy3,train
2uy4,train
2uy5,train
2uyn,val
2uyq,test
2uyw,train
2v00,train
2v0n,val
2v2c,train
2v2h,train
2v2q,val
2v2v,val
2v3d,val
2v3e,val
2v54,train
2v59,val
2v7d,test
2v83,test
2v85,train
2v86,train
2v87,train
2v88,train
2v8w,train
2vb8,val
2vba,val
2vc9,train
2vcb,train
2vi5,test
2vjx,val
2vk2,train
2vk6,train
2vkm,train
2vl4,val
2vmd,train
2vmf,val
2vnf,test
2vo4,val
2vo5,val
2vot,val
2vpe,train
2vpg,train
2vpn,train
2vpo,train
2vqt,val
2vr0,train
2vr4,val
2vrj,test
2vsl,val
2vuk,train
2vvc,train
2vvn,test
2vvs,test
2vvu,train
2vvv,train
2vw1,train
2vw5,train
2vwc,train
2vwl,train
2vwm,train
2vwn,train
2vwo,train
2vx9,val
2vxa,test
2vxn,train
2w16,train
2w26,train
2w4x,test
2w54,test
2w66,test
2w67,test
2w6t,train
2w6u,train
2w76,train
2w77,train
2w78,train
2w8f,train
2w8g,test
2w8j,train
2w8w,train
2w8y,train
2w97,test
2w9h,train
2wb5,test
2wbg,test
2wc3,test
2wc4,test
2wca,test
2wcg,val
2wd7,val
2weq,train
2wer,train
2wfj,train
2wgj,test
2whp,test
2wib,train
2wjg,test
2wk2,val
2wks,train
2wkt,train
2wky,test
2wkz,train
2wl0,train
2wl4,train
2wl5,train
2wly,val
2wlz,val
2wm0,val
2wn9,test
2wnc,test
2wnj,test
2wnl,test
2won,train
2wos,test
2wp1,train
2wr8,train
2wtv,train
2wtw,train
2wtx,train
2wvt,train
2wyg,train
2wyj,train
2wyn,train
2wzm,train
2wzy,test
2x00,test
2x09,train
2x0y,train
2x2c,train
2x2i,val
2x4z,train
2x6x,train
2x7x,train
2xab,train
2xah,test
2xaj,test
2xaq,test
2xas,test
2xb7,test
2xb8,train
2xb9,train
2xba,test
2xbv,train
2xbw,train
2xbx,train
2xc0,train
2xc4,train
2xcg,train
2xd9,val
2xda,train
2xde,train
2xdk,train
2xdl,train
2xdx,train
2xg3,train
2xg9,train
2xgm,train
2xgo,train
2xgs,train
2xhr,train
2xht,train
2xhx,train
2xib,train
2xii,train
2xj1,test
2xj2,test
2xj7,train
2xjg,train
2xjj,train
2xjx,train
2xm1,test
2xm2,test
2xmy,train
2xn5,train
2xnb,train
2xog,val
2xp7,train
2xpc,train
2xpk,test
2xqq,train
2xrw,val
2xs0,val
2xuf,test
2xui,test
2xup,test
2xwd,val
2xwe,val
2xye,train
2xyf,train
2xyn,test
2xys,train
2xyt,train
2xz5,train
2y1n,val
2y1w,test
2y54,train
2y56,train
2y57,train
2y58,train
2y5f,train
2y5g,train
2y5h,train
2y71,train
2y76,train
2y77,train
2y7x,train
2y7z,train
2y80,train
2y81,train
2y82,train
2y8c,train
2y8l,train
2y8q,train
2y9q,val
2ya6,train
2yb0,train
2ybu,val
2ydt,test
2ydw,train
2yek,train
2yel,train
2yfa,test
2yfe,train
2yfx,test
2yga,train
2yge,train
2ygf,train
2ygu,train
2yhd,train
2yi5,train
2yim,train
2yiv,val
2yix,val
2yjq,val
2yk1,test
2yki,train
2ymd,train
2yme,train
2ynd,train
2yne,train
2yof,train
2yog,train
2yoh,train
2yol,train
2yq6,test
2yxj,test
2z1w,test
2z4b,train
2z4o,train
2z6w,train
2z92,test
2za3,train
2zaz,val
2zb0,val
2zb1,val
2zc9,train
2zcs,test
2zda,train
2zdk,train
2zdl,train
2zdm,train
2zdn,train
2zfp,train
2zfs,train
2zft,train
2zga,train
2zgx,train
2zhd,train
2zif,train
2zit,train
2zju,test
2zjv,test
2zmd,test
2znt,test
2znu,test
2zo3,train
2zpk,train
2zq1,train
2zq2,train
2zsc,train
2zwz,train
2zx5,train
2zx6,train
2zx7,train
2zx8,train
2zx9,train
2zxa,train
2zxb,train
2zxd,train
2zy1,test
2zz1,test
2zz2,test
3a1t,test
3a2c,train
3a2o,train
3a5y,test
3a6t,train
3abt,test
3abu,test
3acw,test
3acx,test
3ad7,val
3ad8,val
3adt,val
3adu,val
3adv,val
3afk,test
3ag9,train
3agl,train
3agm,train
3al3,train
3ama,train
3amb,train
3anq,val
3ao1,test
3ao4,test
3aox,test
3arb,test
3ard,test
3are,test
3arf,test
3arg,test
3arp,val
3arq,val
3arr,val
3arw,val
3arx,val
3ask,val
3ax5,test
3axz,test
3ay0,train
3aya,train
3ayd,train
3az8,train
3az9,train
3b1m,train
3b24,train
3b25,train
3b26,train
3b27,train
3b28,train
3b3x,train
3b4p,val
3b5j,train
3b5r,train
3b66,train
3b67,train
3b68,train
3b78,train
3b82,train
3b8h,train
3bbt,test
