pid,split
10gs,train
11gs,train
184l,train
185l,train
186l,train
187l,train
188l,train
1a07,train
1a08,train
1a1b,train
1a1c,train
1a1e,train
1a28,val
1a4h,val
1a4k,train
1a4r,train
1a4w,test
1a52,val
1a99,train
1af6,train
1ai4,train
1ai5,train
1ai6,train
1ai7,train
1aj6,test
1aj7,val
1ajn,train
1ajq,train
1ajv,train
1ajx,train
1akq,test
1akr,test
1akt,test
1aku,test
1akw,test
1al8,train
1alw,train
1amn,train
1aqi,val
1aqj,val
1at5,train
1at6,train
1avd,train
1aw1,test
1axs,val
1b11,train
1b42,train
1b55,train
1b6j,train
1b6k,train
1b6l,train
1b6m,train
1b6p,train
1bcu,test
1bdl,train
1bdq,train
1bdr,train
1bhx,train
1bju,train
1bjv,train
1bky,train
1bm7,val
1bo5,train
1bq3,train
1bq4,train
1br5,train
1br6,train
1btn,train
1bxo,train
1bxq,train
1bzc,train
1bzj,train
1c5c,val
1c5o,test
1c5s,test
1c5t,test
1c7e,test
1c7f,test
1cet,train
1ctr,train
1d09,train
1d4h,train
1d4i,train
1d4j,train
1d4k,train
1d4l,train
1d4w,train
1d7i,train
1d7j,train
1db1,train
1det,train
1df8,train
1dfo,train
1dqx,train
1drj,train
1drk,train
1dub,train
1dud,train
1duv,train
1dy4,train
1e2k,train
1e2l,train
1e3g,val
1e5j,train
1e66,train
1e6q,train
1e6s,train
1e72,train
1ebw,train
1eby,train
1ebz,train
1ec0,train
1ec1,train
1ec2,train
1ec3,train
1egh,val
1eix,train
1ej4,train
1enu,train
1ezq,test
1f0s,test
1f0t,test
1f0u,test
1f3e,train
1f73,train
1f74,train
1f8a,train
1f8b,train
1f8c,train
1f8d,train
1f8e,train
1fcx,train
1fcy,train
1fd0,train
1fh7,train
1fh8,train
1fh9,train
1fhd,train
1fiv,train
1fj4,train
1fjs,train
1fkn,test
1fl3,val
1flm,test
1fm9,train
1fq4,train
1fq5,train
1fq6,train
1fq7,train
1fq8,train
1fzj,train
1fzk,train
1fzm,train
1fzq,train
1g2k,train
1g2l,test
1g2m,test
1g30,test
1g32,test
1g35,train
1g36,test
1g50,val
1g5f,train
1g6s,train
1g7f,train
1g7g,train
1g9s,train
1gaf,val
1gah,train
1gai,train
1gcz,train
1ghv,test
1ghw,test
1ghz,test
1gi1,test
1gi6,test
1gi7,test
1gi8,test
1gi9,test
1gj4,test
1gj5,test
1gj6,test
1gj7,test
1gj8,test
1gja,test
1gjb,test
1gjc,test
1gni,train
1gnj,train
1gpk,train
1gpn,train
1gqs,train
1gt1,train
1gt3,train
1gt5,train
1gwq,val
1gwr,val
1gyx,train
1gyy,train
1h0a,train
1h0r,train
1h1p,val
1h1s,val
1h22,train
1h23,train
1h24,val
1h25,val
1h26,train
1h27,train
1h28,val
1h2t,train
1h2u,train
1h46,train
1h5v,train
1h61,train
1h62,train
1h6h,train
1h8s,val
1h9z,train
1ha2,train
1hbv,train
1hge,train
1hgi,train
1hgj,train
1hiy,val
1hnn,train
1hp5,test
1hxb,train
1i00,train
1i3z,train
1i5r,train
1i7z,test
1ibc,train
1ibg,val
1ie9,train
1igj,train
1ihy,train
1iiq,train
1ik4,val
1ikt,train
1ilh,train
1imx,train
1is0,train
1iup,train
1j07,train
1j17,val
1j4r,train
1jak,test
1jgl,val
1jlr,train
1jmf,train
1jmg,train
1jmi,train
1jqy,train
1jtq,train
1juj,train
1jut,train
1jwt,test
1jyq,train
1k03,train
1k1i,test
1k1j,test
1k1l,test
1k1m,test
1k1n,test
1k1o,test
1k1y,train
1kav,train
1kel,val
1kll,train
1kna,train
1kne,train
1koj,train
1kqb,train
1kv5,test
1kzk,train
1kzn,test
1l2s,train
1l83,train
1lbk,train
1lee,train
1leg,train
1lf2,train
1lf3,train
1lf9,train
1lfo,train
1lgw,train
1lhw,train
1li2,train
1li3,train
1li6,train
1lke,val
1ll4,val
1lnm,val
1loq,train
1lor,train
1los,train
1lpg,val
1lpk,val
1lpz,val
1lqd,val
1lqe,test
1lvc,train
1lyx,test
1lzo,test
1lzq,train
1m0b,train
1m21,train
1m48,train
1m4h,test
1m7y,train
1m9n,test
1mcz,train
1me8,train
1mh5,val
1mhw,val
1mj7,val
1mjj,val
1ml1,test
1moq,train
1mq5,train
1mq6,train
1mui,train
1n0s,val
1n2v,train
1n43,train
1n46,train
1n5r,train
1n7i,train
1n7m,val
1n9m,train
1nax,train
1nc1,train
1nc3,train
1ndj,train
1nf8,train
1ngw,val
1nh0,train
1nhu,train
1nhz,val
1nj1,train
1nj5,train
1njf,test
1njs,train
1nli,train
1np0,test
1nq7,train
1nvq,test
1nvr,test
1nw4,train
1nw5,val
1nw7,val
1nzl,train
1nzv,train
1o0f,train
1o0m,train
1o0n,train
1o0o,train
1o2g,test
1o2h,test
1o2j,test
1o2k,test
1o2n,test
1o2o,test
1o2p,test
1o2q,test
1o2r,test
1o2s,test
1o2t,test
1o2z,test
1o30,test
1o32,test
1o33,test
1o34,test
1o35,test
1o36,test
1o38,test
1o39,test
1o3b,test
1o3c,test
1o3d,test
1o3e,test
1o3f,test
1o3p,test
1o5a,test
1o5c,test
1o5e,test
1o5f,test
1o5g,test
1o6i,val
1o9d,train
1o9e,train
1oar,val
1oau,val
1oay,val
1oba,train
1ocn,train
1ocq,train
1od8,train
1odi,test
1odj,test
1ody,train
1oe7,train
1oe8,train
1ofz,train
1ogg,val
1ogx,train
1oh4,train
1osv,train
1ow4,test
1owe,test
1owh,test
1owi,test
1owj,test
1owk,test
1oxn,train
1oxq,train
1oy7,train
1oyq,test
1oyt,test
1oz0,test
1ozv,val
1p0y,val
1p1n,test
1p1o,test
1p1q,test
1p4r,test
1p57,test
1p93,val
1pa9,train
1pbk,train
1pcg,train
1pdq,train
1pf7,train
1pf8,test
1pgp,train
1pk0,train
1pkx,test
1pl0,test
1pr1,test
1pr5,test
1pu7,train
1pu8,train
1pwy,train
1pxm,test
1pxn,test
1pxp,test
1py1,train
1pzi,train
1pzo,train
1pzp,train
1q1g,train
1q4k,train
1q4l,test
1q4w,train
1q63,train
1q65,train
1q66,train
1q72,test
1q83,train
1q84,train
1q8t,test
1q8u,test
1q8w,test
1q95,train
1q9d,train
1qbo,test
1qiw,train
1qkt,val
1qku,val
1qng,val
1qnh,val
1qpb,train
1qw7,train
1qy1,train
1qy2,train
1qyg,test
1r4w,train
1r5n,train
1r5y,train
1r6n,train
1r9l,train
1rbo,train
1rgk,train
1rgl,train
1rjk,train
1rnt,train
1rpj,train
1rr6,train
1rt9,train
1s19,train
1s26,train
1s38,train
1s39,train
1s4d,val
1s5z,val
1s89,val
1sb1,test
1sdt,train
1sdu,train
1sdv,train
1sgu,train
1sh9,train
1sqc,train
1sqn,val
1sqo,test
1sqt,test
1sr7,train
1sw2,train
1swg,train
1swk,train
1swn,train
1swp,train
1swr,train
1syh,test
1syi,test
1syo,test
1sz0,test
1szd,train
1t13,train
1t2v,train
1t31,train
1t32,train
1t79,val
1t7d,train
1t7f,val
1t7r,val
1thz,test
1tjp,train
1tr7,train
1tvo,test
1tx7,test
1u0g,train
1u1b,train
1u1w,train
1u33,train
1u65,train
1u6q,test
1ua4,test
1uef,train
1ugx,train
1ugy,train
1uh1,train
1ui0,train
1uj5,train
1ule,train
1ulg,train
1uou,train
1ur9,train
1utj,val
1utl,val
1utn,test
1uto,test
1uwf,train
1uwt,train
1uwu,train
1uys,train
1uz1,train
1uz4,train
1v0k,train
1v0l,train
1v0m,train
1v0n,train
1v1j,train
1v2k,test
1v2n,test
1v2o,test
1v2p,test
1v2q,test
1v2r,test
1v2t,test
1v2w,test
1v41,train
1v48,train
1vcu,train
1vea,train
1vjd,test
1vkj,train
1vot,train
1vso,val
1vyg,train
1vyq,train
1vzq,val
1w0y,train
1w1d,train
1w1g,train
1w25,train
1w2g,val
1w2h,val
1w2x,train
1w3j,train
1w3k,train
1w3l,train
1w4o,train
1w4p,train
1w4q,train
1w5v,train
1w5w,train
1w5x,train
1w5y,train
1w6y,train
1w70,train
1w7g,val
1w7x,train
1w80,train
1w96,train
1w9u,val
1w9v,val
1wcq,train
1ws4,train
1ws5,train
1wvj,test
1x38,train
1x39,train
1x8d,train
1x8r,train
1x8t,train
1xa5,test
1xap,train
1xbb,test
1xd0,train
1xgi,train
1xgj,train
1xhy,test
1xk5,train
1xk9,test
1xkk,test
1xnx,train
1xws,test
1xxh,test
1xxi,test
1y0l,val
1y1m,train
1y1z,train
1y3a,train
1y3n,train
1y3p,train
1y3v,test
1y3w,test
1y3x,test
1y4z,train
1y6q,train
1y6r,train
1y98,train
1ya4,train
1ybg,train
1yc1,train
1yc4,train
1ydk,train
1ydr,test
1yds,test
1yon,train
1yp9,test
1ype,test
1ypg,test
1ypj,test
1yvh,train
1ywh,train
1yys,train
1yz3,train
1z1h,train
1z1r,train
1z2b,train
1z6d,train
1z6e,test
1z95,train
1zc9,train
1zea,val
1zhy,train
1zkk,train
1zky,val
1zp8,train
1zpa,train
1zsf,train
1zsr,train
1zyr,train
220l,train
223l,train
2a14,val
2a3c,val
2a4r,train
2a5c,train
2aac,train
2adm,val
2aj8,train
2al5,test
2an5,train
2anl,train
2aoc,train
2aod,train
2aof,train
2aog,train
2aoh,train
