pid,split
10gs,train
184l,train
185l,train
186l,train
187l,train
188l,train
1a1e,train
1a28,val
1a4k,train
1a4r,train
1a99,train
1ai4,train
1ai5,train
1ai7,train
1aj7,val
1ajn,train
1ajq,train
1ajv,train
1ajx,train
1alw,train
1b6l,train
1bcu,test
1bdq,train
1bju,train
1bjv,train
1bm7,val
1bq4,train
1br6,train
1bzc,train
1bzj,train
1c5c,val
1c5o,test
1c5s,test
1c5t,test
1cet,train
1d09,train
1d4l,train
1d7i,train
1d7j,train
1det,train
1df8,train
1drj,train
1drk,train
1dud,train
1dy4,train
1e2k,train
1e2l,train
1e3g,val
1e66,train
1e6q,train
1egh,val
1enu,train
1ezq,test
1f0s,test
1f0t,test
1f0u,test
1f3e,train
1f73,train
1f74,train
1f8b,train
1f8c,train
1f8d,train
1f8e,train
1fcx,train
1fcy,train
1fd0,train
1fh7,train
1fh8,train
1fhd,train
1fjs,train
1fl3,val
1fm9,train
1fzq,train
1g2k,train
1g32,test
1g36,test
1gaf,val
1ghv,test
1ghw,test
1ghz,test
1gi1,test
1gi7,test
1gj6,test
1gjc,test
1gpk,train
1gpn,train
1gyx,train
1gyy,train
1h1s,val
1h22,train
1h23,train
1h46,train
1hp5,test
1i7z,test
1ie9,train
1igj,train
1ik4,val
1ikt,train
1j17,val
1jak,test
1jgl,val
1jmf,train
1jmg,train
1k1i,test
1k1j,test
1k1l,test
1k1m,test
1kav,train
1kel,val
1koj,train
1kv5,test
1kzk,train
1l83,train
1lbk,train
1lee,train
1lf2,train
1lgw,train
1li2,train
1li3,train
1li6,train
1lke,val
1lnm,val
1loq,train
1lpz,val
1lyx,test
1m48,train
1mh5,val
1mjj,val
1moq,train
1mq5,train
1mq6,train
1n0s,val
1n46,train
1nc1,train
1nc3,train
1nf8,train
1nhu,train
1nhz,val
1nli,train
1np0,test
1nq7,train
1nvq,test
1nvr,test
1nw4,train
1nw5,val
1nw7,val
1o0f,train
1o0m,train
1o0n,train
1o2h,test
1o2j,test
1o2n,test
1o2o,test
1o2q,test
1o2r,test
1o30,test
1o33,test
1o35,test
1o38,test
1o3d,test
1o3f,test
1o5a,test
1o5c,test
1o5e,test
1o5g,test
1oar,val
1oau,val
1oba,train
1ocq,train
1od8,train
1odi,test
1odj,test
1oe8,train
1ogx,train
1owe,test
1owh,test
1oyt,test
1p1n,test
1p1o,test
1p1q,test
1p57,test
1pa9,train
1pgp,train
1pkx,test
1pr5,test
1pxn,test
1pxp,test
1pzi,train
1pzp,train
1q1g,train
1q65,train
1q72,test
1q8t,test
1q8u,test
1q8w,test
1qbo,test
1qkt,val
1qy1,train
1qy2,train
1qyg,test
1r5y,train
1r9l,train
1rjk,train
1rnt,train
1rpj,train
1rr6,train
1s19,train
1s38,train
1s39,train
1s5z,val
1s89,val
1sb1,test
1sqo,test
1sqt,test
1sr7,train
1sw2,train
1swg,train
1swr,train
1syh,test
1syi,test
1thz,test
1tjp,train
1tx7,test
1u0g,train
1u1w,train
1ua4,test
1ugx,train
1ui0,train
1uj5,train
1uou,train
1utj,val
1utl,val
1utn,test
1uto,test
1uwf,train
1uwu,train
1uz1,train
1uz4,train
1v0k,train
1v0l,train
1v1j,train
1v2k,test
1v2n,test
1v2o,test
1v2r,test
1v2t,test
1v2w,test
1v48,train
1vso,val
1vyg,train
1vzq,val
1w3j,train
1w3k,train
1w4o,train
1w4p,train
1w4q,train
1w96,train
1wcq,train
1ws4,train
1wvj,test
1x38,train
1x39,train
1x8d,train
1x8r,train
1x8t,train
1xap,train
1xgi,train
1xhy,test
1xk9,test
1xkk,test
1xws,test
1y0l,val
1y1z,train
1y3n,train
1y3v,test
1y3x,test
1y6q,train
1y6r,train
1yc1,train
1yc4,train
1ydk,train
1ydr,test
1yds,test
1yp9,test
1ype,test
1ypg,test
1ypj,test
1z1h,train
1z6e,test
1z95,train
1zc9,train
1zhy,train
2a14,val
2a5c,train
2aac,train
2aj8,train
2al5,test
2ayr,train
2azr,train
2b07,train
2b1g,test
2b1i,test
2b4l,train
2baj,val
2bak,val
2bal,test
2bet,train
2boh,val
2bq7,val
2br1,test
2brb,test
2brm,test
2bt9,train
2bvd,train
2byr,test
2bys,test
2bz6,train
2bza,test
2c1p,val
2c3i,test
2c3l,test
2c80,train
2c97,train
2ca8,train
2cbj,test
2cbu,train
2cbv,train
2ceq,train
2ces,train
2cet,train
2cex,train
2cf8,val
2cf9,val
2cgf,val
2cle,train
2clh,train
2cli,train
2clk,train
2cn0,val
2d0k,test
2d3u,train
2d3z,train
2dri,train
2e27,val
2e2p,test
2e7f,train
2epn,test
2f2h,train
2f34,val
2f35,val
2f6t,train
2f80,train
2f81,train
2f8g,train
2fdp,test
2flr,train
2fpz,test
2fqw,train
2fvd,test
2fx6,test
2fxs,val
2fxv,train
2fzc,train
2fzg,train
2fzk,train
2gl0,test
2gss,train
2gz2,train
2h21,val
2h3e,train
2h6b,train
2ha2,train
2ha3,train
2ha6,train
2hah,train
2hb3,train
2hjb,train
2hs1,train
2hxm,train
2hzl,train
2i0a,train
2i3i,train
2i80,train
2idw,train
2ihq,val
2iko,train
2iuz,val
2iwx,val
2izl,train
2j27,test
2j2u,test
2j34,test
2j47,train
2j4g,train
2j4i,test
2j62,test
2j75,train
2j7b,train
2j7d,train
2j7e,train
2j7f,train
2j7g,train
2j7h,train
2j94,test
2j95,test
2jds,test
2jf4,train
2jfz,train
2jg0,train
2jgs,train
2jh0,test
2jh5,test
2jh6,test
2jiw,val
2jjb,train
2jkh,test
2nnd,train
2nsj,train
2nsl,train
2nta,train
2o0u,val
2o4j,train
2o4r,train
2o8h,train
2oag,train
2oax,train
2ogy,train
2oiq,val
2ojg,test
2ojj,test
2ole,train
2on6,train
2ot1,train
2oxn,test
2oym,train
2p15,val
2p16,test
2p2a,val
2p3i,train
2p4s,train
2p4y,train
2p7a,val
2p7g,val
2p7z,val
2p95,test
2pbw,val
2pcp,val
2pgz,test
2pog,val
2pqc,train
2pqz,train
2psu,train
2psv,train
2pu2,train
2pwc,train
2pwg,train
2pwr,train
2pym,train
2pyn,train
2q55,train
2q63,train
2q64,train
2q7q,train
2q88,train
2q89,train
2q8h,train
2q8z,train
2qbu,val
2qci,train
2qd6,train
2qd7,train
2qd8,train
2qe4,train
2qhy,train
2qi0,train
2qi3,train
2qi4,train
2qi5,train
2qi6,train
2qi7,train
2qmg,test
2qrk,test
2qrl,test
2qtg,train
2qtn,train
2qtt,train
2qu6,val
2qzr,train
2r2w,test
2r38,train
2r3t,train
2r3w,train
2r43,train
2r58,train
2r9w,train
2r9x,train
2ra6,train
2rcb,test
2reg,train
2rin,test
2uwd,test
2uwl,test
2uwo,test
2uwp,test
2uxi,train
2uy3,val
2uy4,val
2uy5,val
2uyn,train
2uyq,train
2v00,train
2v2c,test
2v2h,test
2v2q,train
2v2v,train
2v3d,train
2v54,train
2v59,train
2vb8,train
2vba,train
2vc9,test
2vjx,train
2vk2,train
2vk6,train
2vl4,train
2vmd,train
2vmf,train
2vo4,train
2vo5,train
2vot,train
2vpn,train
2vpo,train
2vqt,train
2vrj,train
2vsl,train
2vuk,train
2vvc,test
2vvn,test
2vvs,test
2vvu,train
2vvv,train
2vw1,train
2vw5,val
2vwc,val
2vwl,train
2vwm,train
2vwn,train
2vwo,train
2vxn,val
2w26,test
2w4x,val
2w66,test
2w67,test
2w8j,train
2w8w,train
2w8y,val
2w9h,test
2wb5,test
2wbg,train
2wc3,train
2wc4,train
2wca,val
2weq,val
2wer,val
2wgj,val
2whp,train
2wky,val
2wly,val
2wlz,val
2wn9,test
2wnc,test
2wnj,test
2wos,train
2wr8,val
2wtv,test
2wvt,train
2wyg,train
2wyj,train
2x00,test
2x09,train
2x0y,train
2x4z,train
2xab,test
2xb7,val
2xb8,train
2xbv,train
2xbw,train
2xbx,train
2xc0,train
2xc4,train
2xd9,train
2xda,train
2xde,test
2xdk,test
2xdl,test
2xdx,test
2xg9,train
2xht,test
2xib,train
2xii,train
2xj1,test
2xj2,test
2xj7,val
2xjg,test
2xjj,test
2xjx,test
2xm1,test
2xm2,test
2xmy,test
2xn5,val
2xnb,test
2xp7,train
2xpk,test
2xys,test
2xyt,test
2y5f,train
2y5g,train
2y5h,train
2y7x,train
2y7z,train
2y80,train
2y81,train
2y82,train
2y8c,train
2ya6,train
2yb0,train
2ydt,train
2ydw,train
2yek,train
2yel,train
2yfa,train
2yfe,train
2yfx,val
2yge,val
2ygf,test
2yix,test
2yk1,test
2yki,test
2ymd,train
2yme,test
2z1w,train
2z4o,train
2zb1,test
2zc9,test
2zcs,train
2zda,test
2zdk,test
2zdl,test
2zdm,test
2zdn,test
2zfp,test
2zfs,test
2zft,test
2zgx,test
2zq2,test
2zwz,train
2zx6,train
2zx7,train
2zx8,train
2zxd,train
2zy1,train
2zz1,train
2zz2,train
3a2o,train
3a6t,train
3acw,train
3acx,train
3ao4,train
3arp,val
3arq,val
3arw,val
3arx,val
3axz,test
3b1m,train
3b24,test
3b25,test
3b26,test
3b27,test
3b3x,train
3b4p,train
3b5r,train
3b66,train
3b67,train
3b68,train
3bex,test
3bft,test
3bfu,test
3bgb,train
3bgq,test
3bgs,train
3bgz,test
3bqc,val
3brn,train
3bvb,train
3bxe,train
3bxf,train
3c2f,train
3c2o,train
3c2r,train
3c39,test
3c4h,test
3c79,test
3c84,test
3ccw,train
3ccz,train
3cd0,train
3cd5,train
3cd7,train
3cfn,test
3cft,val
3cke,train
3ckp,test
3cl0,test
3cm2,train
3cow,test
3coy,test
3coz,test
3cs7,test
3ctt,train
3cyw,train
3cz1,train
3d0e,val
3d1z,train
3d6o,train
3d6p,train
3d78,train
3d7z,test
3d83,test
3d8z,train
3d91,train
3da9,test
3djk,train
3djo,train
3djp,train
3djq,train
3djv,train
3dk1,train
3dnd,test
3dne,test
3dp9,train
3dzt,train
3e5a,val
3e5u,train
3e92,test
3e93,test
3ebl,train
3ebo,test
3ebp,test
3eko,test
3ekp,train
3ekr,test
3ekt,train
3ekv,train
3el5,train
3eqr,train
3f34,train
3f37,train
3f3c,train
3f68,test
3f78,train
3f7g,train
3f7h,train
3f8c,train
3fat,test
3ffg,test
3fhb,test
3fj7,train
3fl5,val
3fqe,test
3fql,train
3fur,train
3fv1,val
3fv2,val
3fvk,val
3fvn,val
3g0e,val
3g0i,train
3g0w,val
3g1d,train
3g1v,train
3g2y,train
3g2z,train
3g30,train
3g31,train
3g32,train
3g34,train
3g35,train
3ga5,train
3gba,val
3gbb,val
3gc4,train
3gc5,train
3gcp,val
3gcs,val
3gcu,val
3gdt,train
3ge7,train
3ggu,train
3gi4,train
3gi5,train
3gi6,train
3gjw,test
3gkz,val
3gm0,val
3gnw,train
3gr2,train
3gs6,test
3gsm,test
3gt9,train
3gta,train
3gv9,train
3gvu,test
3gy2,test
3gy3,test
3gy4,test
3h30,val
3h5b,train
3h78,val
3hcm,train
3hek,val
3hk1,train
3hkw,train
3hky,train
3hl5,train
3hl7,test
3hl8,train
3hmo,test
3hmp,test
3hp9,train
3hub,val
3huc,test
3i4b,test
3i5z,test
3i60,test
3i6o,train
3i7e,train
3ijh,val
3ikd,train
3ikg,train
3imc,test
3ime,test
3iob,test
3ioc,test
3iod,test
3ioe,test
3ip8,train
3ip9,train
3iph,test
3ipq,val
3ipu,val
3isj,val
3iub,test
3iue,test
3ivc,test
3ivg,test
3ivx,test
3iw5,val
3iw6,val
3jrs,train
3jrx,train
3jvr,test
3jvs,test
3jy0,test
3jya,test
3k37,train
3k4d,train
3k5v,test
3k8o,train
3k8q,train
3k97,test
3k99,test
3kdb,train
3kdc,train
3kdd,train
3kdm,val
3kgu,test
3kjd,test
3kmx,val
3kmy,val
3kr8,test
3kyq,train
3l3l,test
3l3m,test
3l4w,train
3ldp,val
3ldq,test
3lgs,train
3liw,test
3ljo,test
3lpi,val
3lpk,val
3lvw,train
3lxk,val
3lzs,train
3lzu,train
3m35,test
3m36,test
3m37,test
3m3z,train
3mf5,train
3miy,test
3ms9,test
3mss,test
3mxd,train
3mxe,train
3myg,test
3n1c,test
3n3g,val
3n76,train
3n7a,train
3n7o,train
3n86,train
3n8k,train
3nee,val
3neo,val
3nes,val
3nex,test
3nhi,train
3nht,train
3nkk,test
3nox,train
3npc,val
3nq3,train
3nq9,train
3nu3,train
3nu4,train
3nu5,train
3nu6,train
3nu9,train
3nuj,train
3nuo,train
3nyd,train
3nyx,val
3o5n,train
3o5x,train
3o75,train
3o84,train
3o8p,val
3o99,train
3o9a,train
3o9d,train
3o9e,train
3o9i,train
3o9p,train
3oaf,test
3ocp,train
3ok9,train
3ovn,train
3own,train
3oy8,train
3oyw,train
3ozj,test
3ozp,test
3p17,test
3p2e,val
3p3r,train
3p3t,train
3p5o,train
3p7i,train
3p8o,train
3p8p,train
3p8z,train
3pd8,val
3pd9,val
3pe1,test
3pe2,val
3pgu,train
3pn1,train
3po1,test
3ppm,train
3ppp,train
3ppq,train
3ppr,train
3pwd,val
3pwk,train
3pwm,train
3pyy,test
3q2j,val
3q6w,val
3qaa,train
3qbc,train
3qdd,test
3qfy,test
3qfz,test
3qgw,test
3qgy,test
3qox,val
3qqs,val
3qt6,train
3qto,test
3qtv,test
3qwc,test
3qx5,test
3qxt,val
3qxv,val
3r4m,test
3r4n,test
3r4p,test
3r6u,train
3r7o,val
3r88,val
3re4,train
3rf5,train
3rlb,train
3rlp,test
3rlq,test
3rlr,test
3rm9,val
3roc,test
3rr4,train
3rsx,test
3rt8,train
3rtf,train
3rv8,train
3rwp,test
3s0b,train
3s0e,train
3s2v,val
3s43,train
3s54,train
3s6t,test
3sfg,train
3sha,test
3shc,test
3si3,test
3si4,test
3sio,val
3sk2,train
3sm2,train
3sr4,val
3st5,train
3su0,train
3su1,train
3su2,train
3su3,train
3su4,train
3su5,train
3su6,train
3sue,train
3suf,train
3sur,test
3sus,test
3sut,test
3suu,test
3suv,test
3suw,test
3sv2,test
3sww,train
3sxf,val
3t0x,train
3t1a,train
3t1m,train
3t2w,train
3t3c,train
3t3u,val
3t60,train
3t64,train
3t70,train
3tao,val
3tb6,train
3td4,train
3tf6,train
3tfu,train
3th9,train
3tkw,train
3ttm,train
3ttp,train
3tu7,test
3twp,val
3tz0,train
3tza,val
3tzm,test
3u10,train
3u5j,train
3u5l,train
3u6h,val
3u6i,val
3u81,val
3u8j,test
3u8k,test
3u8l,test
3u90,train
3u92,val
3u9q,train
3ubd,val
3udd,val
3udh,test
3uev,train
3uex,train
3ug2,test
3uj9,val
3ujc,val
3ujd,val
3umq,train
3uo4,test
3uod,test
3up2,test
3uu1,val
3uug,train
3uw4,train
3uw5,train
3uxd,train
3uz5,train
3uzj,train
3v2n,train
3v2p,train
3v3q,train
3v51,val
3v5p,val
3v5t,val
3v78,train
3veh,train
3vf5,train
3vf7,train
3vfa,train
3vfb,train
3vha,test
3vhc,test
3vhd,test
3vhk,val
3vvy,train
3vw1,train
3vw2,train
3w07,train
3w5n,train
3w9k,train
3w9r,train
3wha,test
3wjw,train
3wtj,test
3wtl,test
3wtm,test
3wtn,test
3wto,test
3wvm,train
3wz6,train
3wz8,train
3wzn,train
3x00,train
3zbx,val
3zc5,val
3zcl,val
3zdg,test
3zdh,test
3zi0,train
3zi8,train
3zj6,train
3zll,train
3zln,train
3zm9,train
3zq9,train
3zqe,train
3zsq,train
3zsx,train
3zsy,train
3zt2,train
3zt3,train
3zv7,train
3zxz,val
3zyu,train
3zze,val
4a4v,train
4a4w,train
4a6l,test
4a7i,val
4a95,train
4ab9,test
4aba,test
4abb,test
4abd,test
4abe,test
4abg,test
4abh,test
4acc,val
4ad2,train
4ad3,train
4ad6,train
4afg,test
