pid,split
10gs,train
11gs,train
13gs,train
16pk,test
184l,train
185l,train
186l,train
187l,train
188l,train
1a07,train
1a08,train
1a09,train
1a0q,train
1a1b,train
1a1c,train
1a1e,train
1a28,train
1a2c,train
1a30,train
1a3e,train
1a42,train
1a46,train
1a4g,train
1a4h,train
1a4m,train
1a4q,train
1a4r,train
1a4w,train
1a52,train
1a5g,train
1a5h,train
1a61,train
1a69,train
1a7c,test
1a7t,train
1a7x,train
1a85,train
1a86,train
1a8i,train
1a8t,train
1a94,train
1a99,train
1a9m,train
1a9q,train
1a9u,train
1aaq,train
1abt,train
1ad8,train
1add,train
1adl,train
1ado,test
1af2,val
1af6,val
1ag9,train
1agm,val
1agw,train
1aht,train
1ahx,train
1ahy,train
1ai4,test
1ai5,test
1ai6,test
1ai7,test
1aid,train
1aj6,train
1aj7,train
1ajn,test
1ajp,test
1ajq,test
1ajv,train
1ajx,train
1akq,train
1akr,train
1akt,train
1aku,train
1akv,train
1akw,train
1al8,val
1alw,test
1amk,train
1amn,train
1amw,train
1anf,train
1ao8,test
1apb,train
1apv,train
1apw,train
1aq1,train
1aq7,train
1aqc,val
1aqi,val
1at5,test
1at6,test
1atl,train
1atr,train
1au0,train
1au2,train
1avd,train
1avn,train
1aw1,train
1awf,train
1awi,val
1ax0,train
1ax1,train
1ax2,train
1axr,train
1axs,train
1axz,train
1ayu,train
1ayv,train
1aze,train
1azg,train
1azl,train
1azm,train
1b05,train
1b0f,train
1b0h,train
1b11,train
1b1h,train
1b2h,train
1b2i,train
1b2m,test
1b32,train
1b3f,train
1b3g,train
1b3h,train
1b40,train
1b42,test
1b46,train
1b4d,train
1b4h,train
1b4z,train
1b51,train
1b52,train
1b55,test
1b56,train
1b57,test
1b58,train
1b5g,train
1b5h,train
1b5i,train
1b5j,train
1b6h,train
1b6j,train
1b6k,train
1b6l,train
1b6m,train
1b6p,train
1b74,test
1b7h,train
1b8n,train
1b8o,train
1b8y,train
1b9j,train
1b9s,train
1b9v,train
1ba8,train
1bai,val
1bap,train
1bb0,train
1bbz,train
1bcd,train
1bcj,train
1bcu,train
1bdl,train
1bdq,train
1bdr,train
1bgo,train
1bgq,train
1bhf,train
1bhx,train
1bil,train
1bim,train
1biw,train
1bji,train
1bjr,val
1bju,train
1bjv,train
1bkj,val
1bkm,train
1bky,test
1bl4,train
1bl6,train
1bl7,train
1bm2,train
1bm6,train
1bm7,train
1bma,train
1bmk,train
1bmm,train
1bmn,train
1bmq,train
1bn1,train
1bn3,train
1bn4,train
1bnm,train
1bnn,train
1bnq,train
1bnt,train
1bnu,train
1bnv,train
1bnw,train
1bo5,val
1bp0,train
1bq3,val
1bqo,train
1br5,train
1br6,train
1br8,test
1bra,train
1bsk,train
1bt6,train
1btn,val
1bty,train
1bug,val
1bux,train
1bv7,train
1bv9,train
1bwa,train
1bwb,train
1bwn,test
1bxl,train
1bxq,train
1bzc,train
1bzf,test
1bzh,train
1bzj,train
1bzs,train
1bzy,train
1c1r,train
1c1u,train
1c1v,train
1c2t,train
1c3e,train
1c3i,train
1c3r,val
1c3x,val
1c4u,train
1c4v,train
1c4y,train
1c50,train
1c5c,train
1c5f,train
1c5n,train
1c5o,train
1c5p,train
1c5q,train
1c5s,train
1c5t,train
1c5x,train
1c5y,train
1c6y,train
1c70,train
1c7e,train
1c7f,train
1c83,train
1c84,train
1c85,train
1c86,train
1c87,train
1c88,train
1c8k,train
1c9d,train
1caq,train
1cbr,train
1cbx,train
1ce5,train
1ceb,train
1cgl,train
1ch8,test
1ci7,train
1cil,train
1cim,train
1cin,train
1ciz,train
1cj1,train
1cka,train
1ckb,train
1clu,train
1cnw,train
1cnx,train
1cny,train
1cpi,train
1cps,train
1cqp,train
1cr6,train
1cs4,train
1ct8,train
1ctr,train
1ctt,val
1ctu,val
1cwb,train
1cwc,train
1cx9,train
1cyn,train
1czc,train
1cze,train
1czk,train
1czl,train
1czo,train
1czr,train
1d04,train
1d1p,test
1d2e,test
1d2s,test
1d3d,train
1d3p,train
1d3q,train
1d4h,train
1d4i,train
1d4j,train
1d4k,train
1d4l,train
1d4p,train
1d4t,test
1d5j,train
1d5r,val
1d6n,train
1d6s,test
1d6v,train
1d6w,train
1d7i,train
1d7j,train
1d7x,train
1d8e,train
1d8f,train
1d8m,train
1d9i,train
1db1,train
1db4,train
1db5,train
1dbb,train
1dbj,train
1dbk,train
1ddm,val
1det,test
1df8,train
1dg9,test
1dgm,test
1dhj,test
1di8,train
1di9,train
1dif,train
1dis,test
1dkd,val
1dl7,train
1dm2,train
1dmb,train
1dmp,train
1dmt,test
1doj,train
1dpu,val
1dqn,val
1dqx,train
1drj,test
1drk,test
1drv,val
1dth,train
1dtq,train
1dud,train
1dva,train
1dwc,train
1dwd,train
1dx6,train
1dxp,train
1dzj,train
1dzk,train
1dzm,train
1dzp,train
1e00,train
1e02,train
1e03,test
1e06,train
1e2k,val
1e2l,val
1e34,train
1e37,train
1e3g,train
1e3v,test
1e4h,train
1e5a,train
1e5j,train
1e6s,train
1e72,train
1e9h,train
1eas,train
1eat,train
1eb2,train
1ebw,train
1eby,train
1ebz,train
1ec0,train
1ec1,train
1ec2,train
1ec3,train
1ec9,val
1ecv,train
1eef,train
1eei,train
1efi,train
1efy,train
1egh,test
1eix,val
1ej4,train
1ejn,train
1ek1,train
1ek2,train
1ekb,train
1ela,train
1elb,train
1elc,train
1eld,train
1ele,train
1elr,test
1els,train
1ent,train
1enu,train
1eoc,train
1eou,train
1epo,train
1erb,test
1err,train
1ets,train
1ett,train
1etz,train
1eub,train
1eve,train
1evh,val
1ew8,val
1ew9,val
1ewj,val
1exv,train
1exw,val
1ez9,train
1ezf,train
1ezq,train
1f0q,train
1f0r,train
1f0s,train
1f0u,train
1f1j,train
1f28,train
1f2o,val
1f2p,val
1f3e,train
1f3j,train
1f40,train
1f47,test
1f4e,train
1f4f,train
1f4g,train
1f4x,train
1f57,train
1f5k,train
1f5l,train
1f73,test
1f74,test
1f7b,test
1f8a,train
1f8b,train
1f8d,train
1f8e,train
1f90,train
1f9e,train
1f9g,val
1fao,val
1fbm,test
1fch,val
1fcx,train
1fcy,train
1fcz,train
1fd0,train
1fd7,train
1fdq,train
1fe3,train
1ff1,test
1fgi,train
1fh7,train
1fh8,train
1fh9,train
1fhd,train
1fhr,val
1fig,train
1fiv,train
1fj4,train
1fjs,train
1fkb,train
1fkf,train
1fkg,train
1fkh,train
1fki,train
1fkn,train
1fkw,train
1fl3,train
1fl6,train
1flm,val
1flr,train
1fls,train
1fm9,train
1fmb,train
1fo0,train
1fo3,val
1fpc,train
1fpi,train
1fpp,train
1fq4,train
1fq5,train
1fq6,train
1fq7,train
1fq8,train
1fsg,train
1ft4,val
1ft7,train
1fta,train
1ftj,train
1ftk,train
1ftl,train
1ftm,train
1fv0,train
1fv9,train
1fvt,train
1fvv,train
1fw0,train
1fwe,val
1fwu,val
1fwv,val
1fyr,train
1fzq,val
1g05,train
1g1d,train
1g1e,val
1g27,train
1g2a,train
1g2k,train
1g2l,train
1g2m,train
1g2o,train
1g30,train
1g32,train
1g35,train
1g36,train
1g37,train
1g3b,train
1g3c,train
1g3d,train
1g3e,train
1g3f,train
1g3m,test
1g45,train
1g46,train
1g48,train
1g49,train
1g4j,train
1g4k,train
1g4o,train
1g50,train
1g52,train
1g53,train
1g54,train
1g5f,val
1g5s,train
1g6s,train
1g74,train
1g7f,train
1g7g,train
1g7p,train
1g7q,train
1g7v,test
1g85,train
1g9b,train
1g9r,val
1g9s,train
1g9t,train
1ga8,val
1gaf,train
1gag,train
1gah,val
1gai,val
1gbq,train
1gbt,train
1gca,val
1gcz,train
1gfw,train
1gfy,train
1gfz,train
1ggd,train
1ggn,train
1ghv,train
1ghw,train
1ghz,train
1gi1,train
1gi6,train
1gi7,train
1gj4,train
1gj6,train
1gj7,train
1gja,train
1gjd,train
1gni,train
1gnj,train
1gnm,train
1gnn,train
1gno,train
1gny,val
1gpk,train
1gpy,train
1gqs,train
1grp,val
1gsf,val
1gsz,train
1gt1,train
1gt3,train
1gt4,train
1gu3,val
1gux,test
1gvk,train
1gvw,train
1gvx,train
1gwm,val
1gwr,train
1gwv,train
1gww,train
1gx0,train
1gx4,train
1gx8,train
1gym,val
1gyx,val
1gyy,val
1gz9,train
1gzc,train
1gzv,test
1h01,train
1h0a,val
1h0r,train
1h0w,train
1h1b,train
1h1d,train
1h1h,train
1h1p,train
1h1q,train
1h1r,train
1h1s,train
1h22,train
1h23,train
1h24,train
1h25,train
1h28,train
1h2k,train
1h2t,val
1h35,train
1h36,train
1h37,train
1h39,train
1h3a,train
1h3b,train
1h3c,train
1h3h,train
1h46,test
1h4n,train
1h4w,train
1h5u,train
1h5v,train
1h60,test
1h61,test
1h62,test
1h6e,test
1h6h,val
1h7a,val
1h8l,val
1h8y,train
1h9l,train
1h9z,train
1ha2,train
1haa,train
1hbj,train
1hbv,train
1hc9,train
1hdq,train
1hdt,train
1hee,train
1hef,train
1heg,train
1hfs,train
1hge,train
1hgi,train
1hgj,train
1hi3,train
1hi4,train
1hi5,train
1hih,train
1hii,train
1him,train
1hiv,train
1hiy,train
1hk1,train
1hk2,train
1hk3,train
1hk4,train
