plinder_pdb	plinder_chain	casf_pdb	casf_chain	pident	query_coverage	subject_coverage	alignment_length	query_length	subject_length	evalue	bitscore
1acj	1acj_A	1h23	1h23__chain0	100.0	100.0	100.0	528	528	528	0.0	1100.0
1acl	1acl_A	1h23	1h23__chain0	99.8	100.0	100.0	528	527	528	0.0	1093.0
1afq	1afq_C	4crc	4crc__chain0	50.6	87.5	36.7	87	96	237	9.69e-25	87.0
1ax9	1ax9_A	1h23	1h23__chain0	99.8	100.0	100.0	528	527	528	0.0	1093.0
1bso	1bso_A	3nq9	3nq9__chain0	98.8	100.0	100.0	162	162	162	1.56e-115	318.0
1bxo	1bxo_A	2v00	2v00__chain0	54.1	98.5	99.1	327	323	330	1.63e-113	326.0
1bzm	1bzm_A	4jsz	4jsz__chain0	60.2	98.5	99.2	256	260	257	7.770000000000001e-110	311.0
1c1p	1c1p_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1c1w	1c1w_H	2zda	2zda__chain1	100.0	99.6	100.0	251	252	251	1.7999999999999999e-199	537.0
1c2e	1c2e_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1c2g	1c2g_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1c2h	1c2h_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1c2j	1c2j_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1c5r	1c5r_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1c5u	1c5u_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1c5w	1c5w_B	1owh	1owh__chain0	99.6	98.8	100.0	245	248	245	2.6700000000000002e-194	524.0
1daw	1daw_A	4eor	4eor__chain0	32.6	89.0	96.6	301	327	294	1.95e-39	134.0
1day	1day_A	4eor	4eor__chain0	32.6	89.0	96.6	301	327	294	1.95e-39	134.0
1dkf	1dkf_A	2qe4	2qe4__chain0	33.5	76.5	80.2	170	217	207	9.33e-22	82.8
1e3k	1e3k_B	3b5r	3b5r__chain0	55.5	99.2	100.0	247	249	247	2.5000000000000003e-103	294.0
1e3q	1e3q_A	1e66	1e66__chain0	100.0	99.8	100.0	532	533	532	0.0	1108.0
1e66	1e66_A	1e66	1e66__chain0	100.0	99.8	100.0	532	533	532	0.0	1108.0
1e6i	1e6i_A	3p5o	3p5o__chain0	41.7	84.7	75.6	96	111	127	4.13e-22	78.2
