plinder_pdb	plinder_chain	cohort_pdb	cohort_chain	pident	query_coverage	subject_coverage	alignment_length	query_length	subject_length	evalue	bitscore
1a3l	1a3l_L	1q72	1q72__chain0	83.8	99.5	99.1	216	217	218	1.27e-130	362.0
1a4k	1a4k_B	1i7z	1i7z__chain1	91.8	100.0	98.6	219	219	220	2.0100000000000003e-144	397.0
1aer	1aer_A	1xk9	1xk9__chain0	97.0	96.1	99.5	203	205	204	1.24e-142	391.0
1afq	1afq_B	1c5s	1c5s__chain0	42.3	99.2	56.1	130	131	223	7.68e-24	87.0
1awq	1awq_A	6r8l	6r8l__chain0	75.9	98.8	98.8	162	164	164	6.09e-96	270.0
1awr	1awr_A	6r8l	6r8l__chain0	75.9	98.8	98.8	162	164	164	6.09e-96	270.0
1aws	1aws_A	6r8l	6r8l__chain0	75.9	98.8	98.8	162	164	164	6.09e-96	270.0
1awt	1awt_A	6r8l	6r8l__chain0	75.9	98.8	98.8	162	164	164	6.09e-96	270.0
1awu	1awu_A	6r8l	6r8l__chain0	75.9	98.8	98.8	162	164	164	6.09e-96	270.0
1awv	1awv_A	6r8l	6r8l__chain0	75.9	98.8	98.8	162	164	164	6.09e-96	270.0
1b9t	1b9t_A	5nze	5nze__chain0	36.6	90.0	89.9	361	390	387	4.65e-76	236.0
1bfv	1bfv_L	1q72	1q72__chain0	68.1	100.0	51.8	113	113	218	1.23e-53	162.0
1bzm	1bzm_A	4qy3	4qy3__chain0	60.5	98.5	99.2	256	260	257	4.8599999999999996e-111	315.0
1c1p	1c1p_A	1c5s	1c5s__chain0	100.0	100.0	100.0	223	223	223	1.45e-166	453.0
1c1w	1c1w_H	1c5o	1c5o__chain1	100.0	100.0	100.0	252	252	252	9.500000000000001e-200	539.0
1c2e	1c2e_A	1c5s	1c5s__chain0	100.0	100.0	100.0	223	223	223	1.45e-166	453.0
1c2g	1c2g_A	1c5s	1c5s__chain0	100.0	100.0	100.0	223	223	223	1.45e-166	453.0
1c2h	1c2h_A	1c5s	1c5s__chain0	100.0	100.0	100.0	223	223	223	1.45e-166	453.0
1c2j	1c2j_A	1c5s	1c5s__chain0	100.0	100.0	100.0	223	223	223	1.45e-166	453.0
1c5r	1c5r_A	1c5s	1c5s__chain0	100.0	100.0	100.0	223	223	223	1.45e-166	453.0
1c5u	1c5u_A	1c5s	1c5s__chain0	100.0	100.0	100.0	223	223	223	1.45e-166	453.0
1c5w	1c5w_B	1gjc	1gjc__chain0	100.0	99.2	100.0	246	248	246	2.43e-195	528.0
1cfv	1cfv_L	1q72	1q72__chain0	68.1	100.0	51.8	113	113	218	1.23e-53	162.0
1cly	1cly_L	1i7z	1i7z__chain0	80.3	100.0	99.1	218	217	219	6.35e-122	340.0
1clz	1clz_L	1q72	1q72__chain0	80.7	99.5	100.0	218	219	218	1.38e-130	362.0
1d1g	1d1g_A	2w9h	2w9h__chain0	35.5	82.9	79.7	141	164	158	2.18e-12	56.6
1daw	1daw_A	3pe1	3pe1__chain0	77.6	98.2	98.2	321	327	327	2.42e-194	532.0
1day	1day_A	3pe1	3pe1__chain0	77.6	98.2	98.2	321	327	327	2.42e-194	532.0
1ddr	1ddr_A	2d0k	2d0k__chain0	96.2	99.4	99.4	158	159	159	3.01e-114	315.0
1dds	1dds_A	2d0k	2d0k__chain0	96.2	99.4	99.4	158	159	159	3.01e-114	315.0
1dkf	1dkf_A	3ozj	3ozj__chain0	98.6	99.1	99.5	215	217	215	9.07e-153	417.0
1dre	1dre_A	2d0k	2d0k__chain0	95.6	99.4	99.4	158	159	159	2.48e-113	313.0
1e6i	1e6i_A	5tpx	5tpx__chain0	47.7	77.5	81.1	86	111	106	7.12e-27	90.9
1eh4	1eh4_A	4btk	4btk__chain0	31.7	98.6	97.2	290	293	287	6.91e-41	138.0
1ehl	1ehl_L	1q72	1q72__chain0	80.3	100.0	100.0	218	217	218	2.3499999999999998e-126	351.0
1ere	1ere_A	4k4j	4k4j__chain0	32.8	82.6	86.9	195	235	214	6.46e-22	85.1
1eta	1eta_1	3nex	3nex__chain0	100.0	91.3	100.0	116	127	116	1.01e-83	235.0
1etb	1etb_2	4d7b	4d7b__chain0	99.1	99.1	100.0	116	117	116	1.1099999999999999e-82	232.0
1exa	1exa_A	5jy3	5jy3__chain0	38.5	78.8	81.6	187	236	228	1.72e-37	126.0
1exx	1exx_A	5jy3	5jy3__chain0	38.5	78.8	81.6	187	236	228	1.72e-37	126.0
1f3d	1f3d_L	1q72	1q72__chain0	80.1	99.1	99.1	216	218	218	7.32e-128	355.0
1f8c	1f8c_A	5nze	5nze__chain0	49.3	97.7	97.4	381	388	387	1.96e-130	375.0
1fa9	1fa9_A	3ebo	3ebo__chain0	80.0	98.7	99.8	823	834	810	0.0	1363.0
1fc0	1fc0_A	3ebo	3ebo__chain0	81.3	99.9	97.9	795	792	810	0.0	1343.0
1fiw	1fiw_A	1p57	1p57__chain1	41.2	98.5	99.2	262	260	247	2.4300000000000003e-58	181.0
1fiz	1fiz_A	1p57	1p57__chain1	42.0	97.3	99.2	262	263	247	1.07e-57	179.0
1fm6	1fm6_A	3ozj	3ozj__chain0	92.7	100.0	100.0	232	232	215	4.09e-153	419.0
1fn8	1fn8_A	1c5s	1c5s__chain0	42.0	95.1	93.7	219	224	223	1.71e-39	130.0
1fy4	1fy4_A	1c5s	1c5s__chain0	42.0	95.1	93.7	219	224	223	1.71e-39	130.0
1g0e	1g0e_A	4qy3	4qy3__chain0	99.6	99.6	100.0	257	258	257	3.44e-198	536.0
