pid,split
10gs,train
11gs,train
184l,train
185l,train
186l,train
187l,train
188l,train
1a07,train
1a08,train
1a1b,train
1a1c,train
1a1e,train
1a28,train
1a4h,train
1a4k,train
1a4r,train
1a4w,train
1a52,train
1a5v,train
1a99,train
1acj,train
1af6,train
1ai4,train
1ai5,train
1ai6,train
1ai7,train
1aj6,train
1aj7,train
1ajn,train
1ajq,train
1ajv,train
1ajx,train
1akq,train
1akr,train
1akt,train
1aku,train
1akw,train
1al8,train
1alw,train
1amk,train
1amn,train
1aq1,train
1aq7,train
1aqi,train
1aqj,train
1at5,train
1at6,train
1avd,train
1aw1,train
1axs,train
1b11,train
1b42,train
1b55,train
1b6j,train
1b6k,train
1b6l,train
1b6m,train
1b6p,train
1b9s,train
1b9t,train
1b9v,train
1bcu,train
1bdl,train
1bdq,train
1bdr,train
1bhx,train
1bju,train
1bjv,train
1bkm,train
1bky,train
1bm2,train
1bm7,train
1bmb,train
1bo5,train
1bq3,train
1bq4,train
1br5,train
1br6,train
1btn,train
1bxo,train
1bxq,train
1bzc,train
1bzj,train
1c29,train
1c5c,train
1c5f,train
1c5o,train
1c5s,train
1c5t,train
1c5y,train
1c7e,train
1c7f,train
1c8v,train
1c9d,train
1cbr,train
1cet,train
1cj1,train
1cqp,train
1ctr,train
1cw2,train
1cx9,train
1d09,train
1d4h,train
1d4i,train
1d4j,train
1d4k,train
1d4l,train
1d4w,train
1d7i,train
1d7j,train
1d8e,train
1db1,train
1det,train
1df8,train
1dfo,train
1di8,train
1di9,train
1dqx,train
1drj,train
1drk,train
1dtq,train
1dtt,train
1dub,train
1dud,train
1duv,train
1dx6,train
1dy4,train
1dzj,train
1e2k,train
1e2l,train
1e3g,train
1e5j,train
1e66,train
1e6q,train
1e6s,train
1e72,train
1e8h,train
1ebw,train
1eby,train
1ebz,train
1ec0,train
1ec1,train
1ec2,train
1ec3,train
1eef,train
1eei,train
1efi,train
1egh,train
1eix,train
1ej4,train
1enu,train
1err,train
1eve,train
1ezf,train
1ezq,train
1f0s,train
1f0t,train
1f0u,train
1f3e,train
1f73,train
1f74,train
1f8a,train
1f8b,train
1f8c,train
1f8d,train
1f8e,train
1fcx,train
1fcy,train
1fd0,train
1fd7,train
1fh7,train
1fh8,train
1fh9,train
1fhd,train
1fiv,train
1fj4,train
1fjs,train
1fkn,train
1fl3,train
1flm,train
1fm9,train
1fq4,train
1fq5,train
1fq6,train
1fq7,train
1fq8,train
1fvv,train
1fzj,train
1fzk,train
1fzm,train
1fzq,train
1g2k,train
1g2l,train
1g2m,train
1g30,train
1g32,train
1g35,train
1g36,train
1g50,train
1g5f,train
1g6s,train
1g7f,train
1g7g,train
1g9s,train
1gaf,train
1gah,train
1gai,train
1gcz,train
1ghv,train
1ghw,train
1ghz,train
1gi1,train
1gi6,train
1gi7,train
1gi8,train
1gi9,train
1gj4,train
1gj5,train
1gj6,train
1gj7,train
1gj8,train
1gja,train
1gjb,train
1gjc,train
1gni,train
1gnj,train
1gpk,train
1gpn,train
1gqs,train
1gt1,train
1gt3,train
1gt5,train
1gwq,train
1gwr,train
1gyx,train
1gyy,train
1h01,train
1h0a,train
1h0r,train
1h0w,train
1h1p,train
1h1q,train
1h1r,train
1h1s,train
1h22,train
1h23,train
1h24,train
1h25,train
1h26,train
1h27,train
1h28,train
1h2t,train
1h2u,train
1h46,train
1h5v,train
1h60,train
1h61,train
1h62,train
1h6h,train
1h8s,train
1h9z,train
1ha2,train
1hbv,train
1hge,train
1hgi,train
1hgj,train
1hiy,train
1hkj,train
1hkk,train
1hkm,train
1hnn,train
1hp5,train
1hty,train
1hvy,train
1hxb,train
1i00,train
1i3z,train
1i5r,train
1i7c,train
1i7z,train
1ibc,train
1ibg,train
1ie9,train
1iep,train
1igj,train
1ihy,train
1iiq,train
1ik4,train
1ikt,train
1ikv,train
1ikw,train
1ikx,train
1iky,train
1il3,train
1il4,train
1il9,train
1ilh,train
1imx,train
1inf,train
1ing,train
1inh,train
1is0,train
1iup,train
1j07,train
1j17,train
1j4r,train
1jak,train
1jgl,train
1jlq,train
1jlr,train
1jlx,train
1jmf,train
1jmg,train
1jmi,train
1jq3,train
1jqy,train
1jtq,train
1juj,train
1jut,train
1jvp,train
1jwt,train
1jyq,train
1k03,train
1k1i,train
1k1j,train
1k1l,train
1k1m,train
1k1n,train
1k1o,train
1k1p,train
1k1y,train
1kav,train
1kdk,train
1ke5,train
1ke6,train
1ke8,train
1kel,train
1kll,train
1kmv,train
1kna,train
1kne,train
1koj,train
1kqb,train
1ktt,train
1kv5,train
1kyn,train
1kz8,train
1kzk,train
1kzn,train
1l2s,train
1l83,train
1lbk,train
1lee,train
1leg,train
1lev,train
1lf2,train
1lf3,train
1lf9,train
1lfo,train
1lgw,train
1lhu,train
1lhw,train
1li2,train
1li3,train
1li6,train
1ljt,train
1lke,train
1ll4,train
1lnm,train
1lol,train
1loq,train
1lor,train
1los,train
1lpg,train
1lpk,train
1lpz,train
1lqd,train
1lqe,train
1lqf,train
1lt6,train
1lvc,train
1lyx,train
1lzo,train
1lzq,train
1m0b,train
1m21,train
1m48,train
1m4h,train
1m5b,train
1m5e,train
1m5f,train
1m7y,train
1m9n,train
1maw,train
1mcz,train
1me8,train
1mh5,train
1mhw,train
1mj7,train
1mjj,train
1ml1,train
1moq,train
1mq5,train
1mq6,train
1mui,train
1n0s,train
1n2v,train
1n43,train
1n46,train
1n4h,train
1n5r,train
1n7i,train
1n7m,train
1n9m,train
1nax,train
1nc1,train
1nc3,train
1ndj,train
1nf8,train
1ngw,train
1nh0,train
1nhu,train
1nhz,train
1nj1,train
1nj5,train
1njf,train
1njj,train
1njs,train
1nli,train
1nmk,train
1nnk,train
1nox,train
1np0,train
1nq7,train
1nvq,train
1nvr,train
1nw4,train
1nw5,train
1nw7,train
1nzl,train
1nzv,train
1o0f,train
1o0h,train
1o0m,train
1o0n,train
1o0o,train
1o2g,train
1o2h,train
1o2j,train
1o2k,train
1o2n,train
1o2o,train
1o2p,train
1o2q,train
1o2r,train
1o2s,train
1o2t,train
1o2z,train
1o30,train
1o32,train
1o33,train
1o34,train
1o35,train
1o36,train
1o38,train
1o39,train
1o3b,train
1o3c,train
1o3d,train
1o3e,train
1o3f,train
1o3p,train
1o5a,train
1o5c,train
1o5e,train
1o5f,train
1o5g,train
1o6i,train
1o79,train
1o9d,train
1o9e,train
1oar,train
1oau,train
1oay,train
1oba,train
1ocn,train
1ocq,train
1od8,train
1odi,train
1odj,train
1ody,train
1oe7,train
1oe8,train
1ofz,train
1ogg,train
1ogu,train
1ogx,train
1oh4,train
1oi9,train
1oif,train
1oim,train
1oiq,train
1oir,train
1oit,train
1oiu,train
1oiy,train
1okx,train
1oky,train
1okz,train
1ol1,train
1ol2,train
1osv,train
1ouk,train
1ouy,train
1ove,train
1ow4,train
1owe,train
1owh,train
1owi,train
1owj,train
1owk,train
1oxn,train
1oxq,train
1oy7,train
1oyq,train
1oyt,train
1oz0,train
1ozv,train
1p0y,train
1p1n,train
1p1o,train
1p1q,train
1p4r,train
1p57,train
1p93,train
1pa9,train
1pbk,train
1pcg,train
1pdq,train
1pf7,train
1pf8,train
1pgp,train
1pk0,train
1pkx,train
1pl0,train
1pmn,train
1pmu,train
1pmv,train
1pq6,train
1pqc,train
1pr1,train
1pr5,train
1pu7,train
1pu8,train
1pum,train
1pw6,train
1pwy,train
1pxi,train
1pxj,train
1pxk,train
1pxm,train
1pxn,train
1pxp,train
1py1,train
1py2,train
1pyw,train
1pzi,train
1pzj,train
1pzo,train
1pzp,train
1q1g,train
1q3d,train
1q3w,train
1q41,train
1q4k,train
1q4l,train
1q4w,train
1q4x,train
1q63,train
1q65,train
1q66,train
1q6j,train
1q6m,train
1q6n,train
1q6p,train
1q6s,train
1q6t,train
1q72,train
1q83,train
1q84,train
1q8t,train
1q8u,train
1q8w,train
1q95,train
1q9d,train
1qbo,train
1qiw,train
1qkn,train
1qkt,train
1qku,train
1qng,train
1qnh,train
1qpb,train
1qpf,train
1qpl,train
1qr3,train
1qti,train
1qvt,train
1qvu,train
1qw7,train
1qy1,train
1qy2,train
1qyg,train
1r4w,train
1r5n,train
1r5y,train
1r6n,train
1r9l,train
1rbo,train
1rgk,train
1rgl,train
1rjk,train
1rnt,train
1rpj,train
1rr6,train
1rt9,train
1s19,train
1s26,train
1s38,train
1s39,train
1s4d,train
1s5z,train
1s89,train
1s9t,train
1sb1,train
1sdt,train
1sdu,train
1sdv,train
1sgu,train
1sh9,train
1sj0,train
1skj,train
1sqc,train
1sqn,train
1sqo,train
1sqt,train
1sr7,train
1sw2,train
1swg,train
1swk,train
1swn,train
1swp,train
1swr,train
1syh,train
1syi,train
1syo,train
1sz0,train
1szd,train
1t13,train
1t1r,train
1t2v,train
1t31,train
1t32,train
1t46,train
1t79,train
1t7d,train
1t7f,train
1t7r,train
1tc1,train
1thz,train
1tjp,train
1tkt,train
1tkx,train
1tkz,train
1tl1,train
1tl3,train
1tl9,train
1tou,train
1tow,train
1tr7,train
1tt1,train
1tvo,train
1tvr,train
1tx7,train
1tze,train
1u0g,train
1u1b,train
1u1w,train
1u33,train
1u59,train
1u65,train
1u6q,train
1u9q,train
1ua4,train
