pdb_id,required_split,reasons
14gs,test,crossdocked2020_test_receptor
1a28,val,binding_affinity_val
1a2g,test,crossdocked2020_test_receptor
1a4h,val,binding_affinity_val
1a4w,test,binding_affinity_test
1a52,val,binding_affinity_val
1afs,test,crossdocked2020_test_ligand_source;crossdocked2020_test_receptor
1ai4,test,crossdocked2020_test_receptor
1ai5,test,crossdocked2020_test_ligand_source
1aj6,test,binding_affinity_test
1aj7,val,binding_affinity_val
1akq,test,binding_affinity_test
1akr,test,binding_affinity_test
1akt,test,binding_affinity_test
1aku,test,binding_affinity_test
1akw,test,binding_affinity_test
1aqi,val,binding_affinity_val
1aqj,val,binding_affinity_val
1aw1,test,binding_affinity_test
1axs,val,binding_affinity_val
1bcu,test,binding_affinity_test
1bm7,val,binding_affinity_val
1c5c,val,binding_affinity_val
1c5o,test,binding_affinity_test
1c5s,test,binding_affinity_test
1c5t,test,binding_affinity_test
1c7e,test,binding_affinity_test
1c7f,test,binding_affinity_test
1coy,test,crossdocked2020_test_ligand_source;crossdocked2020_test_receptor
1d7j,test,crossdocked2020_test_receptor
1djy,test,crossdocked2020_test_receptor
1djz,test,crossdocked2020_test_ligand_source
1dmk,test,crossdocked2020_test_ligand_source
1dxo,test,crossdocked2020_test_receptor
1dy4,test,crossdocked2020_test_ligand_source
1e3g,val,binding_affinity_val
1e6z,test,crossdocked2020_test_ligand_source
1e8h,test,crossdocked2020_test_ligand_source;crossdocked2020_test_receptor
1egh,val,binding_affinity_val
1eqc,test,crossdocked2020_test_ligand_source
1ezq,test,binding_affinity_test
1f0s,test,binding_affinity_test
1f0t,test,binding_affinity_test
1f0u,test,binding_affinity_test
1fkn,test,binding_affinity_test
1fl3,val,binding_affinity_val
1flm,test,binding_affinity_test
1fmc,test,crossdocked2020_test_ligand_source;crossdocked2020_test_receptor
1g2l,test,binding_affinity_test
1g2m,test,binding_affinity_test
1g30,test,binding_affinity_test
1g32,test,binding_affinity_test
1g36,test,binding_affinity_test
1g50,val,binding_affinity_val
1gaf,val,binding_affinity_val
1gg5,test,crossdocked2020_test_ligand_source;crossdocked2020_test_receptor
1ghv,test,binding_affinity_test
1ghw,test,binding_affinity_test
1ghz,test,binding_affinity_test
1gi1,test,binding_affinity_test
1gi6,test,binding_affinity_test
1gi7,test,binding_affinity_test
1gi8,test,binding_affinity_test
1gi9,test,binding_affinity_test
1gj4,test,binding_affinity_test
1gj5,test,binding_affinity_test
1gj6,test,binding_affinity_test
1gj7,test,binding_affinity_test
1gj8,test,binding_affinity_test
1gja,test,binding_affinity_test
1gjb,test,binding_affinity_test
1gjc,test,binding_affinity_test
1gwq,val,binding_affinity_val
1gwr,val,binding_affinity_val
1h0i,test,crossdocked2020_test_receptor
1h1p,val,binding_affinity_val
1h1s,val,binding_affinity_val
1h24,val,binding_affinity_val
1h25,val,binding_affinity_val
1h28,val,binding_affinity_val
1h36,test,crossdocked2020_test_receptor
1h8s,val,binding_affinity_val
1hiy,val,binding_affinity_val
1hp5,test,binding_affinity_test
1i7z,test,binding_affinity_test
1ibg,val,binding_affinity_val
1ik4,val,binding_affinity_val
1j0n,test,crossdocked2020_test_ligand_source
1j17,val,binding_affinity_val
1jak,test,binding_affinity_test
1jgl,val,binding_affinity_val
1jn2,test,crossdocked2020_test_receptor
1jwt,test,binding_affinity_test
1k1i,test,binding_affinity_test
1k1j,test,binding_affinity_test
